Date,Time,Unit,Value
11/8/21,1:30:00,C,25
11/8/21,2:30:00,C,25
11/8/21,3:30:00,C,25
11/8/21,4:30:00,C,25
11/8/21,5:30:00,C,25
11/8/21,6:30:00,C,24
11/8/21,7:30:00,C,24
11/8/21,8:30:00,C,24
11/8/21,9:30:00,C,24
11/8/21,10:30:00,C,24
11/8/21,11:30:00,C,25
11/9/21,12:30:00,C,25
11/9/21,1:30:00,C,25
11/9/21,2:30:00,C,25
11/9/21,3:30:00,C,25
11/9/21,4:30:00,C,25
11/9/21,5:30:00,C,25
11/9/21,6:30:00,C,25
11/9/21,7:30:00,C,25
11/9/21,8:30:00,C,25
11/9/21,9:30:00,C,25
11/9/21,10:30:00,C,25
11/9/21,11:30:00,C,25
11/9/21,12:30:00,C,25
11/9/21,13:30:00,C,25
11/9/21,14:30:00,C,25
11/9/21,15:30:00,C,25
11/9/21,16:30:00,C,25
11/9/21,17:30:00,C,25
11/9/21,18:30:00,C,24
11/9/21,19:30:00,C,24
11/9/21,20:30:00,C,24
11/9/21,21:30:00,C,24
11/9/21,22:30:00,C,24
11/9/21,23:30:00,C,25
11/10/21,0:30:00,C,25
11/10/21,1:30:00,C,25
11/10/21,2:30:00,C,25
11/10/21,3:30:00,C,25
11/10/21,4:30:00,C,25
11/10/21,5:30:00,C,25
11/10/21,6:30:00,C,25
11/10/21,7:30:00,C,25
11/10/21,8:30:00,C,25
11/10/21,9:30:00,C,25
11/10/21,10:30:00,C,25
11/10/21,11:30:00,C,25
11/10/21,12:30:00,C,25
11/10/21,13:30:00,C,25
11/10/21,14:30:00,C,25
11/10/21,15:30:00,C,25
11/10/21,16:30:00,C,25
11/10/21,17:30:00,C,25
11/10/21,18:30:00,C,24
11/10/21,19:30:00,C,24
11/10/21,20:30:00,C,24
11/10/21,21:30:00,C,24
11/10/21,22:30:00,C,24
11/10/21,23:30:00,C,25
11/11/21,0:30:00,C,25
11/11/21,1:30:00,C,25
11/11/21,2:30:00,C,25
11/11/21,3:30:00,C,25
11/11/21,4:30:00,C,25
11/11/21,5:30:00,C,25
11/11/21,6:30:00,C,25
11/11/21,7:30:00,C,25
11/11/21,8:30:00,C,25
11/11/21,9:30:00,C,25
11/11/21,10:30:00,C,25
11/11/21,11:30:00,C,25
11/11/21,12:30:00,C,25
11/11/21,13:30:00,C,25
11/11/21,14:30:00,C,25
11/11/21,15:30:00,C,25
11/11/21,16:30:00,C,25
11/11/21,17:30:00,C,25
11/11/21,18:30:00,C,24
11/11/21,19:30:00,C,24
11/11/21,20:30:00,C,24
11/11/21,21:30:00,C,24
11/11/21,22:30:00,C,24
11/11/21,23:30:00,C,25
11/12/21,0:30:00,C,25
11/12/21,1:30:00,C,25
11/12/21,2:30:00,C,25
11/12/21,3:30:00,C,25
11/12/21,4:30:00,C,25
11/12/21,5:30:00,C,25
11/12/21,6:30:00,C,25
11/12/21,7:30:00,C,25
11/12/21,8:30:00,C,25
11/12/21,9:30:00,C,25
11/12/21,10:30:00,C,25
11/12/21,11:30:00,C,25
11/12/21,12:30:00,C,25
11/12/21,13:30:00,C,25
11/12/21,14:30:00,C,25
11/12/21,15:30:00,C,25
11/12/21,16:30:00,C,25
11/12/21,17:30:00,C,25
11/12/21,18:30:00,C,24
11/12/21,19:30:00,C,24
11/12/21,20:30:00,C,24
11/12/21,21:30:00,C,23.5
11/12/21,22:30:00,C,24
11/12/21,23:30:00,C,25
11/13/21,0:30:00,C,25
11/13/21,1:30:00,C,25
11/13/21,2:30:00,C,25
11/13/21,3:30:00,C,25
11/13/21,4:30:00,C,25
11/13/21,5:30:00,C,25
11/13/21,6:30:00,C,25
11/13/21,7:30:00,C,25
11/13/21,8:30:00,C,25
