Date,Time,Value
9/19/24,18:00:00,25.5
9/19/24,19:00:00,24.5
9/19/24,20:00:00,24.5
9/19/24,21:00:00,24.5
9/19/24,22:00:00,24.5
9/19/24,23:00:00,24.5
9/20/24,0:00:00,24.5
9/20/24,1:00:00,24.5
9/20/24,2:00:00,24.5
9/20/24,3:00:00,24.5
9/20/24,4:00:00,24.5
9/20/24,5:00:00,24.5
9/20/24,6:00:00,24.5
9/20/24,7:00:00,25.5
9/20/24,8:00:00,25.5
9/20/24,9:00:00,25.5
9/20/24,10:00:00,25.5
9/20/24,11:00:00,25.5
9/20/24,12:00:00,25.5
9/20/24,13:00:00,25.5
9/20/24,14:00:00,25.5
9/20/24,15:00:00,25.5
9/20/24,16:00:00,25.5
9/20/24,17:00:00,25.5
9/20/24,18:00:00,25.5
9/20/24,19:00:00,24.5
9/20/24,20:00:00,24.5
9/20/24,21:00:00,24.5
9/20/24,22:00:00,24.5
9/20/24,23:00:00,24.5
9/21/24,0:00:00,24.5
9/21/24,1:00:00,24.5
9/21/24,2:00:00,24.5
9/21/24,3:00:00,24.5
9/21/24,4:00:00,24.5
9/21/24,5:00:00,24.5
9/21/24,6:00:00,24.5
9/21/24,7:00:00,25.5
9/21/24,8:00:00,25.5
9/21/24,9:00:00,25.5
9/21/24,10:00:00,25.5
9/21/24,11:00:00,25.5
9/21/24,12:00:00,25.5
9/21/24,13:00:00,25.5
9/21/24,14:00:00,25.5
9/21/24,15:00:00,25.5
9/21/24,16:00:00,25.5
9/21/24,17:00:00,25.5
9/21/24,18:00:00,25.5
9/21/24,19:00:00,24.5
9/21/24,20:00:00,24.5
9/21/24,21:00:00,24.5
9/21/24,22:00:00,24.5
9/21/24,23:00:00,24.5
9/22/24,0:00:00,24.5
9/22/24,1:00:00,24.5
9/22/24,2:00:00,24.5
9/22/24,3:00:00,24.5
9/22/24,4:00:00,24.5
9/22/24,5:00:00,24.5
9/22/24,6:00:00,24.5
9/22/24,7:00:00,25.5
9/22/24,8:00:00,25.5
9/22/24,9:00:00,25.5
9/22/24,10:00:00,25.5
9/22/24,11:00:00,25.5
9/22/24,12:00:00,25.5
9/22/24,13:00:00,25.5
9/22/24,14:00:00,25.5
9/22/24,15:00:00,25.5
9/22/24,16:00:00,25.5
9/22/24,17:00:00,25.5
9/22/24,18:00:00,25.5
9/22/24,19:00:00,24.5
9/22/24,20:00:00,24.5
9/22/24,21:00:00,24.5
9/22/24,22:00:00,24.5
9/22/24,23:00:00,24.5
9/23/24,0:00:00,24
9/23/24,1:00:00,24.5
9/23/24,2:00:00,24.5
9/23/24,3:00:00,24.5
9/23/24,4:00:00,24.5
9/23/24,5:00:00,24.5
9/23/24,6:00:00,24
9/23/24,7:00:00,25.5
9/23/24,8:00:00,25.5
9/23/24,9:00:00,25.5
9/23/24,10:00:00,25.5
9/23/24,11:00:00,25.5
9/23/24,12:00:00,25.5
9/23/24,13:00:00,29.5
9/23/24,14:00:00,25
9/23/24,15:00:00,25
9/23/24,16:00:00,25
9/23/24,17:00:00,25
9/23/24,18:00:00,25
9/23/24,19:00:00,24.5
9/23/24,20:00:00,24.5
9/23/24,21:00:00,24.5
9/23/24,22:00:00,24.5
9/23/24,23:00:00,24.5
9/24/24,0:00:00,24
9/24/24,1:00:00,24
9/24/24,2:00:00,24.5
9/24/24,3:00:00,24.5
9/24/24,4:00:00,24.5
9/24/24,5:00:00,24
9/24/24,6:00:00,24
9/24/24,7:00:00,25
9/24/24,8:00:00,25
9/24/24,9:00:00,25
9/24/24,10:00:00,25
9/24/24,11:00:00,25
9/24/24,12:00:00,25
9/24/24,13:00:00,25
9/24/24,14:00:00,25
9/24/24,15:00:00,25
9/24/24,16:00:00,25
9/24/24,17:00:00,25
9/24/24,18:00:00,26
9/24/24,19:00:00,25.5
9/24/24,20:00:00,25.5
9/24/24,21:00:00,25.5
9/24/24,22:00:00,25.5
9/24/24,23:00:00,25.5
9/25/24,0:00:00,25.5
9/25/24,1:00:00,25
9/25/24,2:00:00,25
9/25/24,3:00:00,24.5
9/25/24,4:00:00,24.5
9/25/24,5:00:00,24.5
9/25/24,6:00:00,24.5
9/25/24,7:00:00,25
9/25/24,8:00:00,25
9/25/24,9:00:00,25
9/25/24,10:00:00,25
9/25/24,11:00:00,25
9/25/24,12:00:00,25
9/25/24,13:00:00,25
9/25/24,14:00:00,25
9/25/24,15:00:00,25
9/25/24,16:00:00,25
9/25/24,17:00:00,25
9/25/24,18:00:00,25.5
9/25/24,19:00:00,25
9/25/24,20:00:00,25.5
9/25/24,21:00:00,25
9/25/24,22:00:00,25
9/25/24,23:00:00,25
9/26/24,0:00:00,25
9/26/24,1:00:00,25
9/26/24,2:00:00,25
9/26/24,3:00:00,24.5
9/26/24,4:00:00,24.5
9/26/24,5:00:00,24.5
9/26/24,6:00:00,24.5
9/26/24,7:00:00,25
9/26/24,8:00:00,25
9/26/24,9:00:00,25
9/26/24,10:00:00,25
9/26/24,11:00:00,25
9/26/24,12:00:00,25
9/26/24,13:00:00,25
9/26/24,14:00:00,25
9/26/24,15:00:00,25
9/26/24,16:00:00,25
9/26/24,17:00:00,25
9/26/24,18:00:00,25.5
9/26/24,19:00:00,25.5
9/26/24,20:00:00,25.5
9/26/24,21:00:00,25.5
9/26/24,22:00:00,25.5
9/26/24,23:00:00,25.5
9/27/24,0:00:00,25.5
9/27/24,1:00:00,25
9/27/24,2:00:00,25
9/27/24,3:00:00,24.5
9/27/24,4:00:00,24.5
9/27/24,5:00:00,24.5
9/27/24,6:00:00,24.5
9/27/24,7:00:00,25
9/27/24,8:00:00,25
9/27/24,9:00:00,25
9/27/24,10:00:00,25
