Date.Time,Unit,Value
11/8/2021 13:30,C,25
11/8/2021 14:30,C,25
11/8/2021 15:30,C,25
11/8/2021 16:30,C,25
11/8/2021 17:30,C,25
11/8/2021 18:30,C,24
11/8/2021 19:30,C,24
11/8/2021 20:30,C,24
11/8/2021 21:30,C,24
11/8/2021 22:30,C,24
11/8/2021 23:30,C,25
11/9/2021 0:30,C,25
11/9/2021 1:30,C,25
11/9/2021 2:30,C,25
11/9/2021 3:30,C,25
11/9/2021 4:30,C,25
11/9/2021 5:30,C,25
11/9/2021 6:30,C,25
11/9/2021 7:30,C,25
11/9/2021 8:30,C,25
11/9/2021 9:30,C,25
11/9/2021 10:30,C,25
11/9/2021 11:30,C,25
11/9/2021 12:30,C,25
11/9/2021 13:30,C,25
11/9/2021 14:30,C,25
11/9/2021 15:30,C,25
11/9/2021 16:30,C,25
11/9/2021 17:30,C,25
11/9/2021 18:30,C,24
11/9/2021 19:30,C,24
11/9/2021 20:30,C,24
11/9/2021 21:30,C,24
11/9/2021 22:30,C,24
11/9/2021 23:30,C,25
11/10/2021 0:30,C,25
11/10/2021 1:30,C,25
11/10/2021 2:30,C,25
11/10/2021 3:30,C,25
11/10/2021 4:30,C,25
11/10/2021 5:30,C,25
11/10/2021 6:30,C,25
11/10/2021 7:30,C,25
11/10/2021 8:30,C,25
11/10/2021 9:30,C,25
11/10/2021 10:30,C,25
11/10/2021 11:30,C,25
11/10/2021 12:30,C,25
11/10/2021 13:30,C,25
11/10/2021 14:30,C,25
11/10/2021 15:30,C,25
11/10/2021 16:30,C,25
11/10/2021 17:30,C,25
11/10/2021 18:30,C,24
11/10/2021 19:30,C,24
11/10/2021 20:30,C,24
11/10/2021 21:30,C,24
11/10/2021 22:30,C,24
11/10/2021 23:30,C,25
11/11/2021 0:30,C,25
11/11/2021 1:30,C,25
11/11/2021 2:30,C,25
11/11/2021 3:30,C,25
11/11/2021 4:30,C,25
11/11/2021 5:30,C,25
11/11/2021 6:30,C,25
11/11/2021 7:30,C,25
11/11/2021 8:30,C,25
11/11/2021 9:30,C,25
11/11/2021 10:30,C,25
11/11/2021 11:30,C,25
11/11/2021 12:30,C,25
11/11/2021 13:30,C,25
11/11/2021 14:30,C,25
11/11/2021 15:30,C,25
11/11/2021 16:30,C,25
11/11/2021 17:30,C,25
11/11/2021 18:30,C,24
11/11/2021 19:30,C,24
11/11/2021 20:30,C,24
11/11/2021 21:30,C,24
11/11/2021 22:30,C,24
11/11/2021 23:30,C,25
11/12/2021 0:30,C,25
11/12/2021 1:30,C,25
11/12/2021 2:30,C,25
11/12/2021 3:30,C,25
11/12/2021 4:30,C,25
11/12/2021 5:30,C,25
11/12/2021 6:30,C,25
11/12/2021 7:30,C,25
11/12/2021 8:30,C,25
11/12/2021 9:30,C,25
11/12/2021 10:30,C,25
11/12/2021 11:30,C,25
11/12/2021 12:30,C,25
11/12/2021 13:30,C,25
11/12/2021 14:30,C,25
11/12/2021 15:30,C,25
11/12/2021 16:30,C,25
11/12/2021 17:30,C,25
11/12/2021 18:30,C,24
11/12/2021 19:30,C,24
11/12/2021 20:30,C,24
11/12/2021 21:30,C,23.5
11/12/2021 22:30,C,24
11/12/2021 23:30,C,25
11/13/2021 0:30,C,25
11/13/2021 1:30,C,25
11/13/2021 2:30,C,25
11/13/2021 3:30,C,25
11/13/2021 4:30,C,25
11/13/2021 5:30,C,25
11/13/2021 6:30,C,25
11/13/2021 7:30,C,25
11/13/2021 8:30,C,25
11/13/2021 9:30,C,24.5
11/13/2021 10:30,C,25
11/13/2021 11:30,C,25
11/13/2021 12:30,C,25
11/13/2021 13:30,C,25
11/13/2021 14:30,C,25
11/13/2021 15:30,C,25
11/13/2021 16:30,C,25
11/13/2021 17:30,C,25
11/13/2021 18:30,C,24
11/13/2021 19:30,C,24
11/13/2021 20:30,C,24
11/13/2021 21:30,C,24
11/13/2021 22:30,C,24
11/13/2021 23:30,C,25
11/14/2021 0:30,C,25
11/14/2021 1:30,C,25
11/14/2021 2:30,C,25
11/14/2021 3:30,C,25
11/14/2021 4:30,C,25
11/14/2021 5:30,C,25
11/14/2021 6:30,C,25
11/14/2021 7:30,C,25
11/14/2021 8:30,C,25
11/14/2021 9:30,C,25
11/14/2021 10:30,C,25
11/14/2021 11:30,C,25
11/14/2021 12:30,C,25
11/14/2021 13:30,C,25
11/14/2021 14:30,C,25
11/14/2021 15:30,C,25
11/14/2021 16:30,C,25
11/14/2021 17:30,C,25
11/14/2021 18:30,C,24
11/14/2021 19:30,C,24
11/14/2021 20:30,C,24
11/14/2021 21:30,C,24
11/14/2021 22:30,C,24
11/14/2021 23:30,C,24.5
11/15/2021 0:30,C,25
11/15/2021 1:30,C,25
11/15/2021 2:30,C,24.5
11/15/2021 3:30,C,25
11/15/2021 4:30,C,25
11/15/2021 5:30,C,25
11/15/2021 6:30,C,25
11/15/2021 7:30,C,24.5
11/15/2021 8:30,C,25
11/15/2021 9:30,C,25
11/15/2021 10:30,C,25
11/15/2021 11:30,C,25
11/15/2021 12:30,C,25
11/15/2021 13:30,C,25
11/15/2021 14:30,C,25
11/15/2021 15:30,C,25
11/15/2021 16:30,C,25
11/15/2021 17:30,C,25
11/15/2021 18:30,C,24
11/15/2021 19:30,C,24
11/15/2021 20:30,C,24
11/15/2021 21:30,C,24
11/15/2021 22:30,C,24
11/15/2021 23:30,C,25
11/16/2021 0:30,C,25
11/16/2021 1:30,C,25
11/16/2021 2:30,C,25
11/16/2021 3:30,C,25
11/16/2021 4:30,C,25
11/16/2021 5:30,C,25
11/16/2021 6:30,C,25
11/16/2021 7:30,C,25
11/16/2021 8:30,C,25
11/16/2021 9:30,C,25
11/16/2021 10:30,C,25
11/16/2021 11:30,C,25
11/16/2021 12:30,C,25
11/16/2021 13:30,C,25
11/16/2021 14:30,C,25
11/16/2021 15:30,C,25
11/16/2021 16:30,C,25
11/16/2021 17:30,C,25
11/16/2021 18:30,C,24
11/16/2021 19:30,C,24
11/16/2021 20:30,C,24
11/16/2021 21:30,C,24
11/16/2021 22:30,C,24
11/16/2021 23:30,C,24.5
11/17/2021 0:30,C,25
11/17/2021 1:30,C,25
11/17/2021 2:30,C,25
11/17/2021 3:30,C,25
11/17/2021 4:30,C,25
11/17/2021 5:30,C,25
11/17/2021 6:30,C,25
11/17/2021 7:30,C,25
11/17/2021 8:30,C,25
11/17/2021 9:30,C,24.5
11/17/2021 10:30,C,24.5
11/17/2021 11:30,C,24.5
11/17/2021 12:30,C,24.5
11/17/2021 13:30,C,24.5
11/17/2021 14:30,C,24.5
11/17/2021 15:30,C,24.5
11/17/2021 16:30,C,24.5
11/17/2021 17:30,C,24.5
11/17/2021 18:30,C,24
