Rack,Location,Pop,mf,rep,trt,mass (g)
D4,43,BH,5,1,C,0.32
D3,37,BH,5,1,CW,0.17
D4,13,BH,7,1,C,0.07
D5,10,BH,7,1,CW,0.11
D1,44,BH,9,1,C,0.19
D3,4,BH,9,1,CW,0.1
D5,47,BH,17,1,C,0.16
D4,10,BH,17,1,CW,0.22
D5,30,CALO,1,1,C,0.24
D2,45,CALO,1,2,C,0.16
D5,33,CALO,1,1,CW,0.22
D3,19,CALO,1,2,CW,0.16
D5,20,CALO,2,1,C,0.26
D4,4,CALO,2,1,CW,0.45
D1,14,CALO,3,1,C,0.21
D2,35,CALO,3,2,C,0.17
D3,48,CALO,3,1,CW,0.22
D1,34,CALO,3,2,CW,0.11
D3,23,CALO,4,1,C,0.15
D3,46,CALO,4,1,CW,0.46
D1,13,CALO,14,1,C,0.17
D2,36,CALO,14,2,C,0.24
D1,43,CALO,14,1,CW,0.17
D2,39,CALO,14,2,CW,0.3
D3,34,CALO,15,1,C,0.17
D3,43,CALO,15,1,CW,0.43
D4,48,CALO,16,1,C,0.26
D5,7,CALO,16,1,CW,0.09
D4,40,CALO,17,1,C,0.15
D4,41,CALO,17,1,CW,0.16
D6,3,CALO,18,1,C,0.21
D5,1,CALO,18,2,C,0.2
D6,6,CALO,18,1,CW,0.33
D5,12,CALO,18,2,CW,0.43
D1,4,CP2,1,1,C,0.32
D1,24,CP2,1,2,C,0.11
D1,42,CP2,1,1,CW,0.2
D1,23,CP2,1,2,CW,0.52
D1,9,CP2,2,1,C,0.38
D2,27,CP2,2,2,C,0.44
D3,16,CP2,2,1,CW,0.24
D6,38,CP2,2,2,CW,0.31
D6,15,CP2,7,1,C,0.09
D5,26,CP2,7,2,C,0.36
D2,7,CP2,7,1,CW,0.33
D5,35,CP2,7,2,CW,0.52
D1,2,CP2,11,1,C,0.3
D4,12,CP2,11,2,C,0.23
D4,37,CP2,11,1,CW,0.68
D1,10,CP2,11,2,CW,0.12
D1,1,CP2,13,1,C,0.24
D2,3,CP2,13,2,C,0.44
D6,14,CP2,13,1,CW,0.12
D3,32,CP2,13,2,CW,0.3
D3,40,CP2,14,1,C,0.38
D5,19,CP2,14,2,C,0.18
D6,5,CP2,14,1,CW,0.41
D4,16,CP2,14,2,CW,0.24
D2,46,CP2,15,1,C,0.26
D5,39,CP2,15,2,C,0.37
D6,31,CP2,15,1,CW,0.48
D3,5,CP2,15,2,CW,0.42
D5,29,CP2,17,1,C,0.49
D2,10,CP2,17,2,C,0.34
D2,21,CP2,17,1,CW,0.23
D1,45,CP2,17,2,CW,0.33
D1,22,DPR,3,1,C,0.19
D2,47,DPR,3,2,C,0.57
D2,17,DPR,3,1,CW,0.17
D3,17,DPR,3,2,CW,0.12
D6,23,DPR,4,1,C,0.32
D6,1,DPR,4,2,C,0.56
D6,35,DPR,4,1,CW,0.12
D6,18,DPR,4,2,CW,0.21
D3,21,DPR,10,1,C,0.51
D5,15,DPR,10,2,C,0.2
D4,18,DPR,10,1,CW,0.23
D4,29,IH,1,1,C,0.09
D2,26,IH,1,2,C,0.23
D4,2,IH,1,1,CW,0.1
D5,5,IH,1,2,CW,0.25
D5,28,IH,9,1,C,0.3
D4,28,IH,9,1,CW,0.2
D1,3,IH,10,1,C,0.28
