"","Control_3MSO_5.2","Control_OH-Alkenyl_6","Control_4MSO_7.1","Control_Allyl_7.4","Control_5MSO_10.2","Control_Butenyl_12.1","Control_Junk_13","Control_3MT_13.6","Control_MSOO_13.8","Control_OH I3M_15.1","Control_4MT _15.5","Control_Flavonol_16.1","Control_I3M_16.7","Control_Flavonol_17.5","Control_Flavonol_18.5","Control_Junk_18.7","Control_Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year","totalGSL"
"1",NA,NA,36.58859,NA,NA,152.43221,NA,NA,NA,NA,NA,34.75586,25.46206,6.93054,9.44801,NA,NA,"CP2",13,"C",0.24,2244.132886,38.66169,-120.13065,2020,265.61727
"2",NA,NA,36.96466,18.29848,28.06921,973.66455,NA,NA,14.32415,NA,NA,22.21723,73.05537,7.8762,8.65733,NA,NA,"CP2",11,"C",0.3,2244.132886,38.66169,-120.13065,2020,1183.12718
"3",112.63695,NA,NA,495.65314,NA,15.05947,NA,62.75551,NA,NA,NA,17.07449,11.7095,NA,25.30813,NA,NA,"IH",10,"C",0.28,454.1298385,39.09332,-120.92114,2020,740.19719
"4",NA,NA,42.52415,NA,23.82374,848.00671,NA,NA,NA,NA,8.73679,35.5279,37.21616,14.42536,11.97278,NA,NA,"CP2",1,"C",0.32,2244.132886,38.66169,-120.13065,2020,1022.23359
"5",57.38611,NA,NA,1207.5293,45.01324,16.90826,NA,NA,53.88432,5.87268,NA,21.65887,210.47545,NA,15.55503,NA,NA,"SQ2",14,"C",0.19,1934.45122,36.66557,-118.83543,2021,1634.28326
"6",36.59916,NA,14.42173,363.70395,NA,258.29602,NA,28.64133,52.74619,NA,NA,11.586,82.28701,NA,26.99667,NA,NA,"LC",8,"C",0.22,1362.3,39.31897,-120.65744,2022,875.27806
"7",NA,NA,46.04654,NA,25.61493,332.21231,NA,NA,10.25078,NA,NA,NA,30.26018,NA,25.19355,NA,52.30389,"WL3",14,"C",0.06,2137.762877,38.83528,-120.23824,2020,521.88218
"9",NA,NA,74.39651,NA,16.00237,658.50305,NA,NA,25.17309,NA,16.78879,44.8307,55.56231,34.66566,18.14363,NA,NA,"CP2",2,"C",0.38,2244.132886,38.66169,-120.13065,2020,944.06611
"11",NA,NA,183.31104,12.27459,15.18577,1437.84912,NA,NA,143.41393,NA,16.03297,29.05006,24.00856,7.76045,20.33657,NA,NA,"LV1",9,"C",0.26,2593.416641,40.47471,-121.50486,2018,1889.22306
"12",NA,NA,19.23649,12.04793,NA,1182.14868,NA,NA,58.84094,NA,18.86548,42.86823,NA,NA,42.68518,NA,63.03893,"LV1",13,"C",0.29,2593.416641,40.47471,-121.50486,2018,1439.73186
"13",27.78997,NA,45.51201,88.07706,NA,305.2868,NA,54.20429,12.40868,NA,15.87269,24.52774,182.27005,NA,13.3507,NA,NA,"CALO",14,"C",0.17,1117.6,39.19494,-120.77055,2022,769.29999
"14",20.15581,NA,33.56804,42.2215,NA,191.57762,NA,42.85421,6.24709,NA,28.3553,22.23578,29.39487,NA,12.53824,NA,NA,"CALO",3,"C",0.21,1117.6,39.19494,-120.77055,2022,429.14846
"17",NA,NA,NA,13.22279,NA,605.31891,NA,NA,36.53088,NA,NA,21.08639,NA,29.32444,53.28517,NA,5.29461,"LV2",5,"C",0.2,2500.457178,40.46563,-121.51487,2018,764.06319
"18",NA,68.92462,24.36056,NA,10.78749,571.64423,NA,NA,NA,NA,NA,6.7296,33.06401,NA,15.68493,NA,NA,"WL2",10,"C",0.25,2020.115818,38.8263,-120.25242,2020,731.19544
"19",13.74598,NA,NA,1635.01245,80.51949,18.9896,NA,7.17208,18.96675,14.12206,11.20803,13.6157,212.12047,NA,21.82156,NA,NA,"SQ2",9,"C",0.16,1934.45122,36.66557,-118.83543,2021,2047.29417
"20",NA,NA,172.29904,35.46329,45.27237,2562.82007,10.12512,NA,209.30177,NA,28.42655,22.04085,32.16915,11.22656,39.28907,NA,27.69233,"LV2",10,"C",0.11,2500.457178,40.46563,-121.51487,2018,3186.00105
"22",29.4548,NA,46.23318,175.48875,NA,429.05521,NA,29.17409,20.05771,NA,12.41866,30.00908,95.02926,NA,24.89922,5.7242,5.6555,"DPR",3,"C",0.19,1018.591893,39.22846,-120.81518,2020,897.47546
"24",NA,NA,124.75429,NA,24.53423,520.96783,NA,NA,29.17042,NA,8.25692,11.06586,36.98803,7.49234,23.65588,NA,57.55869,"CP2",1,"C",0.11,2244.132886,38.66169,-120.13065,2020,844.44449
"27",28.55625,NA,NA,919.09351,30.56679,9.43718,NA,21.86027,37.95572,NA,8.46638,16.17222,71.37461,NA,27.88775,NA,NA,"SQ1",2,"C",0.27,1921.036585,36.56435,-118.7764,2017,1171.37068
"28",NA,NA,198.04428,38.0809,44.98935,1562.80798,8.69126,10.96738,254.03065,NA,96.28424,25.33951,142.88864,11.83472,19.8246,NA,6.28223,"LV1",4,"C",0.15,2593.416641,40.47471,-121.50486,2018,2411.37448
"29",9.91459,NA,92.22476,14.21159,NA,195.07928,NA,12.42685,9.40664,5.43054,22.10736,12.70533,63.38177,NA,14.4873,NA,6.40564,"TFC",1,"C",NA,1085,39.42772,-120.93623,2021,457.78165
"30",39.88552,NA,22.99538,264.40945,NA,147.19353,NA,13.5635,34.98003,NA,NA,7.341,230.81564,NA,33.27124,NA,5.51588,"LC",8,"C",0.25,1362.3,39.31897,-120.65744,2022,799.97117
"33",46.85078,NA,NA,1064.22058,50.77152,15.43417,NA,8.51176,8.29863,NA,7.05881,8.041,82.59296,NA,16.27663,NA,6.05731,"SQ2",20,"C",0.27,1934.45122,36.66557,-118.83543,2021,1314.11415
"35",NA,NA,NA,496.17709,20.70114,NA,NA,NA,6.80186,NA,NA,NA,49.73274,NA,23.45775,NA,43.21574,"SQ2",15,"C",0.16,1934.45122,36.66557,-118.83543,2021,640.08632
"36",24.80297,NA,26.2974,274.66934,NA,383.35526,NA,33.93338,22.79669,NA,9.81245,13.10711,125.99339,NA,25.82839,21.16726,6.65563,"LC",7,"C",0.32,1362.3,39.31897,-120.65744,2022,947.25201
"37",NA,NA,89.97781,25.20755,20.9144,1295.37439,8.15353,NA,128.17426,NA,11.76367,9.20591,31.49908,7.56721,19.88856,NA,6.39655,"LV1",19,"C",0.3,2593.416641,40.47471,-121.50486,2018,1645.96939
"38",34.21106,NA,36.66428,111.02053,NA,228.96861,NA,26.00937,NA,NA,14.58607,6.17876,8.48005,NA,21.98944,NA,7.77715,"RB",1,"C",0.16,787,40.01362,-121.18498,2010,495.88532
"39",NA,NA,NA,68.07956,NA,354.73969,NA,12.11014,NA,NA,7.33754,14.80138,NA,NA,48.42652,NA,20.99249,"TM2",4,"C",0.29,379.1526973,39.59255,-121.55072,2020,526.48732
"40",15.28263,NA,NA,1081.54187,72.53551,14.44836,NA,17.25307,13.2694,NA,10.15644,15.44018,125.31872,NA,26.86713,NA,6.70299,"SQ2",12,"C",0.19,1934.45122,36.66557,-118.83543,2021,1398.8163
"41",NA,NA,NA,12.11329,NA,401.80206,NA,NA,6.55912,NA,10.7907,14.64653,NA,NA,12.73926,NA,5.05331,"MtSH",9,"C",0.15,1282,38.66767778,-122.6272806,2022,463.70427
"44",14.81113,NA,NA,359.88889,NA,29.24652,NA,31.3145,8.4459,NA,NA,13.86213,11.20167,NA,28.27715,NA,9.8219,"BH",9,"C",0.19,511.4294422,37.40985,-119.96458,2018,506.86979
"46",NA,NA,72.58587,37.42112,14.85392,1058.71924,NA,NA,70.34247,NA,16.90769,24.05205,17.41056,11.01799,12.61582,NA,7.71308,"LV2",8,"C",0.18,2500.457178,40.46563,-121.51487,2018,1343.63981
"47",52.59094,NA,NA,1145.7749,21.08889,17.56382,NA,NA,17.44213,17.46635,9.16538,5.45549,513.66235,16.60606,26.84755,NA,7.56526,"SQ2",20,"C",0.15,1934.45122,36.66557,-118.83543,2021,1851.22912
"48",NA,NA,NA,518.49469,NA,NA,NA,17.83162,9.95044,NA,NA,8.2778,44.48451,NA,15.93163,NA,47.55331,"SQ2",18,"C",0.16,1934.45122,36.66557,-118.83543,2021,662.524
"49",NA,NA,NA,885.31683,25.44355,10.32493,NA,NA,8.46953,NA,NA,11.86886,17.68009,NA,17.72002,NA,56.28209,"SQ1",7,"C",0.32,1921.036585,36.56435,-118.7764,2017,1033.1059
"51",NA,NA,78.57601,16.25497,13.38577,546.76685,NA,NA,10.70237,NA,NA,20.96443,93.44359,NA,19.96854,NA,38.52455,"CP2",13,"C",0.44,2244.132886,38.66169,-120.13065,2020,838.58708
"52",18.17465,NA,NA,452.31512,NA,NA,NA,25.93255,NA,NA,NA,6.0813,7.90948,NA,18.52443,NA,47.92609,"SC",19,"C",0.15,421.5178299,38.41167,-120.73583,2021,576.86362
"54",40.80079,NA,NA,397.71652,NA,NA,NA,60.0071,NA,NA,NA,6.50901,23.33759,NA,7.27924,NA,6.78559,"SC",20,"C",0.16,421.5178299,38.41167,-120.73583,2021,542.43584
"58",NA,NA,NA,NA,21.39416,485.91031,NA,NA,NA,NA,NA,16.68384,16.9529,7.32297,22.11771,NA,49.43908,"CP2",17,"C",0.34,2244.132886,38.66169,-120.13065,2020,619.82097
