year,month,cwd
1895,12,15.82999992
1895,11,25.02000046
1895,10,57.00999832
1896,4,37.34000015
1896,8,142.1999969
1896,12,17.5
1896,2,24.04999924
1896,1,14.42000008
1896,7,137.5599976
1896,6,85.80000305
1896,3,26.65999985
1896,5,44.36000061
1896,11,22.57999992
1896,10,57.24000168
1896,9,85.73000336
1897,4,59.29999924
1897,8,147.6999969
1897,12,16.17000008
1897,2,18.35000038
1897,1,15.22999954
1897,7,113.1999969
1897,6,57.04000092
1897,3,20.09000015
1897,5,74.97000122
1897,11,24.46999931
1897,10,60.88000107
1897,9,103.0999985
1898,4,60.15999985
1898,8,146.3999939
1898,12,16.26000023
1898,2,23.52000046
1898,1,13.89999962
1898,7,115.0599976
1898,6,58.22000122
1898,3,31.67000008
1898,5,64.05999756
1898,11,24.95000076
1898,10,63.36999893
1898,9,103.6999969
1899,4,56.54999924
1899,8,135.3000031
1899,12,15.96000004
1899,2,22.07999992
1899,1,15.18999958
1899,7,120.8199997
1899,6,73.12999725
1899,3,21.92000008
1899,5,57.77000046
1899,11,23.80999947
1899,10,60.29999924
1899,9,89.68000031
1900,4,48.81000137
1900,8,136.3000031
1900,12,17.31999969
1900,2,23.05999947
1900,1,16.36000061
1900,7,128.3099976
1900,6,85.69000244
1900,3,35.81999969
1900,5,70.75
1900,11,24.29999924
1900,10,53.72999954
1900,9,98.69999695
1901,4,48.47000122
1901,8,148
1901,12,17.5
1901,2,19.47999954
1901,1,13.97999954
1901,7,162.8099976
1901,6,85.79000092
1901,3,34.63999939
1901,5,70.58999634
1901,11,26.48999977
1901,10,52.06000137
1901,9,102.5999985
1902,4,48.04000092
1902,8,142.6000061
1902,12,16.20000076
1902,2,20.07999992
1902,1,15.38000011
1902,7,127.6200027
1902,6,84.83000183
1902,3,28.73999977
1902,5,66.69999695
1902,11,22.75
1902,10,63.79999924
1902,9,111
1903,4,53.25
1903,8,143
1903,12,17.13999939
1903,2,19.73999977
1903,1,14.14000034
1903,7,128.5200043
1903,6,84.91999817
1903,3,22.23999977
1903,5,71.66999817
1903,11,25.14999962
1903,10,66.80000305
1903,9,106.5999985
1904,4,43.58000183
1904,8,146
1904,12,17.22999954
1904,2,19.14999962
1904,1,16
1904,7,141.3600006
1904,6,85.91000366
1904,3,22.15999985
1904,5,73.73000336
1904,11,26.81999969
1904,10,49.81000137
1904,9,95.16999817
1905,4,58.81000137
1905,8,148.8999939
1905,12,16.62999916
1905,2,24.43000031
1905,1,16.86000061
1905,7,138.0599976
1905,6,84.04000092
1905,3,24.78000069
1905,5,53.08000183
1905,11,29.25
1905,10,64
1905,9,105.3899994
1906,4,57.47000122
1906,8,129.3699951
1906,12,16.29999924
1906,2,21.54000092
1906,1,14.68999958
1906,7,93.62000275
1906,6,55.25
1906,3,22.79000092
1906,5,46.09999847
1906,11,27.35000038
1906,10,65.43000031
1906,9,107.4000015
1907,4,58.68999863
1907,8,125.1999969
1907,12,16.81999969
1907,2,22.13999939
1907,1,12.60999966
1907,7,81.69999695
1907,6,55.09000015
1907,3,20.88999939
1907,5,69.29000092
1907,11,27.96999931
1907,10,65.59999847
1907,9,103.5
1908,4,59.90999985
1908,8,149.1000061
1908,12,15.55000019
1908,2,22.37999916
1908,1,15.46000004
1908,7,143.3899994
1908,6,57.49000168
1908,3,33.90999985
1908,5,45.75999832
1908,11,26.55999947
1908,10,63.29999924
1908,9,109
1909,4,61.25999832
1909,8,147.6999969
1909,12,14.94999981
1909,2,18.80999947
1909,1,14
1909,7,120.3399963
1909,6,85.08000183
1909,3,32.06000137
1909,5,71.40000153
1909,11,23.47999954
1909,10,64.26999664
1909,9,109.5
1910,4,62.24000168
1910,8,146.3999939
1910,12,17.57999992
1910,2,22.22999954
1910,1,12.97000027
1910,7,171.3000031
1910,6,96.66999817
1910,3,36.43999863
1910,5,75.19000244
1910,11,25.70999908
1910,10,58.11000061
1910,9,105.9000015
1911,4,41.81000137
1911,8,142.1000061
1911,12,16.17000008
1911,2,20.42000008
1911,1,13.44999981
1911,7,126.8700027
1911,6,83.81999969
1911,3,25.13999939
1911,5,67.18000031
1911,11,26.70000076
1911,10,64.09999847
1911,9,100.4000015
1912,4,40.66999817
1912,8,139
1912,12,16.44000053
1912,2,23.89999962
1912,1,15.60999966
1912,7,126.1900024
1912,6,57.52999878
1912,3,31.04999924
1912,5,47.16999817
1912,11,24.70999908
1912,10,48.79999924
1912,9,104.5
1913,4,54.59999847
1913,8,147.8000031
1913,12,15.36999989
1913,2,22.22999954
1913,1,13.85999966
1913,7,90.04000092
1913,6,64.91999817
1913,3,32.00999832
1913,5,70.11000061
1913,11,28.43000031
1913,10,66.63999939
1913,9,108.1100006
1914,4,57.84000015
1914,8,148.1000061
1914,12,15.19999981
1914,2,22.15999985
1914,1,13.44999981
1914,7,98.01999664
1914,6,58.43999863
1914,3,36.83000183
1914,5,75.08000183
1914,11,28.12999916
1914,10,66.90000153
1914,9,106.6999969
1915,4,57.34999847
1915,8,148.6999969
1915,12,16.62999916
1915,2,19.61000061
1915,1,14.46000004
1915,7,139.6300049
1915,6,84.69999695
1915,3,35.20999908
1915,5,44.95000076
1915,11,28.70000076
1915,10,69.69999695
1915,9,106.1999969
1916,4,59.79000092
1916,8,146.6999969
1916,12,15.03999996
1916,2,22.60000038
1916,1,11.56999969
1916,7,126.0199966
1916,6,84.97000122
1916,3,34.68000031
1916,5,69.29000092
1916,11,24.64999962
1916,10,54.29999924
1916,9,109.0999985
1917,4,52.34999847
1917,8,149.8999939
1917,12,18.85000038
1917,2,19.87999916
1917,1,14.28999996
1917,7,146.6499939
1917,6,87.72000122
1917,3,30.48999977
1917,5,67.29000092
1917,11,31
1917,10,71.80000305
1917,9,108.8000031
1918,4,57.52999878
1918,8,147.1000061
1918,12,16.17000008
1918,2,20.20999908
1918,1,16.30999947
1918,7,169.6999969
1918,6,111.2600021
1918,3,23.43000031
1918,5,69.01999664
1918,11,24.46999931
1918,10,54.31000137
1918,9,106.9000015
1919,4,58.45000076
1919,8,147.6999969
1919,12,16.26000023
1919,2,18.21999931
1919,1,16.23999977
1919,7,143.7400055
1919,6,85.02999878
1919,3,27.70000076
1919,5,75.34999847
1919,11,25.65999985
1919,10,55.99000168
1919,9,104.6999969
1920,4,41.86000061
1920,8,150.5
1920,12,14.86999989
1920,2,23.29000092
1920,1,17.01000023
1920,7,167
1920,6,75.80000305
1920,3,24.20999908
1920,5,71.55999756
1920,11,22.5
1920,10,52.06000137
1920,9,89.40000153
1921,4,55.45000076
1921,8,142.1000061
1921,12,16.38999939
1921,2,23.13999939
1921,1,12.81999969
1921,7,126.3899994
1921,6,84.75
1921,3,34.25
1921,5,64.94999695
