year,month,pck
1895,12,106.7399979
1895,11,0
1895,10,0
1896,4,375.5799866
1896,8,0
1896,12,74.54000092
1896,2,255.8099976
1896,1,325.4599915
1896,7,0
1896,6,0
1896,3,240.3099976
1896,5,0
1896,11,72.98000336
1896,10,0
1896,9,0
1897,4,385.0899963
1897,8,0
1897,12,34.00999832
1897,2,472.1300049
1897,1,111.8099976
1897,7,0
1897,6,0
1897,3,734.289978
1897,5,0
1897,11,0
1897,10,0
1897,9,0
1898,4,0
1898,8,0
1898,12,0
1898,2,130.5899963
1898,1,81.91999817
1898,7,0
1898,6,0
1898,3,44.99000168
1898,5,0
1898,11,0
1898,10,0
1898,9,0
1899,4,73.06999969
1899,8,0
1899,12,109.75
1899,2,103.1500015
1899,1,125.1699982
1899,7,0
1899,6,0
1899,3,364.9599915
1899,5,0
1899,11,0
1899,10,0
1899,9,0
1900,4,0
1900,8,0
1900,12,0
1900,2,115.1699982
1900,1,125.6399994
1900,7,0
1900,6,0
1900,3,0
1900,5,0
1900,11,0
1900,10,0
1900,9,0
1901,4,0
1901,8,0
1901,12,0
1901,2,401.4400024
1901,1,193.2799988
1901,7,0
1901,6,0
1901,3,253.1199951
1901,5,0
1901,11,0
1901,10,0
1901,9,0
1902,4,7.730000019
1902,8,0
1902,12,89.55999756
1902,2,229.5
1902,1,0
1902,7,0
1902,6,0
1902,3,236.3899994
1902,5,0
1902,11,0
1902,10,0
1902,9,0
1903,4,263.6099854
1903,8,0
1903,12,0
1903,2,348.3399963
1903,1,266.8800049
1903,7,0
1903,6,0
1903,3,474.9599915
1903,5,0
1903,11,0
1903,10,0
1903,9,0
1904,4,470.1300049
1904,8,0
1904,12,13.77000046
1904,2,519.4000244
1904,1,4.440000057
1904,7,0
1904,6,0
1904,3,776.8200073
1904,5,0
1904,11,0
1904,10,0
1904,9,0
1905,4,0
1905,8,0
1905,12,0
1905,2,0
1905,1,2.200000048
1905,7,0
1905,6,0
1905,3,0
1905,5,0
1905,11,0
1905,10,0
1905,9,0
1906,4,43.88999939
1906,8,0
1906,12,141.0200043
1906,2,183
1906,1,180
1906,7,0
1906,6,0
1906,3,350.8399963
1906,5,0
1906,11,0
1906,10,0
1906,9,0
1907,4,592.0900269
1907,8,0
1907,12,137.75
1907,2,375.4200134
1907,1,415.9100037
1907,7,0
1907,6,0
1907,3,927.5100098
1907,5,27.71999931
1907,11,0
1907,10,0
1907,9,0
1908,4,0
1908,8,0
1908,12,67.23000336
1908,2,246.0800018
1908,1,209.8600006
1908,7,0
1908,6,0
1908,3,142.8200073
1908,5,0
1908,11,0
1908,10,0
1908,9,0
1909,4,469.6300049
1909,8,0
1909,12,214.0399933
1909,2,896.9299927
1909,1,608.3200073
1909,7,0
1909,6,0
1909,3,865.8099976
1909,5,0
1909,11,0
1909,10,0
1909,9,0
1910,4,0
1910,8,0
1910,12,0
1910,2,490.2600098
1910,1,423.3699951
1910,7,0
1910,6,0
1910,3,310.5
1910,5,0
1910,11,0
1910,10,0
1910,9,0
1911,4,336.4700012
1911,8,0
1911,12,5.46999979
1911,2,662.8900146
1911,1,544.0800171
1911,7,0
1911,6,0
1911,3,563.289978
1911,5,0
1911,11,0
1911,10,0
1911,9,0
1912,4,0
1912,8,0
1912,12,10.26000023
1912,2,14.19999981
1912,1,79.12999725
1912,7,0
1912,6,0
1912,3,30.80999947
1912,5,0
1912,11,0
1912,10,0
1912,9,0
1913,4,0
1913,8,0
1913,12,235.1399994
1913,2,205.8300018
1913,1,236.1300049
1913,7,0
1913,6,0
1913,3,157.5599976
1913,5,0
1913,11,0
1913,10,0
1913,9,0
1914,4,112.5899963
1914,8,0
1914,12,108.4100037
1914,2,637.25
1914,1,591.6400146
1914,7,0
1914,6,0
1914,3,424.8999939
1914,5,0
1914,11,0
1914,10,0
1914,9,0
1915,4,97.70999908
1915,8,0
1915,12,104.0599976
1915,2,565.0700073
1915,1,280.3299866
1915,7,0
1915,6,0
1915,3,404.25
1915,5,0
1915,11,0
1915,10,0
1915,9,0
1916,4,383.3200073
1916,8,0
1916,12,259.0799866
1916,2,879.8900146
1916,1,878.9299927
1916,7,0
1916,6,0
1916,3,748.2000122
1916,5,0
1916,11,0
1916,10,0
1916,9,0
1917,4,290.3999939
1917,8,0
1917,12,0
1917,2,540.1699829
1917,1,335.1199951
1917,7,0
1917,6,0
1917,3,528.7399902
1917,5,0
1917,11,0
1917,10,0
1917,9,0
1918,4,0
1918,8,0
1918,12,0
1918,2,155.9499969
1918,1,0
1918,7,0
1918,6,0
1918,3,166.9700012
1918,5,0
1918,11,0
1918,10,0
1918,9,0
1919,4,113.9000015
1919,8,0
1919,12,95.51000214
1919,2,453.6400146
1919,1,0
1919,7,0
1919,6,0
1919,3,446.769989
1919,5,0
1919,11,0
1919,10,0
1919,9,0
1920,4,0
1920,8,0
1920,12,315.3399963
1920,2,23.59000015
1920,1,37.66999817
1920,7,0
1920,6,0
1920,3,102.7300034
1920,5,0
1920,11,72.65000153
1920,10,0
1920,9,0
1921,4,261.5299988
1921,8,0
1921,12,122.3600006
1921,2,632.8900146
1921,1,635.9500122
1921,7,0
1921,6,0
1921,3,532.0599976
1921,5,0
1921,11,0
1921,10,0
1921,9,0
1922,4,650.1599731
1922,8,0
1922,12,258.5700073
1922,2,710.7600098
1922,1,221.6199951
1922,7,0
1922,6,0
1922,3,851.6099854
1922,5,33.77999878
1922,11,0
1922,10,0
1922,9,0
1923,4,41.59999847
1923,8,0
1923,12,35.45000076
1923,2,367.3699951
1923,1,382.1700134
1923,7,0
1923,6,0
1923,3,210.7299957
1923,5,0
1923,11,0
1923,10,0
1923,9,0
1924,4,0
1924,8,0
1924,12,142.2799988
1924,2,26.95999908
1924,1,78.69999695
1924,7,0
1924,6,0
1924,3,0
1924,5,0
1924,11,0
1924,10,0
1924,9,0
1925,4,0
1925,8,0
1925,12,0
1925,2,345.2999878
1925,1,176.25
1925,7,0
1925,6,0
1925,3,236.7899933
1925,5,0
1925,11,0
1925,10,0
1925,9,0
1926,4,0
1926,8,0
1926,12,11.13000011
1926,2,191.2700043
1926,1,64.72000122
1926,7,0
1926,6,0
1926,3,0
1926,5,0
1926,11,0
1926,10,0
1926,9,0
1927,4,262.4299927
1927,8,0
1927,12,57.52000046
1927,2,495.730011
1927,1,149.8699951
1927,7,0
1927,6,0
1927,3,450.0599976
1927,5,0
1927,11,0
1927,10,0
1927,9,0
1928,4,0
1928,8,0
1928,12,86.80999756
1928,2,69.01000214
1928,1,75.18000031
1928,7,0
1928,6,0
1928,3,86.95999908
1928,5,0
1928,11,0
1928,10,0
1928,9,0
1929,4,43.31999969
1929,8,0
1929,12,75.41000366
1929,2,215.4799957
1929,1,132.6100006
1929,7,0
1929,6,0
1929,3,160.4700012
1929,5,0
1929,11,0
1929,10,0
1929,9,0
1930,4,0
1930,8,0
1930,12,0
1930,2,343.9500122
1930,1,340.6099854
