year,month,ppt
1895,12,218.3399963
1895,11,54.27999878
1895,10,4.449999809
1896,4,496.769989
1896,8,15.52999973
1896,12,224.9799957
1896,2,29.11000061
1896,1,652.2800293
1896,7,4.269999981
1896,6,2.670000076
1896,3,326.7799988
1896,5,198.1499939
1896,11,475.2999878
1896,10,52.88999939
1896,9,41.81999969
1897,4,77.25
1897,8,0.029999999
1897,12,137.1100006
1897,2,480.3699951
1897,1,123.3700027
1897,7,0
1897,6,50.15999985
1897,3,353.3299866
1897,5,12.93000031
1897,11,140.5
1897,10,102.9800034
1897,9,16.02000046
1898,4,42.77999878
1898,8,0
1898,12,82.69000244
1898,2,290.769989
1898,1,69.58000183
1898,7,0
1898,6,53.81999969
1898,3,54.09000015
1898,5,96.20999908
1898,11,159.1300049
1898,10,66.48999786
1898,9,13.97000027
1899,4,46.59000015
1899,8,21.09000015
1899,12,354.6700134
1899,2,48.56999969
1899,1,314.8299866
1899,7,0
1899,6,27.54999924
1899,3,597.5800171
1899,5,103.2799988
1899,11,330.25
1899,10,357.25
1899,9,2.569999933
1900,4,164.3399963
1900,8,0
1900,12,166.1999969
1900,2,114.9300003
1900,1,217.3899994
1900,7,0.629999995
1900,6,14.17000008
1900,3,247.7799988
1900,5,70.54000092
1900,11,270.1000061
1900,10,255.6100006
1900,9,29.53000069
1901,4,176.8899994
1901,8,1.299999952
1901,12,192.4700012
1901,2,437.2999878
1901,1,365.230011
1901,7,0
1901,6,0
1901,3,97.59999847
1901,5,37.50999832
1901,11,169.4199982
1901,10,124.0899963
1901,9,116.0400009
1902,4,154.6499939
1902,8,0.140000001
1902,12,293.9500122
1902,2,580.7299805
1902,1,58.27999878
1902,7,0.610000014
1902,6,13.84000015
1902,3,210.9299927
1902,5,61.20999908
1902,11,232.3300018
1902,10,138.3800049
1902,9,0.059999999
1903,4,69.63999939
1903,8,3.339999914
1903,12,100.5699997
1903,2,117.4300003
1903,1,463.4599915
1903,7,0
1903,6,7.960000038
1903,3,430.2399902
1903,5,34.06999969
1903,11,614.289978
1903,10,70.54000092
1903,9,0.449999988
1904,4,187.6600037
1904,8,11.97000027
1904,12,201.1699982
1904,2,825.1799927
1904,1,119.1299973
1904,7,2.029999971
1904,6,0
1904,3,636.7800293
1904,5,27.22999954
1904,11,97.81999969
1904,10,253.4700012
1904,9,130.1100006
1905,4,102.1900024
1905,8,8.659999847
1905,12,103.7200012
1905,2,201.1699982
1905,1,186.8699951
1905,7,0
1905,6,8.100000381
1905,3,376.7000122
1905,5,116.3300018
1905,11,87.08000183
1905,10,3.299999952
1905,9,8.159999847
1906,4,98.05999756
1906,8,3.769999981
1906,12,495.6300049
1906,2,331.1900024
1906,1,637.9000244
1906,7,0.140000001
1906,6,109.6399994
1906,3,631.1799927
1906,5,292.9299927
1906,11,127.1399994
1906,10,10.72999954
1906,9,12.06000042
1907,4,70.16999817
1907,8,0
1907,12,409.9599915
1907,2,300.4500122
1907,1,354.1900024
1907,7,1.899999976
1907,6,124.6600037
1907,3,840.5599976
1907,5,57.50999832
1907,11,10.89000034
1907,10,35.75999832
1907,9,2.279999971
1908,4,44.36000061
1908,8,0
1908,12,131.3899994
1908,2,162.8000031
1908,1,200.0599976
1908,7,0.01
1908,6,30.40999985
1908,3,153.3300018
1908,5,157.9600067
1908,11,122
1908,10,120.6399994
1908,9,10.18999958
1909,4,15.27999973
1909,8,0
1909,12,363.1000061
1909,2,426.0799866
1909,1,1096.050049
1909,7,0
1909,6,20.78000069
1909,3,184.1199951
1909,5,37.38999939
1909,11,417.25
1909,10,142.3000031
1909,9,15.42000008
1910,4,71.52999878
1910,8,0
1910,12,174.3399963
1910,2,204.3500061
1910,1,273.2999878
1910,7,0.389999986
1910,6,6.409999847
1910,3,212.1999969
1910,5,18.03000069
1910,11,123.4000015
1910,10,57.72999954
1910,9,60.25999832
1911,4,159.4299927
1911,8,0
1911,12,93.76999664
1911,2,183.0399933
1911,1,888.6400146
1911,7,0.029999999
1911,6,19.07999992
1911,3,356.0299988
1911,5,62.88000107
1911,11,98.81999969
1911,10,42.5
1911,9,6.949999809
1912,4,193.8800049
1912,8,0
1912,12,117.0199966
1912,2,37.04999924
1912,1,221.0299988
1912,7,0.389999986
1912,6,33.38999939
1912,3,201.4799957
1912,5,156.2799988
1912,11,226.6300049
1912,10,87.34999847
1912,9,85.31999969
1913,4,119.5599976
1913,8,5.480000019
1913,12,465.4700012
1913,2,38.22000122
1913,1,307.6400146
1913,7,31.20999908
1913,6,32.13000107
1913,3,143.8500061
1913,5,94.26000214
1913,11,280.7799988
1913,10,0.029999999
1913,9,2.319999933
1914,4,136.0399933
1914,8,0
1914,12,179.3500061
1914,2,244.5099945
1914,1,575.9000244
1914,7,0.560000002
1914,6,68.68000031
1914,3,56.58000183
1914,5,70.72000122
1914,11,36.15999985
1914,10,108.3099976
1914,9,2.039999962
1915,4,84.16000366
1915,8,0
1915,12,309.0899963
1915,2,573.5300293
1915,1,332.9700012
1915,7,0.129999995
1915,6,0.039999999
1915,3,103.3000031
1915,5,383.3900146
1915,11,110.6600037
1915,10,7.119999886
1915,9,0.01
1916,4,31.28000069
1916,8,5.170000076
1916,12,398.1000061
1916,2,258.9899902
1916,1,781.0200195
