year,month,str
1895,12,149.5
1895,11,138.6399994
1895,10,95.30999756
1896,4,149.5
1896,8,60.65000153
1896,12,149.5
1896,2,149.5
1896,1,149.5
1896,7,45.11999893
1896,6,81.87000275
1896,3,149.5
1896,5,149.5
1896,11,149.5
1896,10,129.7299957
1896,9,85.40000153
1897,4,149.5
1897,8,38.97999954
1897,12,149.5
1897,2,149.5
1897,1,149.5
1897,7,46.34000015
1897,6,106.9000015
1897,3,149.5
1897,5,149.5
1897,11,149.5
1897,10,149.5
1897,9,55
1898,4,149.5
1898,8,38.93000031
1898,12,149.5
1898,2,149.5
1898,1,149.5
1898,7,46.25
1898,6,108.6399994
1898,3,149.5
1898,5,149.5
1898,11,149.5
1898,10,118.9599991
1898,9,52.90000153
1899,4,149.5
1899,8,67.05000305
1899,12,149.5
1899,2,149.5
1899,1,149.5
1899,7,45.95999908
1899,6,95.08000183
1899,3,149.5
1899,5,149.5
1899,11,149.5
1899,10,149.5
1899,9,47.52000046
1900,4,149.5
1900,8,38.75999832
1900,12,149.5
1900,2,149.5
1900,1,149.5
1900,7,45.58000183
1900,6,93.45999908
1900,3,149.5
1900,5,149.5
1900,11,149.5
1900,10,149.5
1900,9,68.29000092
1901,4,149.5
1901,8,37.75999832
1901,12,149.5
1901,2,149.5
1901,1,149.5
1901,7,43.86000061
1901,6,59.29000092
1901,3,149.5
1901,5,127.0999985
1901,11,149.5
1901,10,149.5
1901,9,149.5
1902,4,149.5
1902,8,38.63000107
1902,12,149.5
1902,2,149.5
1902,1,149.5
1902,7,45.61999893
1902,6,91.87000275
1902,3,149.5
1902,5,147.3999939
1902,11,149.5
1902,10,149.5
1902,9,33.13999939
1903,4,149.5
1903,8,41.75999832
1903,12,149.5
1903,2,149.5
1903,1,149.5
1903,7,45.56999969
1903,6,87.87999725
1903,3,149.5
1903,5,149.5
1903,11,149.5
1903,10,107.4199982
1903,9,36.88000107
1904,4,149.5
1904,8,56.90000153
1904,12,149.5
1904,2,149.5
1904,1,149.5
1904,7,44.93000031
1904,6,79.11000061
1904,3,149.5
1904,5,149.5
1904,11,149.5
1904,10,149.5
1904,9,149.5
1905,4,149.5
1905,8,53.75999832
1905,12,149.5
1905,2,149.5
1905,1,149.5
1905,7,45.09999847
1905,6,88.73999786
1905,3,149.5
1905,5,149.5
1905,11,137.1000061
1905,10,59.11000061
1905,9,58.81000137
1906,4,149.5
1906,8,45.52999878
1906,12,149.5
1906,2,149.5
1906,1,149.5
1906,7,66.55999756
1906,6,149.5
1906,3,149.5
1906,5,149.5
1906,11,149.5
1906,10,65.75
1906,9,57.59000015
1907,4,149.5
1907,8,45.74000168
1907,12,149.5
1907,2,149.5
1907,1,149.5
1907,7,67.19999695
1907,6,149.5
1907,3,149.5
1907,5,149.5
1907,11,84.86000061
1907,10,78.59999847
1907,9,42.84000015
1908,4,149.5
1908,8,37.36999893
1908,12,149.5
1908,2,149.5
1908,1,149.5
1908,7,44.83000183
1908,6,86.40000153
1908,3,149.5
1908,5,149.5
1908,11,149.5
1908,10,149.5
1908,9,42.11000061
1909,4,149.5
1909,8,38.59000015
1909,12,149.5
1909,2,149.5
1909,1,149.5
1909,7,45.97999954
1909,6,100.5599976
1909,3,149.5
1909,5,149.5
1909,11,149.5
1909,10,149.5
1909,9,54.00999832
1910,4,149.5
1910,8,31.67000008
1910,12,149.5
1910,2,149.5
1910,1,149.5
