year,month,tmn
1895,12,-2.599999905
1895,11,0.579999983
1895,10,7.010000229
1896,4,-2.069999933
1896,8,11.35999966
1896,12,0.379999995
1896,2,-0.99000001
1896,1,0.129999995
1896,7,13.44999981
1896,6,8.539999962
1896,3,-0.100000001
1896,5,1.929999948
1896,11,0.529999971
1896,10,5.800000191
1896,9,8
1897,4,2.369999886
1897,8,13.73999977
1897,12,-2.660000086
1897,2,-2.809999943
1897,1,-2.400000095
1897,7,11.93999958
1897,6,8
1897,3,-3.630000114
1897,5,5.75
1897,11,0.25
1897,10,4.400000095
1897,9,7.880000114
1898,4,2.440000057
1898,8,12.93000031
1898,12,-2.839999914
1898,2,-0.460000008
1898,1,-4.949999809
1898,7,13.09000015
1898,6,8.229999542
1898,3,-2.839999914
1898,5,2.920000076
1898,11,0.310000002
1898,10,4.46999979
1898,9,7.159999847
1899,4,1.139999986
1899,8,9.289999962
1899,12,-0.920000017
1899,2,-2.849999905
1899,1,-1.639999986
1899,7,8.859999657
1899,6,8.789999962
1899,3,-1.269999981
1899,5,1.610000014
1899,11,2.210000038
1899,10,3.440000057
1899,9,7.650000095
1900,4,0.170000002
1900,8,8.680000305
1900,12,-0.959999979
1900,2,-1.450000048
1900,1,-0.01
1900,7,11.27000046
1900,6,9.050000191
1900,3,1.549999952
1900,5,4.360000134
1900,11,2.549999952
1900,10,3.789999962
1900,9,5.46999979
1901,4,1.230000019
1901,8,12.42000008
1901,12,-0.649999976
1901,2,-1.809999943
1901,1,-2.559999943
1901,7,11.13000011
1901,6,7.139999866
1901,3,0.730000019
1901,5,3.730000019
1901,11,4.079999924
1901,10,6.130000114
1901,9,6.619999886
1902,4,1.029999971
1902,8,9.909999847
1902,12,-1.049999952
1902,2,0.170000002
1902,1,-2.99000001
1902,7,11.21000004
1902,6,7.380000114
1902,3,-2.450000048
1902,5,2.25999999
1902,11,0.039999999
1902,10,3.450000048
1902,9,9.93999958
1903,4,-1.470000029
1903,8,8.590000153
1903,12,-1.370000005
1903,2,-6.5
1903,1,-1.330000043
1903,7,10.30000019
1903,6,7.860000134
1903,3,-1.669999957
1903,5,3.440000057
1903,11,3.200000048
1903,10,4.679999828
1903,9,8.550000191
1904,4,3.269999981
1904,8,11.67000008
1904,12,-0.959999979
1904,2,-1.360000014
1904,1,-1.50999999
1904,7,13.43000031
1904,6,8.039999962
1904,3,-0.600000024
1904,5,4.960000038
1904,11,2.400000095
1904,10,4.539999962
1904,9,7.739999771
1905,4,2.049999952
1905,8,12.96000004
1905,12,-2.569999933
1905,2,-0.280000001
1905,1,0.610000014
1905,7,13.31999969
1905,6,7.510000229
1905,3,1.779999971
1905,5,4.119999886
1905,11,1.700000048
1905,10,5.630000114
1905,9,8.729999542
1906,4,2.029999971
1906,8,12.82999992
1906,12,-0.699999988
1906,2,1.029999971
1906,1,-0.180000007
1906,7,14.30000019
1906,6,6.409999847
1906,3,-0.330000013
1906,5,3.220000029
1906,11,0.159999996
1906,10,5.510000229
1906,9,8.380000114
1907,4,1.960000038
1907,8,9.340000153
1907,12,-1.059999943
1907,2,1.590000033
1907,1,-4.050000191
1907,7,10.64000034
1907,6,5.809999943
1907,3,-3.019999981
1907,5,3.690000057
1907,11,1.480000019
1907,10,4.559999943
1907,9,5.630000114
1908,4,2.279999971
1908,8,11.47000027
1908,12,-2.390000105
1908,2,-2.599999905
1908,1,-1.74000001
1908,7,13.43000031
1908,6,6.210000038
1908,3,-1.269999981
1908,5,2.140000105
1908,11,1.159999967
1908,10,3.180000067
1908,9,8.630000114
1909,4,2.539999962
1909,8,10.28999996
1909,12,-2.390000105
1909,2,-1.610000014
1909,1,0.709999979
1909,7,10.88000011
1909,6,8.619999886
1909,3,-1.480000019
1909,5,4.170000076
1909,11,1.820000052
1909,10,5.139999866
1909,9,8.920000076
1910,4,3.539999962
1910,8,11.26000023
1910,12,0.219999999
1910,2,-2.289999962
1910,1,-3.849999905
1910,7,12.13000011
1910,6,7.480000019
1910,3,1.700000048
1910,5,6.489999771
1910,11,1.49000001
1910,10,5.199999809
1910,9,7
1911,4,0.629999995
1911,8,9.380000114
1911,12,-4.150000095
1911,2,-4.889999866
1911,1,-2.539999962
1911,7,12.64999962
1911,6,7.420000076
1911,3,1.200000048
