year,month,tmx
1895,12,6.829999924
1895,11,10.35000038
1895,10,17.89999962
1896,4,7.639999866
1896,8,24.57999992
1896,12,9.670000076
1896,2,11.34000015
1896,1,8.550000191
1896,7,27.02000046
1896,6,23.89999962
1896,3,9.630000114
1896,5,13.64000034
1896,11,8.539999962
1896,10,17.70000076
1896,9,20.05999947
1897,4,15.59000015
1897,8,26.54000092
1897,12,8.100000381
1897,2,5.139999866
1897,1,7.670000076
1897,7,26.07999992
1897,6,20.36000061
1897,3,4.659999847
1897,5,21.25
1897,11,10.38000011
1897,10,14.60999966
1897,9,20.38999939
1898,4,16.63999939
1898,8,26.34000015
1898,12,8.539999962
1898,2,9.460000038
1898,1,5.28000021
1898,7,27.38999939
1898,6,22.10000038
1898,3,9.770000458
1898,5,14.93999958
1898,11,11.19999981
1898,10,16.48999977
1898,9,21.72999954
1899,4,13.36999989
1899,8,21.51000023
1899,12,8.569999695
1899,2,8.31000042
1899,1,8.229999542
1899,7,26.32999992
1899,6,22.98999977
1899,3,6.900000095
1899,5,13.89999962
1899,11,10.39999962
1899,10,13.14999962
1899,9,24.54000092
1900,4,11.02999973
1900,8,22.87000084
1900,12,10.36999989
1900,2,9.300000191
1900,1,10.13000011
1900,7,28.30999947
1900,6,23.27000046
1900,3,13.22000027
1900,5,17.64999962
1900,11,11.5
1900,10,13.75
1900,9,18.87000084
1901,4,13.78999996
1901,8,28.12999916
1901,12,10.89000034
1901,2,7.420000076
1901,1,7.409999847
1901,7,28.22999954
1901,6,23.63999939
1901,3,11.75
1901,5,18.07999992
1901,11,12.52000046
1901,10,19.06999969
1901,9,21.20999908
1902,4,11.39000034
1902,8,26.37999916
1902,12,8.289999962
1902,2,7.139999866
1902,1,8.770000458
1902,7,26.80999947
1902,6,23.82999992
1902,3,8.829999924
1902,5,15.09000015
1902,11,9.640000343
1902,10,17.48999977
1902,9,25.81999969
1903,4,12.01000023
1903,8,27.95999908
1903,12,10.14999962
1903,2,6.039999962
1903,1,8.890000343
1903,7,25.22999954
1903,6,23.54000092
1903,3,8.109999657
1903,5,19.64999962
1903,11,12.25
1903,10,20.11000061
1903,9,23.03000069
1904,4,12.09000015
1904,8,27.25
1904,12,10
1904,2,6.039999962
1904,1,9.5
1904,7,26.25
1904,6,24.54000092
1904,3,6.869999886
1904,5,20.56999969
1904,11,14.42000008
1904,10,16.88999939
1904,9,23.28000069
1905,4,15.31999969
1905,8,28.30999947
1905,12,9.510000229
1905,2,11.69999981
1905,1,10.60000038
1905,7,29.37000084
1905,6,22.87000084
1905,3,11.48999977
1905,5,16.05999947
1905,11,13.93999958
1905,10,19.43000031
1905,9,24.65999985
1906,4,13.68000031
1906,8,27.43000031
1906,12,9.56000042
1906,2,10.57999992
1906,1,9.989999771
1906,7,29.72999954
1906,6,19.10000038
1906,3,8.289999962
1906,5,15.15999985
1906,11,12.77999973
1906,10,20.81999969
1906,9,23.89999962
1907,4,15.22999954
1907,8,25.22999954
1907,12,8.670000076
1907,2,11.97999954
1907,1,5.349999905
1907,7,25.93000031
1907,6,19.44000053
1907,3,6.010000229
1907,5,16.61000061
1907,11,15.51000023
1907,10,18.70999908
1907,9,23.05999947
1908,4,16.45999908
1908,8,29.94000053
1908,12,5.650000095
1908,2,8.680000305
1908,1,7.800000191
1908,7,31.43000031
1908,6,22.95999908
1908,3,12.34000015
1908,5,15.75
1908,11,15.14999962
1908,10,17.15999985
1908,9,25.19000053
1909,4,17.95000076
1909,8,29.97999954
1909,12,6.380000114
1909,2,5.25
1909,1,6.230000019
1909,7,27.64999962
1909,6,22.95000076
1909,3,9.079999924
1909,5,18.55999947
1909,11,10.06000042
1909,10,18.03000069
1909,9,25.35000038
1910,4,18.25
1910,8,27.95999908
1910,12,10.23999977
1910,2,7.96999979
1910,1,5.25
1910,7,28.05999947
1910,6,24.10000038
1910,3,14.30000019
1910,5,20.79000092
1910,11,12.5
1910,10,20.45000076
1910,9,23.87000084
1911,4,11.89999962
1911,8,26.51000023
1911,12,9.710000038
1911,2,6.079999924
1911,1,7.019999981
1911,7,29.98999977
1911,6,22.70000076
1911,3,11.93000031
1911,5,15.78999996
1911,11,14.44999981
1911,10,18.56999969
1911,9,21.26000023
1912,4,10.30000019
1912,8,25.38999939
1912,12,9.18999958
1912,2,11.26000023
1912,1,8.420000076
1912,7,25.62999916
1912,6,22.21999931
1912,3,7.960000038
1912,5,16.59000015
1912,11,13.30000019
1912,10,15.18000031
1912,9,22.45000076
1913,4,11.60000038
1913,8,28.38999939
1913,12,7.519999981
1913,2,9.390000343
1913,1,6.039999962
1913,7,26.29999924
1913,6,20.28000069
1913,3,10.25
1913,5,18.38999939
1913,11,10.57999992
1913,10,21.45999908
1913,9,26.03000069
1914,4,13.81000042
1914,8,29.67000008
1914,12,6.619999886
1914,2,10.23999977
1914,1,6.190000057
1914,7,28.21999931
1914,6,23.27000046
1914,3,15.5
1914,5,20.92000008
1914,11,18.22999954
1914,10,19.73999977
1914,9,24.03000069
1915,4,13.40999985
1915,8,29.70000076
1915,12,8.090000153
1915,2,7
1915,1,7.559999943
1915,7,27.35000038
1915,6,23.70000076
1915,3,12.89000034
1915,5,13.36999989
1915,11,12.10999966
1915,10,23.75
1915,9,23.61000061
1916,4,16.01000023
1916,8,27.10000038
1916,12,6.349999905
1916,2,10.47999954
1916,1,1.960000038
1916,7,27.56999969
1916,6,23.87000084
1916,3,12.69999981
1916,5,16.72999954
1916,11,12.10000038
1916,10,16.11000061
1916,9,25.22999954
1917,4,12.56999969
1917,8,29.43000031
1917,12,11.15999985
1917,2,8.329999924
1917,1,6.519999981
1917,7,29.51000023
1917,6,25.84000015
1917,3,8.720000267
1917,5,15.19999981
1917,11,14.40999985
1917,10,23.10000038
1917,9,23.57999992
1918,4,15.25
1918,8,27.45999908
1918,12,7.570000172
1918,2,8.199999809
1918,1,9.75
1918,7,27.93000031
1918,6,28.22999954
1918,3,9.979999542
1918,5,17.48999977
1918,11,11.61999989
1918,10,19.02000046
1918,9,22.95000076
1919,4,14.94999981
1919,8,28.57999992
1919,12,7.789999962
1919,2,4.429999828
1919,1,10.43999958
1919,7,29.57999992
1919,6,24.39999962
1919,3,9.239999771
1919,5,22.09000015
1919,11,12.85000038
1919,10,15.63000011
1919,9,22.85000038
1920,4,12.5
1920,8,28.77000046
1920,12,6.050000191
1920,2,10.10999966
1920,1,12.15999985
1920,7,26.47999954
1920,6,23.01000023
1920,3,9.029999733
1920,5,19.84000015
1920,11,9.170000076
1920,10,13.80000019
1920,9,22.20999908
1921,4,13.39000034
1921,8,26.76000023
1921,12,9.18999958
1921,2,9.890000343
1921,1,4.690000057
1921,7,28.72999954
1921,6,22.82999992
1921,3,11.52999973
1921,5,15.31999969
1921,11,14.27000046
1921,10,20.48999977
1921,9,23.44000053
1922,4,12.47000027
1922,8,25.29999924
1922,12,6.849999905
1922,2,4.849999905
1922,1,6.440000057
1922,7,28.98999977
1922,6,23.29999924
1922,3,7.659999847
1922,5,19.35000038
1922,11,10.56000042
1922,10,16.28000069
1922,9,26.84000015
1923,4,11.64999962
1923,8,25.93000031
1923,12,8.710000038
1923,2,10.52000046
1923,1,7.329999924
1923,7,26.65999985
1923,6,18.28000069
1923,3,13.25
1923,5,17.62000084
1923,11,14.85999966
1923,10,16.53000069
1923,9,23.39999962
1924,4,16.21999931
1924,8,26.59000015
1924,12,7.840000153
1924,2,12.93000031
1924,1,8.579999924
1924,7,27.53000069
1924,6,24.37000084
1924,3,9.069999695
1924,5,22.31999969
1924,11,12.02000046
1924,10,14.53999996
1924,9,24.90999985
1925,4,13.34000015
1925,8,25.04999924
1925,12,12.77000046
1925,2,8.960000038
1925,1,8.319999695
1925,7,27.61000061
1925,6,22.53000069
1925,3,12.27000046
1925,5,17.12999916
1925,11,10.61999989
1925,10,17.01000023
1925,9,18.77000046
1926,4,15.72999954
1926,8,26.95000076
1926,12,7.349999905
1926,2,9.590000153
1926,1,10.26000023
1926,7,28.36000061
1926,6,26.63999939
