year,month,cwd,pck,ppt,str,tmx,tmn,pop,latitude,longitude,elevation,taxon_name
1990,4,62.04999924,0,72.05000305,149.5,17.20999908,4.349999905,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,8,146.1999969,0,4.239999771,42.34000015,26.73999977,12.39000034,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,12,15.14000034,24.28000069,59.90000153,149.5,6.3699998859999996,-4.690000057,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,2,20.799999239999998,215.4600067,190.6499939,149.5,6.800000191,-4.670000076,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,1,15.39000034,106.6699982,255.9100037,149.5,8.130000114,-2.319999933,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,7,131.8600006,0,5.659999847,45.40999985,27.84000015,13.98999977,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,6,84.86000061,0,8.119999886,88.08000183,22.76000023,8.56000042,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,3,34.47999954,81.25,125.1900024,149.5,12.06000042,0.140000001,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,5,47.97999954,0,217.5500031,149.5,16.70999908,4.820000172,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,11,26.92000008,0,62.5,131.3600006,13.350000380000001,1.080000043,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,10,64.37999725,0,20.450000760000002,79.61000061,21.02000046,7,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1990,9,109.8000031,0,21.73999977,64.08000183,24.84000015,9.800000191,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
1991,4,54.72000122,215.0599976,78.77999878,149.5,12.43999958,-0.129999995,LC,39.31897,-120.65744,1362.3,Streptanthus tortuosus
