"","Population","cwd","ppt","pck","tmin","tmax","elevation","str","avg_growing_season","PC1","PC2"
"1","BH",27953.0299186707,17870.0900488012,0,8.6922043134929,23.5017741957018,511.4294422,131320.160583496,10.8333333333333,-2.89325512095044,1.01507186067101
"2","CP2",23132.8300876617,38781.1799707357,73901.1400728226,1.03360215648608,13.3947849449932,2244.132886,161978.220123291,7.35483870967742,1.88321710218922,0.241788680536442
"3","DPR",10081.3499743938,44804.4900550414,3364.68001177721,7.69508064944317,20.1959946168366,1018.591893,370330.733764648,10.9677419354839,-1.05725533908295,-3.8326771550192
"4","IH",18058.4599728584,32880.6099669933,69.729998588562,8.56411291334418,22.2007526249014,454.1298385,155613.267623901,10.9354838709677,-2.15717199469877,-0.974808488724364
"5","KC2",30786.3800563812,24334.3700602259,148.96999835968,8.58086020891525,20.8879569345905,948.1707317,128302.892074585,10.8387096774194,-2.33321737131649,1.27791754313319
"6","LC",23755.13995827,53452.739972668,39885.029900922,5.67723117228226,17.0606182748387,1362.3,42686.39002426,10.9677419354839,-0.241869520033952,0.0726743214926179
"7","LV1",18249.9499893188,54495.85996175,160090.570127487,-1.62793011294918,11.1549193301358,2593.416641,109548.457748413,6.58064516129032,3.9875844825667,-0.462172905682881
"8","LV2",17829.6500501633,53479.3599025533,153506.250231743,-1.46107528006698,11.2891666926444,2500.457178,254152.510131836,6.61290322580645,3.81566715626659,-1.52883022549893
"9","MSH",20240.2599992752,38776.4099072628,737.00999045372,9.71263440994806,19.4516666794336,1282,94913.3391342163,10.8709677419355,-1.47076479426366,-0.334737206931846
"10","RB",27936.3099985123,31204.6300140489,4888.38002227247,5.57239246917188,20.1513440942252,787,99725.7499694824,10.8709677419355,-1.75288712525633,0.935923030601327
"11","SC",26363.6999878883,23990.4900362939,7.57000017166138,8.65131721148888,22.7130107008001,421.5178299,69542.1299514771,10.9032258064516,-2.67810410014246,1.02226782860264
"12","SQ1",27210.6499996185,28686.6699871141,19167.5899920464,3.5255644977974,15.6807258045802,1921.036585,55709.8195266724,8,0.272128714524371,1.74820576145692
"13","SQ2",20670.2200222015,29397.2000172492,21602.2000110149,3.26771504459502,15.5999193479938,1934.45122,72250.7584838867,8.19354838709677,0.513395293389407,0.764347050098609
"14","TFC",27033.889913559,47290.560069818,5038.16002602875,7.066586012226,19.9431182389618,1085,54211.010559082,10.9677419354839,-1.36350567764744,0.533429566174017
"15","TM2",20288.8599807024,35180.3000114504,0,9.59206992467885,22.7593548426064,379.1526973,338939.615234375,10.9032258064516,-2.40028011049104,-2.14137157036577
"16","WL1",21117.2400074005,38127.8899831884,21395.4900303483,4.26795699376793,17.2054838640715,1613.837245,140005.470077515,10.9354838709677,-0.391288652252316,-0.27988759516316
"17","WL2",19841.0400190353,38303.9999916498,51336.9198689461,2.4450000037329,14.5359946489334,2020.115818,93330.3891601562,7.87096774193548,1.29710195605602,0.220060137398824
"18","WL3",18000.9500169754,38037.9900151957,59526.9199824333,1.8910214993602,13.8061021667334,2137.762877,176072.449859619,7.74193548387097,1.63203359980594,-0.547009692799897
"19","YOSE10",21229.1400403976,26727.3300433047,74611.9301629066,-3.29276883193562,10.0433871059038,2968.302347,99787.091293335,7.12903225806452,2.92000259787502,1.22797412778705
"20","YOSE8",25158.3400774002,35852.8300885055,85691.3699438572,-1.32505376211378,12.2484408019371,2590.97836,121571.479949951,7.29032258064516,2.41846890346258,1.04183493223341
