"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",NA,0.670975379735068,4.71759501948567e-20,1.0246120433727e-07,0.196341075161707,0.912617582525213,0.557992159906473,0.942080807206403,0.136007622742094,0.251903980167335,0.13989249644495,0.325897264168761,0.577018435353146,0.589276588193875
"Fst",0.670975379735068,NA,9.64063392156045e-07,9.33348369434782e-05,0.000155019779016174,2.89304687880272e-07,3.56367861646565e-05,2.2049194260255e-06,0.000220670165850792,0.00109669573657938,2.33858109871288e-06,4.08846771219864e-05,2.95879978967388e-06,0.00913051728928349
"Qst_Fst",4.71759501948567e-20,9.64063392156045e-07,NA,1.88411578898795e-12,0.00253549900039224,0.0183574945168303,0.126214014565243,0.0258849418327748,0.00159993487137404,0.00844050558263509,0.302316623518934,0.237216248840387,0.00570076186496458,0.0748960627018382
"Qst_Fst_abs",1.0246120433727e-07,9.33348369434782e-05,1.88411578898795e-12,NA,0.00903707914798953,0.040606844925632,0.29435801397909,0.145083140864687,0.140603237768342,0.350131284941908,0.0778031984164269,0.0899439366549827,0.0567471873474109,0.378876099252872
"cwd_Diff",0.196341075161707,0.000155019779016174,0.00253549900039224,0.00903707914798953,NA,1.4577819151296e-06,2.64166525537049e-05,9.12796716085934e-08,1.18942989092459e-13,6.29109020147813e-09,0.051172101835899,0.837325336295274,2.34151426195898e-13,0.0459403379647903
"ppt_mm_Diff",0.912617582525213,2.89304687880272e-07,0.0183574945168303,0.040606844925632,1.4577819151296e-06,NA,1.64715874309379e-27,4.87114672782525e-25,0.000207377641019854,0.000626836633412969,3.95565351755969e-06,0.0264505372254294,1.06155940886211e-19,2.6307236183982e-06
"pck_Diff",0.557992159906473,3.56367861646565e-05,0.126214014565243,0.29435801397909,2.64166525537049e-05,1.64715874309379e-27,NA,2.65786558783699e-44,7.4133440892699e-07,1.76920832284156e-06,0.00205309071736666,0.1602950493876,5.72493134556861e-26,2.25633665408216e-07
"snw_Diff",0.942080807206403,2.2049194260255e-06,0.0258849418327748,0.145083140864687,9.12796716085934e-08,4.87114672782525e-25,2.65786558783699e-44,NA,4.05562504016745e-11,2.08241777039364e-10,0.0026080658263333,0.182855603796768,2.91173574350839e-40,2.93048641367838e-07
"tmin_Diff",0.136007622742094,0.000220670165850792,0.00159993487137404,0.140603237768342,1.18942989092459e-13,0.000207377641019854,7.4133440892699e-07,4.05562504016745e-11,NA,7.37376380582909e-32,0.395612426112959,0.996252074195555,4.19907479459834e-17,0.0065428319846874
"tmax_Diff",0.251903980167335,0.00109669573657938,0.00844050558263509,0.350131284941908,6.29109020147813e-09,0.000626836633412969,1.76920832284156e-06,2.08241777039364e-10,7.37376380582909e-32,NA,0.444767958493995,0.82028983177787,3.13118359307353e-14,0.0184727176169803
"latitude_Diff",0.13989249644495,2.33858109871288e-06,0.302316623518934,0.0778031984164269,0.051172101835899,3.95565351755969e-06,0.00205309071736666,0.0026080658263333,0.395612426112959,0.444767958493995,NA,1.18662044649876e-20,0.00556748088383174,0.00594989505296108
"longitude_Diff",0.325897264168761,4.08846771219864e-05,0.237216248840387,0.0899439366549827,0.837325336295274,0.0264505372254294,0.1602950493876,0.182855603796768,0.996252074195555,0.82028983177787,1.18662044649876e-20,NA,0.345048880006391,0.000153296010939393
"PC1_Diff",0.577018435353146,2.95879978967388e-06,0.00570076186496458,0.0567471873474109,2.34151426195898e-13,1.06155940886211e-19,5.72493134556861e-26,2.91173574350839e-40,4.19907479459834e-17,3.13118359307353e-14,0.00556748088383174,0.345048880006391,NA,6.47401519925752e-06
"PC2_Diff",0.589276588193875,0.00913051728928349,0.0748960627018382,0.378876099252872,0.0459403379647903,2.6307236183982e-06,2.25633665408216e-07,2.93048641367838e-07,0.0065428319846874,0.0184727176169803,0.00594989505296108,0.000153296010939393,6.47401519925752e-06,NA
