"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",1,-0.0532711395098364,0.856565053512404,-0.59981971680391,-0.161076734384665,0.0137702154942231,0.0734155549096292,0.00911720585911985,-0.185455195935594,-0.143036827958732,0.183666150977252,0.122814471413239,-0.0699052577097743,-0.0676719303730771
"Fst",-0.0532711395098364,1,-0.560936522475024,0.462244966665582,0.449151944164828,0.582440549349908,0.485720649170408,0.545225789737959,0.439716521373438,0.393034926398983,0.544077071311344,0.48247391156564,0.539442704469754,0.31859320376016
"Qst_Fst",0.856565053512404,-0.560936522475024,1,-0.736147764493907,-0.365647929577788,-0.289573447735754,-0.190143098901492,-0.27419938342713,-0.38098258109024,-0.321692447991086,-0.128898401891744,-0.147511794163935,-0.336723307283545,-0.220742776792997
"Qst_Fst_abs",-0.59981971680391,0.462244966665582,-0.736147764493907,1,0.319000677092125,0.252753635580475,0.131020820385172,0.181333107855825,0.183342897710844,0.116846589670396,0.218624101710187,0.210401962254724,0.23570797798433,0.110090400395277
"cwd_Diff",-0.161076734384665,0.449151944164828,-0.365647929577788,0.319000677092125,1,0.553183803798163,0.492684496058316,0.601692549465858,0.761173182369123,0.641940348718709,0.241085490863764,0.0257606482070935,0.755304915916001,0.246586746058829
"ppt_mm_Diff",0.0137702154942231,0.582440549349908,-0.289573447735754,0.252753635580475,0.553183803798163,1,0.918670511748253,0.902050307064422,0.441396639305078,0.410096413769762,0.533625674651925,0.27320510848957,0.852588057511035,0.541766651944593
"pck_Diff",0.0734155549096292,0.485720649170408,-0.190143098901492,0.131020820385172,0.492684496058316,0.918670511748253,1,0.976372248530489,0.565761718331411,0.549485538415047,0.372768273910979,0.174836417494337,0.908687998620152,0.586696040240662
"snw_Diff",0.00911720585911985,0.545225789737959,-0.27419938342713,0.181333107855825,0.601692549465858,0.902050307064422,0.976372248530489,1,0.70459406636013,0.685899817053236,0.364683706318035,0.165991077607963,0.968280012745003,0.582218757591413
"tmin_Diff",-0.185455195935594,0.439716521373438,-0.38098258109024,0.183342897710844,0.761173182369123,0.441396639305078,0.565761718331411,0.70459406636013,1,0.941170651041697,0.106298466318784,0.000589466175303585,0.819256847188895,0.331528891361426
"tmax_Diff",-0.143036827958732,0.393034926398983,-0.321692447991086,0.116846589670396,0.641940348718709,0.410096413769762,0.549485538415047,0.685899817053236,0.941170651041697,1,0.0956743473733398,-0.0285018646985678,0.77226501923424,0.28930047396513
"latitude_Diff",0.183666150977252,0.544077071311344,-0.128898401891744,0.218624101710187,0.241085490863764,0.533625674651925,0.372768273910979,0.364683706318035,0.106298466318784,0.0956743473733398,1,0.863068505779791,0.33760663979543,0.335119818694494
"longitude_Diff",0.122814471413239,0.48247391156564,-0.147511794163935,0.210401962254724,0.0257606482070935,0.27320510848957,0.174836417494337,0.165991077607963,0.000589466175303585,-0.0285018646985678,0.863068505779791,1,0.118076242469103,0.449446288463662
"PC1_Diff",-0.0699052577097743,0.539442704469754,-0.336723307283545,0.23570797798433,0.755304915916001,0.852588057511035,0.908687998620152,0.968280012745003,0.819256847188895,0.77226501923424,0.33760663979543,0.118076242469103,1,0.523501965245831
"PC2_Diff",-0.0676719303730771,0.31859320376016,-0.220742776792997,0.110090400395277,0.246586746058829,0.541766651944593,0.586696040240662,0.582218757591413,0.331528891361426,0.28930047396513,0.335119818694494,0.449446288463662,0.523501965245831,1
