"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",1,0.00283781430467645,0.733703690898707,0.359783692666723,0.0259457143600281,0.000189618834757342,0.00538984370268877,8.31234426775694e-05,0.0343936296995094,0.020459534152496,0.0337332550147988,0.0150833943885132,0.00488674505546995,0.0045794901604186
"Fst",0.00283781430467645,1,0.314649782246373,0.213670409207665,0.201737468947045,0.339236993527022,0.235924549030523,0.297271161795381,0.193350619168757,0.154476453369454,0.296019859526729,0.232781075341449,0.290998431405642,0.101501629482163
"Qst_Fst",0.733703690898707,0.314649782246373,1,0.541913531169376,0.133698408404523,0.0838527816335712,0.0361543980598626,0.0751853018718181,0.145147727094181,0.103486031094497,0.0166147980102456,0.0217597294174631,0.113382585667968,0.048727373506283
"Qst_Fst_abs",0.359783692666723,0.213670409207665,0.541913531169376,1,0.101761431985234,0.0638844002991474,0.0171664553744034,0.0328816960046521,0.033614618141009,0.0136531255176018,0.0477964978485864,0.0442689857206384,0.0555582508854615,0.0121198962591924
"cwd_Diff",0.0259457143600281,0.201737468947045,0.133698408404523,0.101761431985234,1,0.306012320784605,0.242738012656237,0.362033924082724,0.579384613557938,0.412087411313098,0.0581222139050222,0.00066361099604963,0.570485516006878,0.0608050233318815
"ppt_mm_Diff",0.000189618834757342,0.339236993527022,0.0838527816335712,0.0638844002991474,0.306012320784605,1,0.843955509155797,0.813694756475018,0.194830993189817,0.16817906858682,0.284756360647722,0.0746410313047975,0.726906395810439,0.293511105159254
"pck_Diff",0.00538984370268877,0.235924549030523,0.0361543980598626,0.0171664553744034,0.242738012656237,0.843955509155797,1,0.953302767700483,0.320086321929311,0.301934356927275,0.138956186034571,0.0305677728822542,0.825713878836298,0.344212243634072
"snw_Diff",8.31234426775694e-05,0.297271161795381,0.0751853018718181,0.0328816960046521,0.362033924082724,0.813694756475018,0.953302767700483,1,0.496452798349903,0.470458559033662,0.132994205653858,0.0275530378454529,0.937566183081462,0.338978681691289
"tmin_Diff",0.0343936296995094,0.193350619168757,0.145147727094181,0.033614618141009,0.579384613557938,0.194830993189817,0.320086321929311,0.496452798349903,1,0.885802194382252,0.0112993639417257,3.47470371827036e-07,0.671181781665889,0.109911405807336
"tmax_Diff",0.020459534152496,0.154476453369454,0.103486031094497,0.0136531255176018,0.412087411313098,0.16817906858682,0.301934356927275,0.470458559033662,0.885802194382252,1,0.00915358074531448,0.000812356291295466,0.596393259932861,0.0836947642364487
"latitude_Diff",0.0337332550147988,0.296019859526729,0.0166147980102456,0.0477964978485864,0.0581222139050222,0.284756360647722,0.138956186034571,0.132994205653858,0.0112993639417257,0.00915358074531448,1,0.74488724566896,0.113978243233961,0.112305292881831
"longitude_Diff",0.0150833943885132,0.232781075341449,0.0217597294174631,0.0442689857206384,0.00066361099604963,0.0746410313047975,0.0305677728822542,0.0275530378454529,3.47470371827036e-07,0.000812356291295466,0.74488724566896,1,0.0139419990356225,0.202001966213761
"PC1_Diff",0.00488674505546995,0.290998431405642,0.113382585667968,0.0555582508854615,0.570485516006878,0.726906395810439,0.825713878836298,0.937566183081462,0.671181781665889,0.596393259932861,0.113978243233961,0.0139419990356225,1,0.274054307616247
"PC2_Diff",0.0045794901604186,0.101501629482163,0.048727373506283,0.0121198962591924,0.0608050233318815,0.293511105159254,0.344212243634072,0.338978681691289,0.109911405807336,0.0836947642364487,0.112305292881831,0.202001966213761,0.274054307616247,1
