"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",1,-0.190740157825026,0.551533547311608,-0.546723735730352,-0.0462035499294581,0.0197156125267586,-0.124328119994162,-0.123746145015343,-0.129724382694507,-0.0732987675349068,0.0274825746168263,-0.0765423926550271,-0.0929098775622869,-0.141694880975901
"Fst",-0.190740157825026,1,-0.924037732094439,0.923633417259364,0.58996961282808,0.615933732701648,0.562637111671262,0.607072843276338,0.594292136459237,0.480389209993469,0.584678644825303,0.499501237600931,0.628909743647143,0.374055088745464
"Qst_Fst",0.551533547311608,-0.924037732094439,1,-0.99778324416154,-0.519322905500913,-0.51571370330343,-0.526522733582475,-0.564055510516403,-0.55552329042476,-0.436758821537505,-0.486129722163773,-0.454262572261999,-0.570602270451206,-0.373037968698781
"Qst_Fst_abs",-0.546723735730352,0.923633417259364,-0.99778324416154,1,0.51882833943085,0.519965379752168,0.533929009016061,0.570552259108142,0.556272263452057,0.440295046548386,0.484420020375811,0.452092631472699,0.57493549978493,0.368502914495555
"cwd_Diff",-0.0462035499294581,0.58996961282808,-0.519322905500913,0.51882833943085,1,0.709458340276321,0.691597570661675,0.769112652434109,0.826120215414461,0.746940287828651,0.275449343501618,0.0261522136209308,0.863450807761932,0.374085912549907
"ppt_mm_Diff",0.0197156125267586,0.615933732701648,-0.51571370330343,0.519965379752168,0.709458340276321,1,0.954357930519404,0.926267039693951,0.560933193241754,0.48997883235483,0.522064026854891,0.247494240766823,0.897913622938402,0.544583902537774
"pck_Diff",-0.124328119994162,0.562637111671262,-0.526522733582475,0.533929009016061,0.691597570661675,0.954357930519404,1,0.97912200460995,0.629990607885364,0.571474751110907,0.400716673828137,0.178665221211209,0.933179537727821,0.571954485043005
"snw_Diff",-0.123746145015343,0.607072843276338,-0.564055510516403,0.570552259108142,0.769112652434109,0.926267039693951,0.97912200460995,1,0.771114965858812,0.719679696435393,0.374445040197107,0.1520583349223,0.981832140209478,0.55821735157695
"tmin_Diff",-0.129724382694507,0.594292136459237,-0.55552329042476,0.556272263452057,0.826120215414461,0.560933193241754,0.629990607885364,0.771114965858812,1,0.953028710882031,0.168068963499152,0.030770984989588,0.850327280235505,0.373555505370837
"tmax_Diff",-0.0732987675349068,0.480389209993469,-0.436758821537505,0.440295046548386,0.746940287828651,0.48997883235483,0.571474751110907,0.719679696435393,0.953028710882031,1,0.12060064676511,-0.0361824340077666,0.797499168175638,0.270879273961259
"latitude_Diff",0.0274825746168263,0.584678644825303,-0.486129722163773,0.484420020375811,0.275449343501618,0.522064026854891,0.400716673828137,0.374445040197107,0.168068963499152,0.12060064676511,1,0.858632837207806,0.355662629953589,0.381420060808123
"longitude_Diff",-0.0765423926550271,0.499501237600931,-0.454262572261999,0.452092631472699,0.0261522136209308,0.247494240766823,0.178665221211209,0.1520583349223,0.030770984989588,-0.0361824340077666,0.858632837207806,1,0.116424584102635,0.495969638637897
"PC1_Diff",-0.0929098775622869,0.628909743647143,-0.570602270451206,0.57493549978493,0.863450807761932,0.897913622938402,0.933179537727821,0.981832140209478,0.850327280235505,0.797499168175638,0.355662629953589,0.116424584102635,1,0.525826073258194
"PC2_Diff",-0.141694880975901,0.374055088745464,-0.373037968698781,0.368502914495555,0.374085912549907,0.544583902537774,0.571954485043005,0.55821735157695,0.373555505370837,0.270879273961259,0.381420060808123,0.495969638637897,0.525826073258194,1
