"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",1,0.0363818078071159,0.304189253810125,0.298906843210951,0.00213476802608393,0.000388705377305281,0.0154574814212827,0.0153131084061584,0.016828415465471,0.00537270932213631,0.000755291907569423,0.00585873787335634,0.00863224534863915,0.0200774392947747
"Fst",0.0363818078071159,1,0.853845730334234,0.85309868947821,0.348064144060514,0.379374363079785,0.316560519429781,0.368537437043618,0.353183143457284,0.230773793078149,0.341849117714752,0.249501486364862,0.395527465654315,0.139917209416377
"Qst_Fst",0.304189253810125,0.853845730334234,1,0.995571402329528,0.26969628017791,0.265960623774938,0.277226188979162,0.31815861894392,0.308606126204353,0.19075826819083,0.236322106771027,0.206354484558088,0.325586951044071,0.139157326090912
"Qst_Fst_abs",0.298906843210951,0.85309868947821,0.995571402329528,1,0.269182845796574,0.270363996140816,0.285080186668873,0.325529880373405,0.309438831086074,0.193859728015046,0.234662756140901,0.20438774743191,0.330550828912947,0.135794397991718
"cwd_Diff",0.00213476802608393,0.348064144060514,0.26969628017791,0.269182845796574,1,0.503331136587632,0.47830719974513,0.59153427213423,0.682474610316435,0.557919793581547,0.0758723408354721,0.0006839382772748,0.745547297424733,0.139940269968297
"ppt_mm_Diff",0.000388705377305281,0.379374363079785,0.265960623774938,0.270363996140816,0.503331136587632,1,0.910799059545279,0.857970628823396,0.314646047280391,0.240079256155803,0.272550848135944,0.0612533992127462,0.806248874258367,0.296571626903271
"pck_Diff",0.0154574814212827,0.316560519429781,0.277226188979162,0.285080186668873,0.47830719974513,0.910799059545279,1,0.958679899911406,0.396888166023771,0.326583391157273,0.160573852683885,0.0319212612704503,0.870824049633909,0.327131932960809
"snw_Diff",0.0153131084061584,0.368537437043618,0.31815861894392,0.325529880373405,0.59153427213423,0.857970628823396,0.958679899911406,1,0.594618290571437,0.517938865461339,0.140209088128213,0.0231217372193425,0.963994351548324,0.311606611601584
"tmin_Diff",0.016828415465471,0.353183143457284,0.308606126204353,0.309438831086074,0.682474610316435,0.314646047280391,0.396888166023771,0.594618290571437,1,0.908263723765465,0.0282471764916791,0.000946853517229452,0.72305648351271,0.139543715592862
"tmax_Diff",0.00537270932213631,0.230773793078149,0.19075826819083,0.193859728015046,0.557919793581547,0.240079256155803,0.326583391157273,0.517938865461339,0.908263723765465,1,0.0145445160001629,0.00130916853072638,0.636004923240834,0.0733755810617787
"latitude_Diff",0.000755291907569423,0.341849117714752,0.236322106771027,0.234662756140901,0.0758723408354721,0.272550848135944,0.160573852683885,0.140209088128213,0.0282471764916791,0.0145445160001629,1,0.737250349131527,0.126495906345504,0.145481262786872
"longitude_Diff",0.00585873787335634,0.249501486364862,0.206354484558088,0.20438774743191,0.0006839382772748,0.0612533992127462,0.0319212612704503,0.0231217372193425,0.000946853517229452,0.00130916853072638,0.737250349131527,1,0.0135546837834716,0.245985882450606
"PC1_Diff",0.00863224534863915,0.395527465654315,0.325586951044071,0.330550828912947,0.745547297424733,0.806248874258367,0.870824049633909,0.963994351548324,0.72305648351271,0.636004923240834,0.126495906345504,0.0135546837834716,1,0.276493059318131
"PC2_Diff",0.0200774392947747,0.139917209416377,0.139157326090912,0.135794397991718,0.139940269968297,0.296571626903271,0.327131932960809,0.311606611601584,0.139543715592862,0.0733755810617787,0.145481262786872,0.245985882450606,0.276493059318131,1
