"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",NA,0.567737553804386,4.51742713825816e-19,3.21490716163901e-09,0.0819646632831069,0.696939100968223,0.369526069560156,0.760559613458149,0.0910456272086496,0.226430935282741,0.226062388364851,0.503199154177827,0.622966194290965,0.64912413130047
"Fst",0.567737553804386,NA,1.49372804905669e-07,4.34427604304536e-05,0.000155019779016174,2.89304687880272e-07,3.56367861646565e-05,2.2049194260255e-06,0.000220670165850792,0.00109669573657938,2.33858109871288e-06,4.08846771219864e-05,2.95879978967388e-06,0.00913051728928349
"Qst_Fst",4.51742713825816e-19,1.49372804905669e-07,NA,7.84100905661337e-15,0.000536156576446562,0.0267458815758726,0.173115183016109,0.0340606084958188,0.0007478171795442,0.00639907107771392,0.17317526547983,0.12474046930513,0.00539316964181995,0.0804555142682966
"Qst_Fst_abs",3.21490716163901e-09,4.34427604304536e-05,7.84100905661337e-15,NA,0.00148844885085641,0.0811142555611949,0.445145127914006,0.207186578651581,0.0758843226149083,0.211406925941385,0.089138852908507,0.106285201122762,0.0594304274798982,0.610812496918776
"cwd_Diff",0.0819646632831069,0.000155019779016174,0.000536156576446562,0.00148844885085641,NA,1.4577819151296e-06,2.64166525537049e-05,9.12796716085934e-08,1.18942989092459e-13,6.29109020147813e-09,0.051172101835899,0.837325336295274,2.34151426195898e-13,0.0459403379647903
"ppt_mm_Diff",0.696939100968223,2.89304687880272e-07,0.0267458815758726,0.0811142555611949,1.4577819151296e-06,NA,1.64715874309379e-27,4.87114672782525e-25,0.000207377641019854,0.000626836633412969,3.95565351755969e-06,0.0264505372254294,1.06155940886211e-19,2.6307236183982e-06
"pck_Diff",0.369526069560156,3.56367861646565e-05,0.173115183016109,0.445145127914006,2.64166525537049e-05,1.64715874309379e-27,NA,2.65786558783699e-44,7.4133440892699e-07,1.76920832284156e-06,0.00205309071736666,0.1602950493876,5.72493134556861e-26,2.25633665408216e-07
"snw_Diff",0.760559613458149,2.2049194260255e-06,0.0340606084958188,0.207186578651581,9.12796716085934e-08,4.87114672782525e-25,2.65786558783699e-44,NA,4.05562504016745e-11,2.08241777039364e-10,0.0026080658263333,0.182855603796768,2.91173574350839e-40,2.93048641367838e-07
"tmin_Diff",0.0910456272086496,0.000220670165850792,0.0007478171795442,0.0758843226149083,1.18942989092459e-13,0.000207377641019854,7.4133440892699e-07,4.05562504016745e-11,NA,7.37376380582909e-32,0.395612426112959,0.996252074195555,4.19907479459834e-17,0.0065428319846874
"tmax_Diff",0.226430935282741,0.00109669573657938,0.00639907107771392,0.211406925941385,6.29109020147813e-09,0.000626836633412969,1.76920832284156e-06,2.08241777039364e-10,7.37376380582909e-32,NA,0.444767958493995,0.82028983177787,3.13118359307353e-14,0.0184727176169803
"latitude_Diff",0.226062388364851,2.33858109871288e-06,0.17317526547983,0.089138852908507,0.051172101835899,3.95565351755969e-06,0.00205309071736666,0.0026080658263333,0.395612426112959,0.444767958493995,NA,1.18662044649876e-20,0.00556748088383174,0.00594989505296108
"longitude_Diff",0.503199154177827,4.08846771219864e-05,0.12474046930513,0.106285201122762,0.837325336295274,0.0264505372254294,0.1602950493876,0.182855603796768,0.996252074195555,0.82028983177787,1.18662044649876e-20,NA,0.345048880006391,0.000153296010939393
"PC1_Diff",0.622966194290965,2.95879978967388e-06,0.00539316964181995,0.0594304274798982,2.34151426195898e-13,1.06155940886211e-19,5.72493134556861e-26,2.91173574350839e-40,4.19907479459834e-17,3.13118359307353e-14,0.00556748088383174,0.345048880006391,NA,6.47401519925752e-06
"PC2_Diff",0.64912413130047,0.00913051728928349,0.0804555142682966,0.610812496918776,0.0459403379647903,2.6307236183982e-06,2.25633665408216e-07,2.93048641367838e-07,0.0065428319846874,0.0184727176169803,0.00594989505296108,0.000153296010939393,6.47401519925752e-06,NA
