"","Qst","Fst","Qst_Fst","Qst_Fst_abs","cwd_Diff","ppt_mm_Diff","pck_Diff","snw_Diff","tmin_Diff","tmax_Diff","latitude_Diff","longitude_Diff","PC1_Diff","PC2_Diff"
"Qst",1,-0.0716106837438134,0.84518513567682,-0.651193046571354,-0.21569820672548,0.0488432792399622,0.112252669456967,0.0382283402537215,-0.209700118239743,-0.150920938840945,0.151039407426636,0.0838623803451425,-0.0616381363051816,-0.0570484362653645
"Fst",-0.0716106837438134,1,-0.593625763164109,0.481029095612255,0.449151944164828,0.582440549349908,0.485720649170408,0.545225789737959,0.439716521373438,0.393034926398983,0.544077071311344,0.48247391156564,0.539442704469754,0.31859320376016
"Qst_Fst",0.84518513567682,-0.593625763164109,1,-0.783149886473077,-0.414705812718131,-0.272693023519865,-0.169706232002216,-0.261315784829749,-0.404810514094803,-0.332372428883198,-0.169682854772593,-0.190872112604033,-0.338790453539018,-0.216745361795493
"Qst_Fst_abs",-0.651193046571354,0.481029095612255,-0.783149886473077,1,0.38332286103496,0.216286382289803,0.0955954788617409,0.157296961766475,0.220015314264115,0.155864085046342,0.210919133823845,0.200613437132591,0.233271762583924,0.0637980740765777
"cwd_Diff",-0.21569820672548,0.449151944164828,-0.414705812718131,0.38332286103496,1,0.553183803798163,0.492684496058316,0.601692549465858,0.761173182369123,0.641940348718709,0.241085490863764,0.0257606482070935,0.755304915916001,0.246586746058829
"ppt_mm_Diff",0.0488432792399622,0.582440549349908,-0.272693023519865,0.216286382289803,0.553183803798163,1,0.918670511748253,0.902050307064422,0.441396639305078,0.410096413769762,0.533625674651925,0.27320510848957,0.852588057511035,0.541766651944593
"pck_Diff",0.112252669456967,0.485720649170408,-0.169706232002216,0.0955954788617409,0.492684496058316,0.918670511748253,1,0.976372248530489,0.565761718331411,0.549485538415047,0.372768273910979,0.174836417494337,0.908687998620152,0.586696040240662
"snw_Diff",0.0382283402537215,0.545225789737959,-0.261315784829749,0.157296961766475,0.601692549465858,0.902050307064422,0.976372248530489,1,0.70459406636013,0.685899817053236,0.364683706318035,0.165991077607963,0.968280012745003,0.582218757591413
"tmin_Diff",-0.209700118239743,0.439716521373438,-0.404810514094803,0.220015314264115,0.761173182369123,0.441396639305078,0.565761718331411,0.70459406636013,1,0.941170651041697,0.106298466318784,0.000589466175303585,0.819256847188895,0.331528891361426
"tmax_Diff",-0.150920938840945,0.393034926398983,-0.332372428883198,0.155864085046342,0.641940348718709,0.410096413769762,0.549485538415047,0.685899817053236,0.941170651041697,1,0.0956743473733398,-0.0285018646985678,0.77226501923424,0.28930047396513
"latitude_Diff",0.151039407426636,0.544077071311344,-0.169682854772593,0.210919133823845,0.241085490863764,0.533625674651925,0.372768273910979,0.364683706318035,0.106298466318784,0.0956743473733398,1,0.863068505779791,0.33760663979543,0.335119818694494
"longitude_Diff",0.0838623803451425,0.48247391156564,-0.190872112604033,0.200613437132591,0.0257606482070935,0.27320510848957,0.174836417494337,0.165991077607963,0.000589466175303585,-0.0285018646985678,0.863068505779791,1,0.118076242469103,0.449446288463662
"PC1_Diff",-0.0616381363051816,0.539442704469754,-0.338790453539018,0.233271762583924,0.755304915916001,0.852588057511035,0.908687998620152,0.968280012745003,0.819256847188895,0.77226501923424,0.33760663979543,0.118076242469103,1,0.523501965245831
"PC2_Diff",-0.0570484362653645,0.31859320376016,-0.216745361795493,0.0637980740765777,0.246586746058829,0.541766651944593,0.586696040240662,0.582218757591413,0.331528891361426,0.28930047396513,0.335119818694494,0.449446288463662,0.523501965245831,1
