"","Run Index","Plate","Directory","SampleName","Plate Position","Rack #","Location","leaf_type","dried","3MSO_5.2","OH-Alkenyl_6","4MSO_7.1","Allyl_7.4","5MSO_10.2","Butenyl_12.1","Junk_13","3MT_13.6","MSOO_13.8","OH I3M_15.1","4MT _15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Junk_18.7","Indole_18.8","Population","mf","treatment","biomass","Elevation","Lat","Long","Seed.year"
"1",2,1,"004-P1-B1-056.D","NA","P1-B-01","D1",1,"induced",NA,NA,NA,36.58859,NA,NA,152.43221,NA,NA,NA,NA,NA,34.75586,25.46206,6.93054,9.44801,NA,NA,"CP2",13,"C",0.24,2244.132886,38.66169,-120.13065,2020
"2",4,1,"006-P1-D1-058.D","NA","P1-D-01","D1",2,"induced",NA,NA,NA,36.96466,18.29848,28.06921,973.66455,NA,NA,14.32415,NA,NA,22.21723,73.05537,7.8762,8.65733,NA,NA,"CP2",11,"C",0.3,2244.132886,38.66169,-120.13065,2020
"3",6,1,"008-P1-F1-060.D","NA","P1-F-01","D1",3,"induced",NA,112.63695,NA,NA,495.65314,NA,15.05947,NA,62.75551,NA,NA,NA,17.07449,11.7095,NA,25.30813,NA,NA,"IH",10,"C",0.28,454.1298385,39.09332,-120.92114,2020
"4",8,1,"010-P1-H1-062.D","NA","P1-H-01","D1",4,"induced",NA,NA,NA,42.52415,NA,23.82374,848.00671,NA,NA,NA,NA,8.73679,35.5279,37.21616,14.42536,11.97278,NA,NA,"CP2",1,"C",0.32,2244.132886,38.66169,-120.13065,2020
"5",10,1,"012-P1-B2-064.D","NA","P1-B-02","D1",5,"induced",NA,57.38611,NA,NA,1207.5293,45.01324,16.90826,NA,NA,53.88432,5.87268,NA,21.65887,210.47545,NA,15.55503,NA,NA,"SQ2",14,"C",0.19,1934.45122,36.66557,-118.83543,2021
"6",12,1,"014-P1-D2-066.D","NA","P1-D-02","D1",6,"induced",NA,36.59916,NA,14.42173,363.70395,NA,258.29602,NA,28.64133,52.74619,NA,NA,11.586,82.28701,NA,26.99667,NA,NA,"LC",8,"C",0.22,1362.3,39.31897,-120.65744,2022
"7",14,1,"016-P1-F2-068.D","NA","P1-F-02","D1",7,"induced",NA,NA,NA,46.04654,NA,25.61493,332.21231,NA,NA,10.25078,NA,NA,NA,30.26018,NA,25.19355,NA,52.30389,"WL3",14,"C",0.06,2137.762877,38.83528,-120.23824,2020
"8",16,1,"018-P1-H2-070.D","NA","P1-H-02","D1",8,"induced",NA,21.13113,56.23473,NA,1680.75964,30.32014,272.91623,NA,7.87772,32.61434,45.00288,10.03631,24.18079,236.89232,12.06604,27.42198,NA,11.15895,"SQ2",20,"CW",0.24,1934.45122,36.66557,-118.83543,2021
"9",18,1,"020-P1-B3-072.D","NA","P1-B-03","D1",9,"induced",NA,NA,NA,74.39651,NA,16.00237,658.50305,NA,NA,25.17309,NA,16.78879,44.8307,55.56231,34.66566,18.14363,NA,NA,"CP2",2,"C",0.38,2244.132886,38.66169,-120.13065,2020
"10",20,1,"022-P1-D3-074.D","NA","P1-D-03","D1",10,"induced",NA,NA,NA,29.0639,NA,18.63766,679.54559,NA,NA,NA,NA,NA,41.01753,33.97436,NA,9.30078,NA,NA,"CP2",11,"CW",0.12,2244.132886,38.66169,-120.13065,2020
