"","Population","treatment","biomass","Rack","Location","mf","rep","leaf_type","X3MSO_5.2","OH.Alkenyl_6","X4MSO_7.1","Allyl_7.4","X5MSO_10.2","Butenyl_12.1","X3MT_13.6","MSOO_13.8","OH.I3M_15.1","X4MT._15.5","Flavonol_16.1","I3M_16.7","Flavonol_17.5","Flavonol_18.5","Indole_18.8","key"
"1","BH","C",0.32,"D4",43,5,1,"induced",0,0,30.20579,27.18941,0,1531.9071,0,31.33564,0,14.41383,16.79689,88.85563,26.43199,50.44066,28.72253,"D4 43"
"2","BH","CW",0.17,"D3",37,5,1,"induced",24.27959,0,0,522.35645,0,132.97873,34.1317,0,10.07574,0,26.90035,101.96323,0,48.74755,28.0017,"D3 37"
"3","BH","C",0.07,"D4",13,7,1,"induced",0,0,28.57827,15.48263,0,981.41779,0,57.59153,0,8.42368,30.31212,24.25251,0,17.59289,7.68715,"D4 13"
"4","BH","CW",0.11,"D5",10,7,1,"induced",0,120.30284,60.8937,0,0,168.03502,0,0,0,0,11.46307,198.63205,0,40.09261,19.01385,"D5 10"
"5","BH","C",0.19,"D1",44,9,1,"induced",14.81113,0,0,359.88889,0,29.24652,31.3145,8.4459,0,0,13.86213,11.20167,0,28.27715,9.8219,"D1 44"
"6","BH","CW",0.1,"D3",4,9,1,"induced",31.43873,0,0,599.22467,0,20.49561,51.01878,45.06938,7.35133,12.11376,13.5891,107.96035,0,44.0093,12.86921,"D3 4"
"7","BH","C",0.16,"D5",47,17,1,"induced",0,0,0,61.40265,0,423.57709,0,0,0,0,20.98177,0,19.16614,158.01237,7.24828,"D5 47"
"8","BH","CW",0.22,"D4",10,17,1,"induced",30.74951,0,29.59467,61.65189,0,210.37416,20.43958,0,0,12.64296,10.44502,13.85369,0,35.85932,34.28445,"D4 10"
"9","CALO","C",0.24,"D5",30,1,1,"induced",0,56.04687,183.00667,0,33.51288,698.68066,0,0,0,0,22.25628,72.72129,51.55773,170.03613,49.89531,"D5 30"
"10","CALO","C",0.16,"D2",45,1,2,"induced",24.65239,0,20.84207,87.21907,0,262.54288,35.85295,0,0,15.52035,21.17782,310.14529,0,45.58189,10.45931,"D2 45"
"11","CALO","CW",0.22,"D5",33,1,1,"induced",13.83114,0,0,212.14485,0,435.80133,0,46.09146,0,0,20.87817,76.92356,0,98.29665,65.88895,"D5 33"
"12","CALO","CW",0.16,"D3",19,1,2,"induced",31.84033,0,13.29225,71.11479,0,217.45586,18.29088,0,7.16474,0,22.12364,165.94981,0,53.74354,42.90907,"D3 19"
"13","CALO","C",0.26,"D5",20,2,1,"induced",28.52306,0,17.0871,101.9727,0,418.88065,39.12373,0,0,0,15.96889,26.7266,27.40757,83.39035,6.67257,"D5 20"
"14","CALO","CW",0.45,"D4",4,2,1,"induced",25.21057,0,27.8444,39.09104,0,130.90157,11.66581,0,0,0,17.46644,168.97736,0,35.80042,30.5197,"D4 4"
