Pop1	Pop2	FST
YO11	KC2	0.384248	
YO11	CP2	0.235338	
YO11	YO1	0.113248	
YO11	WL2	0.280631	
YO11	IH	0.440782	
YO11	WV	0.493796	
YO11	LV1	0.493044	
YO11	SHA	0.477558	
YO11	YO10	0.0813757	
YO11	WL3	0.280467	
YO11	SQ3	0.333306	
YO11	DPR	0.458317	
YO11	LV3	0.459272	
YO11	LVTR	0.490678	
YO11	WL1	0.292323	
YO11	SQ1	0.368434	
YO11	BH	0.366598	
YO11	TM2	0.426399	
YO11	LV2	0.463785	
KC2	CP2	0.353236	
KC2	YO1	0.305953	
KC2	WL2	0.40229	
KC2	IH	0.573699	
KC2	WV	0.639487	
KC2	LV1	0.674117	
KC2	SHA	0.637041	
KC2	YO10	0.386069	
KC2	WL3	0.413057	
KC2	SQ3	0.38412	
KC2	DPR	0.58712	
KC2	LV3	0.63484	
KC2	LVTR	0.670632	
KC2	WL1	0.436428	
KC2	SQ1	0.426069	
KC2	BH	0.508618	
KC2	TM2	0.566085	
KC2	LV2	0.64333	
CP2	YO1	0.183006	
CP2	WL2	0.201685	
CP2	IH	0.401105	
CP2	WV	0.450699	
CP2	LV1	0.430654	
CP2	SHA	0.432913	
CP2	YO10	0.229201	
CP2	WL3	0.200615	
CP2	SQ3	0.325978	
CP2	DPR	0.419944	
CP2	LV3	0.40449	
CP2	LVTR	0.429332	
CP2	WL1	0.202534	
CP2	SQ1	0.352315	
CP2	BH	0.360475	
CP2	TM2	0.40782	
CP2	LV2	0.408739	
YO1	WL2	0.224243	
YO1	IH	0.36272	
YO1	WV	0.405534	
YO1	LV1	0.386262	
YO1	SHA	0.38957	
YO1	YO10	0.105347	
YO1	WL3	0.224277	
YO1	SQ3	0.271918	
YO1	DPR	0.377953	
YO1	LV3	0.358538	
YO1	LVTR	0.383421	
YO1	WL1	0.234065	
YO1	SQ1	0.293658	
YO1	BH	0.285867	
YO1	TM2	0.349398	
YO1	LV2	0.362505	
WL2	IH	0.389564	
WL2	WV	0.470807	
WL2	LV1	0.451501	
WL2	SHA	0.462212	
WL2	YO10	0.275884	
WL2	WL3	0.0477856	
WL2	SQ3	0.36256	
WL2	DPR	0.405393	
WL2	LV3	0.424936	
WL2	LVTR	0.450386	
WL2	WL1	0.142501	
WL2	SQ1	0.379582	
WL2	BH	0.394197	
WL2	TM2	0.433505	
WL2	LV2	0.430375	
IH	WV	0.635775	
IH	LV1	0.670102	
IH	SHA	0.641301	
IH	YO10	0.435442	
IH	WL3	0.40645	
IH	SQ3	0.517375	
IH	DPR	0.511703	
IH	LV3	0.632112	
IH	LVTR	0.667262	
IH	WL1	0.43744	
IH	SQ1	0.542539	
IH	BH	0.54926	
IH	TM2	0.590581	
IH	LV2	0.64106	
WV	LV1	0.673869	
WV	SHA	0.582759	
WV	YO10	0.490306	
WV	WL3	0.490977	
WV	SQ3	0.565233	
WV	DPR	0.631671	
WV	LV3	0.624847	
WV	LVTR	0.668526	
WV	WL1	0.504989	
WV	SQ1	0.591931	
WV	BH	0.621797	
WV	TM2	0.611983	
WV	LV2	0.639371	
LV1	SHA	0.73857	
LV1	YO10	0.486109	
LV1	WL3	0.480906	
LV1	SQ3	0.576838	
LV1	DPR	0.672605	
LV1	LV3	0.294606	
LV1	LVTR	0.133154	
LV1	WL1	0.498494	
LV1	SQ1	0.607903	
LV1	BH	0.644567	
LV1	TM2	0.644524	
LV1	LV2	0.296145	
SHA	YO10	0.479178	
SHA	WL3	0.482144	
SHA	SQ3	0.55739	
SHA	DPR	0.639624	
SHA	LV3	0.67898	
SHA	LVTR	0.734082	
SHA	WL1	0.494131	
SHA	SQ1	0.595326	
SHA	BH	0.617547	
SHA	TM2	0.619666	
SHA	LV2	0.698076	
YO10	WL3	0.275679	
YO10	SQ3	0.338254	
YO10	DPR	0.455471	
YO10	LV3	0.453573	
YO10	LVTR	0.483474	
YO10	WL1	0.287186	
YO10	SQ1	0.368536	
YO10	BH	0.367883	
YO10	TM2	0.426952	
YO10	LV2	0.458961	
WL3	SQ3	0.369632	
WL3	DPR	0.425804	
WL3	LV3	0.450131	
WL3	LVTR	0.479855	
WL3	WL1	0.174239	
WL3	SQ1	0.391397	
WL3	BH	0.402367	
WL3	TM2	0.445435	
WL3	LV2	0.457026	
SQ3	DPR	0.525268	
SQ3	LV3	0.546003	
SQ3	LVTR	0.574661	
SQ3	WL1	0.386897	
SQ3	SQ1	0.33103	
SQ3	BH	0.457171	
SQ3	TM2	0.508704	
SQ3	LV2	0.552716	
DPR	LV3	0.632707	
DPR	LVTR	0.669759	
DPR	WL1	0.453194	
DPR	SQ1	0.559379	
DPR	BH	0.572299	
DPR	TM2	0.586116	
DPR	LV2	0.642454	
LV3	LVTR	0.285062	
LV3	WL1	0.46746	
LV3	SQ1	0.57497	
LV3	BH	0.608615	
LV3	TM2	0.60092	
LV3	LV2	0.081617	
LVTR	WL1	0.496754	
LVTR	SQ1	0.605737	
LVTR	BH	0.641408	
LVTR	TM2	0.640793	
LVTR	LV2	0.283734	
WL1	SQ1	0.408741	
WL1	BH	0.412857	
WL1	TM2	0.465622	
WL1	LV2	0.473252	
SQ1	BH	0.471954	
SQ1	TM2	0.528144	
SQ1	LV2	0.583431	
BH	TM2	0.508558	
BH	LV2	0.616118	
TM2	LV2	0.6116	
