Run Index,Plate,Directory,SampleName,Plate Position,Rack,Location,leaf_type,3MSO_5.2,OH-Alkenyl_6,4MSO_7.1,Allyl_7.4,5MSO_10.2,Butenyl_12.1,Junk_13,3MT_13.6,MSOO_13.8,OH I3M_15.1,4MT _15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Junk_18.7,Indole_18.8
1,1,003-P1-A1-055.D,NA,P1-A-01,D1,1,clamped,,,,,,203.50119,,,,50.07315,,45.84934,21.0886,75.53864,34.41505,,
2,1,004-P1-B1-056.D,NA,P1-B-01,D1,1,induced,,,36.58859,,,152.43221,,,,,,34.75586,25.46206,6.93054,9.44801,,
3,1,005-P1-C1-057.D,NA,P1-C-01,D1,2,clamped,,,20.58754,12.95185,38.63811,806.30969,,,,,,37.25142,35.86845,31.21758,8.0119,,
4,1,006-P1-D1-058.D,NA,P1-D-01,D1,2,induced,,,36.96466,18.29848,28.06921,973.66455,,,14.32415,,,22.21723,73.05537,7.8762,8.65733,,
5,1,007-P1-E1-059.D,NA,P1-E-01,D1,3,clamped,69.38705,,,376.60483,,28.19252,,76.81522,9.86423,,,12.55426,9.75318,130.88878,43.707,,
6,1,008-P1-F1-060.D,NA,P1-F-01,D1,3,induced,112.63695,,,495.65314,,15.05947,,62.75551,,,,17.07449,11.7095,,25.30813,,
7,1,009-P1-G1-061.D,NA,P1-G-01,D1,4,clamped,,,20.93332,,22.34325,781.1261,,,,,7.44831,25.48768,42.96999,77.15244,32.56999,,
8,1,010-P1-H1-062.D,NA,P1-H-01,D1,4,induced,,,42.52415,,23.82374,848.00671,,,,,8.73679,35.5279,37.21616,14.42536,11.97278,,
9,1,011-P1-A2-063.D,NA,P1-A-02,D1,5,clamped,26.03931,,,1508.20789,55.53074,13.34966,,,14.79308,,,58.24318,108.1729,22.98917,35.24403,,
10,1,012-P1-B2-064.D,NA,P1-B-02,D1,5,induced,57.38611,,,1207.5293,45.01324,16.90826,,,53.88432,5.87268,,21.65887,210.47545,,15.55503,,
11,1,013-P1-C2-065.D,NA,P1-C-02,D1,6,clamped,19.57664,,,505.94543,14.6327,259.55963,,18.86306,48.82694,32.71551,,13.34248,96.3913,44.46452,30.05041,,
12,1,014-P1-D2-066.D,NA,P1-D-02,D1,6,induced,36.59916,,14.42173,363.70395,,258.29602,,28.64133,52.74619,,,11.586,82.28701,,26.99667,,
13,1,015-P1-E2-067.D,NA,P1-E-02,D1,7,clamped,,,21.5826,,27.16675,589.78064,,,8.14629,,,5.89066,,19.12324,11.03537,,
