type,id,taxon_name,collection_date,late_collection_date,collection_day,collection_month,county,elevation,locality,latitude,longitude,pop_gen
herbarium,GH422264,Streptanthus tortuosus,4/1/75,4/1/75,,,Unknown,91,"end of road between old station headquarters and Yuba River, H 8-11 project area, Sierra Foothill Field Station",39.24123,-121.31365,
herbarium,UCD84701,Streptanthus tortuosus,5/27/09,5/27/09,,,Siskiyou,141,"At confluence of Klamath River and Three Creeks, along Hwy 96.",41.161944,-123.69,
herbarium,UC1198800,Streptanthus tortuosus var. orbiculatus,5/17/32,5/17/32,,,Humboldt,152,"river bar Northern Coast Ranges, Trinity River Valley",40.944,-123.6319,
herbarium,CAS-BOT-BC87619,Streptanthus tortuosus,5/12/42,5/12/42,,,Humboldt,152,"Klamath-Siskiyou Region. Mouth of Bluff Creek, 6 miles northeast of Weitchpec.",41.2411,-123.6551,
herbarium,GH422285,Streptanthus tortuosus,5/12/42,5/12/42,,,Unknown,152,"Mouth of Bluff Creek, 6 miles northeast of Weitchpec",41.2411,-123.6551,
herbarium,UC673194,Streptanthus tortuosus,5/12/42,5/12/42,,,Humboldt,152,"bluffs at mouth of creek 6 mi ne Weitchpec; Klamath-Siskiyou Region, Bluff Creek",41.2411,-123.6551,
herbarium,CHSC4161,Streptanthus tortuosus var. suffrutescens,4/11/66,4/11/66,,,Butte,152,Found ca. 1/8 mi. E of Bidwel Bar along N side of R.R. tracks; on cliff above.,39.553889,-121.431667,
herbarium,UCD116317,Streptanthus tortuosus,5/2/01,5/2/01,,,Stanislaus,152,"1.5 mi ne of Knights Ferry, e side of canyon of the Stanislaus River.",37.83511,-120.652065,
herbarium,UCD78021,Streptanthus tortuosus,5/2/01,5/2/01,,,Stanislaus,152,"Ca. 1.5 mi ne of Knights Ferry, e side of canyon of the Stanislaus River, T1S, R12E, se 1/4 Section 21",37.83511,-120.652065,
herbarium,UC229826,Streptanthus tortuosus,9/3/22,9/3/22,,,Humboldt,152,"rocky bluffs at Bluff Creek; Northern Coast Ranges, Klamath River",41.241,-123.6549,
herbarium,POM126166,Streptanthus tortuosus,9/3/22,9/3/22,,,Humboldt,152,Klamath River at Bluff Creek.,41.24077,-123.6537,
herbarium,UCD78028,Streptanthus tortuosus var. tortuosus,4/19/98,4/19/98,,,Nevada,182,"Shingle Falls, on outcrops adjacent to upper falls",39.114722,-121.242778,
herbarium,UCD84700,Streptanthus tortuosus,5/27/09,5/27/09,,,Humboldt,188,"5.9 mi S of Weitchpec, along Hwy 96.",41.121111,-123.688056,
herbarium,UCD40310,Streptanthus tortuosus,7/3/71,7/3/71,,,Sierra,195,"Hillside above Hwy 49, just to the north of Yuba River. Near Oregon Creek, Alleghany Road, and Sierra County line.",39.514389,-121.033828,
herbarium,CAS-BOT-BC87971,Streptanthus tortuosus,4/29/64,4/29/64,,,Tuolumne,198,"Sierra Nevada. At Tuolumne River bridge, 2.5 miles east of Jacksonville.",37.838984,-120.3465,
herbarium,Gwin Mine,Streptanthus tortuosus,,,,,,202.6821091,potential calflora site,38.28756,-120.75341,
herbarium,CAS-BOT-BC87862,Streptanthus tortuosus,7/4/34,7/4/34,,,Siskiyou,213,"Klamath River, 3 miles below the Bar Creek.",41.487701,-123.515404,
herbarium,GH422315,Streptanthus tortuosus,7/4/34,7/4/34,,,Unknown,213,"Klamath River, 3 mi. below Tee Bar Creek",41.4877,-123.5154,
herbarium,JEPS96785,Streptanthus tortuosus,4/8/98,4/8/98,,,Madera,222,"Road 607 to Eastman Lake, 3 miles North of junction Road 29",37.18138,-120.000626,
herbarium,UCD160937,Streptanthus tortuosus,4/9/78,4/9/78,,,El Dorado,243,"Coloma. 1 to 1.5 mile southeast of Coloma, on north bank of the South Fork of the American River. (Exact location unknown. Location copied from CAS652269 and coordinates estimated by label maker. Elevation provided by notes on the newspaper.)",38.791111,-120.873611,
