X3MSO_5.2,OH.Alkenyl_6,X4MSO_7.1,Allyl_7.4,X5MSO_10.2,Butenyl_12.1,X3MT_13.6,MSOO_13.8,OH.I3M_15.1,X4MT._15.5,Flavonol_16.1,I3M_16.7,Flavonol_17.5,Flavonol_18.5,Indole_18.8,Population,treatment,mf,rep,ID
NA,NA,-0.454754175,-0.698199759,NA,2.33675655,NA,-0.3435621413,NA,-0.29625063,-0.29020644,-0.144567999,0.152559752,0.16829824,0.125723049,BH,C,5,1,BH_C_5
-0.63821732,NA,NA,0.554150893,NA,-0.80533039,-0.01864392,NA,-0.51067975,NA,0.61072121,-0.050333235,NA,0.11535606,0.095398721,BH,CW,5,1,BH_CW_5
NA,NA,-0.499439445,-0.727807937,NA,1.10032064,NA,0.236332643,NA,-0.6417794,0.91494945,-0.609020663,NA,-0.85882504,-0.759206502,BH,C,7,1,BH_C_7
NA,0.317690045,0.387814594,NA,NA,-0.72659161,NA,NA,NA,NA,-0.76582428,0.644650087,NA,-0.15527694,-0.282707787,BH,CW,7,1,BH_CW_7
-0.93062293,NA,NA,0.143246414,NA,-1.03831989,-0.14120782,-0.849111214,NA,NA,-0.5518996,-0.702847361,NA,-0.52473684,-0.669400501,BH,C,9,1,BH_C_9
-0.41712828,NA,NA,0.748561986,NA,-1.05797502,0.71603819,-0.0402349947,-0.57554629,-0.42892517,-0.57624574,-0.007218006,NA,-0.0328052,-0.541204354,BH,CW,9,1,BH_CW_9
NA,NA,NA,-0.611669417,NA,-0.15262698,NA,NA,NA,NA,0.08296019,NA,-0.20712841,3.53197886,-0.77766916,BH,C,17,1,BH_C_17
-0.43841282,NA,-0.471533116,-0.611039052,NA,-0.63149506,-0.61432745,NA,NA,-0.39839942,-0.85660402,-0.683781134,NA,-0.2876485,0.359705386,BH,CW,17,1,BH_CW_17
-0.62670448,NA,-0.711844933,-0.546375874,NA,-0.51432062,0.05624005,NA,NA,-0.23242343,0.10044201,1.446354733,NA,0.01636842,-0.642585538,CALO,C,1,1,CALO_C_1
NA,-0.788678133,3.740554315,NA,0.31059776,0.46527409,NA,NA,NA,NA,0.19660851,-0.260562973,1.39638274,3.90795214,1.01643283,CALO,C,1,2,CALO_C_1
-0.40472604,NA,-0.919133163,-0.587105979,NA,-0.61558909,-0.70780788,NA,-0.57998889,NA,0.18478098,0.409686924,NA,0.27157664,0.722531307,CALO,CW,1,1,CALO_CW_1
-0.96088704,NA,NA,-0.230420106,NA,-0.12517052,NA,-0.0176610556,NA,NA,0.07372216,-0.230351498,NA,1.66471645,1.689263303,CALO,CW,1,2,CALO_CW_1
-0.50717019,NA,-0.814941575,-0.509061762,NA,-0.1631755,0.19853721,NA,NA,NA,-0.36403937,-0.591233632,0.200854801,1.19860848,-0.80188849,CALO,C,2,1,CALO_C_2
-0.60946673,NA,-0.519588616,-0.668098777,NA,-0.80999583,-0.99603535,NA,NA,NA,-0.23050252,0.431452957,NA,-0.28949026,0.201327524,CALO,CW,2,1,CALO_CW_2
-0.76556816,NA,-0.362440074,-0.660181381,NA,-0.67371335,0.36083389,-0.8976747345,NA,0.50793273,0.19478052,-0.572050579,NA,-1.01687986,NA,CALO,C,3,1,CALO_C_3
-0.68024441,NA,-0.711781784,-0.433494897,NA,-0.47256344,0.1435292,NA,NA,-0.73438629,-0.12077591,0.03618034,NA,-1.08845849,-0.789987696,CALO,C,3,2,CALO_C_3
-0.66582805,NA,-0.4230979,-0.609839452,NA,-0.75576049,-0.85717861,NA,NA,-0.75517461,-0.38455476,0.358881851,NA,-0.86807102,-0.812091394,CALO,CW,3,1,CALO_CW_3
-0.72242468,NA,-0.857788112,-0.549219091,NA,-0.52432381,-0.13777392,NA,NA,NA,0.11712397,-0.443179744,NA,-0.43434792,0.314830362,CALO,CW,3,2,CALO_CW_3
-0.78406127,NA,NA,-0.529296918,NA,-0.73827307,0.06731179,NA,NA,NA,0.04105465,0.848338979,NA,-0.39925388,-0.75469338,CALO,C,4,1,CALO_C_4
-0.31918334,NA,0.893816403,-0.62688606,NA,-0.33043252,-0.06521402,NA,-0.52717632,0.05987736,0.26446972,4.227631133,NA,1.2092031,-0.827283216,CALO,CW,4,1,CALO_CW_4
-0.52980953,NA,-0.034505845,-0.54420589,NA,-0.41831491,0.85462563,-0.7615881686,NA,-0.21209947,0.39915508,0.527018393,NA,-0.9914749,NA,CALO,C,14,1,CALO_C_14
NA,NA,-0.612763465,-0.681555361,NA,-0.53468568,-0.91493748,-0.7950186157,NA,-0.3443558,0.78453624,0.394784609,NA,-0.55578184,-0.701143804,CALO,C,14,2,CALO_C_14
-0.75847795,NA,-0.721904555,-0.589659938,NA,-0.50399041,0.23154228,NA,NA,-0.42584894,0.36933745,0.122079371,NA,-0.9183794,-0.808215611,CALO,CW,14,1,CALO_CW_14
NA,NA,-0.141192365,-0.66480871,NA,-0.46782009,-0.53057922,-0.7400321859,NA,0.52569731,-0.13978164,-0.064869183,NA,-0.71829628,-0.791856384,CALO,CW,14,2,CALO_CW_14
-0.86010434,NA,-0.690353985,-0.606756421,NA,-0.64467017,-0.77999407,NA,NA,NA,0.52171418,-0.702958005,NA,-0.69350074,0.407864709,CALO,C,15,1,CALO_C_15
NA,NA,-0.657594525,-0.727081236,NA,-0.59915832,-1.04914217,NA,NA,NA,-0.18962333,-0.09889754,NA,-0.73322763,-0.722417067,CALO,CW,15,1,CALO_CW_15
-0.33287706,NA,NA,4.981261801,2.60714791,-1.02703511,-0.80913628,-0.6508886705,NA,-0.56113766,0.61210245,0.780455742,0.067331304,1.48907333,-0.386635805,CALO,C,16,1,CALO_C_16
NA,NA,0.938502496,NA,NA,-0.13041389,NA,0.1434969652,NA,-0.06944927,2.55658639,-0.70782079,-0.693207048,-0.04613369,-0.564371126,CALO,CW,16,1,CALO_CW_16
NA,NA,0.055805063,-0.687162229,-0.40730309,2.60005913,NA,0.9516688532,NA,NA,0.58967704,0.157157586,0.347947822,1.59659433,-0.503993391,CALO,C,17,1,CALO_C_17
NA,-1.135832476,-0.614137914,NA,-0.8064185,-0.14118093,NA,NA,NA,NA,-0.31957465,-0.60139006,NA,-0.56957249,0.667182456,CALO,CW,17,1,CALO_CW_17
-0.62535864,NA,NA,0.083198981,NA,-0.03607483,0.72334408,-0.3844988296,NA,NA,1.01786614,-0.578714577,-0.539945837,1.08669822,-0.601333463,CALO,C,18,1,CALO_C_18
NA,NA,NA,-0.690301863,NA,-0.54473576,NA,NA,NA,-0.21618168,-0.88322132,-0.648459992,NA,1.46717551,4.054300926,CALO,C,18,2,CALO_C_18
-0.06709488,NA,-0.876611156,-0.520255998,NA,-0.26136917,3.36771205,NA,NA,-0.026385,3.01421504,NA,-0.414262773,2.28016767,-0.451412656,CALO,CW,18,1,CALO_CW_18
0.68866401,NA,NA,-0.076073902,NA,NA,-0.45040585,NA,NA,NA,NA,NA,NA,0.48776715,1.695680872,CALO,CW,18,2,CALO_CW_18
NA,NA,-0.116540676,NA,-0.2816877,0.80067041,NA,NA,NA,-0.62371833,1.38004165,-0.515820803,-0.441815673,-1.03456134,NA,CP2,C,1,1,CP2_C_1
NA,NA,2.1411741,NA,-0.2382563,0.06611915,NA,-0.3913837838,NA,-0.65139859,-0.80124358,-0.517460903,-0.785027441,-0.66924023,1.338820704,CP2,C,1,2,CP2_C_1
NA,NA,2.940226129,NA,1.693174,0.91234974,NA,-0.5397860979,NA,0.43037933,0.34605689,0.107292157,-0.838575352,-1.01473386,NA,CP2,CW,1,1,CP2_CW_1
NA,NA,0.985816682,-0.730220946,1.44740263,2.01937182,NA,-0.8088980721,NA,-0.72110367,0.78363473,0.691523607,-0.25645215,-0.44352418,-0.803552725,CP2,CW,1,2,CP2_CW_1
NA,NA,0.75854841,NA,-0.75979862,0.37503248,NA,-0.47966991,NA,-0.15925623,2.20957428,-0.383924414,0.560158813,-0.84160384,NA,CP2,C,2,1,CP2_C_2
NA,NA,0.10615177,NA,-0.10060525,0.65568914,NA,NA,NA,-0.5285036,6.0231737,-0.304238826,0.362430198,1.00657685,-0.786733688,CP2,C,2,2,CP2_C_2
