"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logindoles"
"1","BH","C",5,0,0,30.20579,27.18941,0,1531.9071,0,31.33564,0,14.41383,16.79689,88.85563,26.43199,50.44066,28.72253,1635.05177,117.57816,1752.62993,2.07032665956033
"2","BH","C",7,0,0,28.57827,15.48263,0,981.41779,0,57.59153,0,8.42368,30.31212,24.25251,0,17.59289,7.68715,1091.4939,31.93966,1123.43356,1.50433028873077
"3","BH","C",9,14.81113,0,0,359.88889,0,29.24652,31.3145,8.4459,0,0,13.86213,11.20167,0,28.27715,9.8219,443.70694,21.02357,464.73051,1.32270646524379
"4","BH","C",17,0,0,0,61.40265,0,423.57709,0,0,0,0,20.98177,0,19.16614,158.01237,7.24828,484.97974,7.24828,492.22802,0.860234961725346
"5","BH","CW",5,24.27959,0,0,522.35645,0,132.97873,34.1317,0,10.07574,0,26.90035,101.96323,0,48.74755,28.0017,713.74647,140.04067,853.78714,2.14625417990367
"6","BH","CW",7,0,120.30284,60.8937,0,0,168.03502,0,0,0,0,11.46307,198.63205,0,40.09261,19.01385,349.23156,217.6459,566.87746,2.33775049035789
"7","BH","CW",9,31.43873,0,0,599.22467,0,20.49561,51.01878,45.06938,7.35133,12.11376,13.5891,107.96035,0,44.0093,12.86921,759.36093,128.18089,887.54182,2.1078232827009
"8","BH","CW",17,30.74951,0,29.59467,61.65189,0,210.37416,20.43958,0,0,12.64296,10.44502,13.85369,0,35.85932,34.28445,365.45277,48.13814,413.59091,1.68248930564524
"9","CALO","C",1,12.326195,28.023435,101.92437,43.609535,16.75644,480.61177,17.926475,0,0,7.760175,21.71705,191.43329,25.778865,107.80901,30.17731,708.938395,221.6106,930.548995,2.29725950940292
"10","CALO","C",2,28.52306,0,17.0871,101.9727,0,418.88065,39.12373,0,0,0,15.96889,26.7266,27.40757,83.39035,6.67257,605.58724,33.39917,638.98641,1.52373567432956
"11","CALO","C",3,21.537255,0,27.206205,87.036295,0,236.35587,40.356775,3.123545,0,17.586765,20.466375,71.69586,0,11.393685,3.47773,433.20271,75.17359,508.3763,1.77544285548355
"12","CALO","C",4,19.55698,0,0,93.97192,0,162.83417,36.10744,0,0,0,20.51182,226.96419,0,32.29014,7.79443,312.47051,234.75862,547.22913,2.37062154790174
"13","CALO","C",14,13.894985,0,34.981405,60.92375,0,279.381345,33.86709,11.651865,0,14.72628,26.68867,173.07351,0,20.31751,4.53367,449.42672,177.60718,627.0339,2.24931079533874
"14","CALO","C",15,17.09461,0,21.62481,63.3452,0,204.5083,16.63164,0,0,0,25.90218,11.18628,0,22.88002,35.42923,323.20456,46.61551,369.82007,1.6685304400097
"15","CALO","C",16,34.16689,0,0,2272.79224,71.08192,34.27076,15.96179,17.42082,0,9.8217,26.91584,217.52196,24.71034,92.67952,16.54341,2455.51612,234.06537,2689.58149,2.36933716452785
"16","CALO","C",17,0,0,48.8013,31.55354,21.76881,1649.13538,0,89.9798,0,0,26.66435,130.8242,30.37891,96.11808,13.75374,1841.23883,144.57794,1985.81677,2.16010203246652
"17","CALO","C",18,12.347985,0,0,183.229445,0,362.23506,25.593355,14.741075,0,7.90096,20.8064,23.617315,6.221545,85.89532,66.773705,606.04788,90.39102,696.4389,1.87494484256936
"18","CALO","CW",1,22.835735,0,6.646125,141.62982,0,326.628595,9.14544,23.04573,3.58237,0,21.500905,121.436685,0,76.020095,54.39901,529.931445,179.418065,709.34951,2.24463374581021
"19","CALO","CW",2,25.21057,0,27.8444,39.09104,0,130.90157,11.66581,0,0,0,17.46644,168.97736,0,35.80042,30.5197,234.71339,199.49706,434.21045,2.2999364998464
"20","CALO","CW",3,22.469185,0,23.44266,74.110545,0,206.5688,23.12547,0,0,3.22892,18.55186,103.101625,0,24.23251,19.82389,352.94558,122.925515,475.871095,2.06215385271423
"21","CALO","CW",4,34.61031,0,79.32322,55.38614,0,344.41403,33.06126,0,9.38288,20.58773,23.01731,697.00739,0,83.72917,6.06892,567.38269,712.45919,1279.84188,2.85275999279928
"22","CALO","CW",14,10.1927,0,31.050985,55.24844,0,275.194045,31.123475,6.692335,0,20.41518,21.33859,112.94317,0,18.887685,6.716605,429.91716,119.659775,549.576935,2.07544623302985
"23","CALO","CW",15,0,0,22.81797,15.76996,0,224.77121,10.44512,0,0,0,17.92488,95.20817,0,21.60954,8.56166,273.80426,103.76983,377.57409,2.01607110525554
"24","CALO","CW",16,0,0,80.95077,0,0,433.46686,0,53.38821,0,18.3457,48.72227,10.50989,9.34715,43.58305,12.31852,586.15154,22.82841,608.97995,1.35847566390927
"25","CALO","CW",17,0,35.88474,24.40074,0,15.23972,428.67313,0,0,0,0,16.46754,25.31389,0,26.84329,41.59339,504.19833,66.90728,571.10561,1.82547337474564
"26","CALO","CW",18,55.00946,0,7.42049,185.35921,0,187.5813,68.0882,0,0,9.546135,26.927175,0,7.49097,89.318195,40.52256,513.004795,40.52256,553.527355,1.49800649248756
"27","CP2","C",1,0,0,83.63922,0,24.178985,684.48727,0,14.58521,0,8.496855,23.29688,37.102095,10.95885,17.81433,28.779345,815.38754,65.88144,881.26898,1.77318901357039
"28","CP2","C",2,0,0,62.515765,0,21.39421,720.980405,0,12.586545,0,13.58812,66.21452,61.10425,32.66856,47.69637,3.516405,831.065045,64.620655,895.6857,1.80606200801285
"29","CP2","C",7,0,25.45615,0,17.161675,22.192145,1084.79129,0,53.744755,0,6.80873,22.942875,182.494475,19.26994,75.88229,19.98321,1210.154745,202.477685,1412.63243,1.86362530659473
"30","CP2","C",11,8.61807,0,18.48233,62.881475,14.034605,546.621905,18.892955,7.162075,0,0,14.79513,42.855985,3.9381,9.04719,4.8818,676.693415,47.737785,724.4312,1.607145813529
"31","CP2","C",13,0,0,57.5823,8.127485,6.692885,349.59953,0,5.351185,0,0,27.860145,59.452825,3.46527,14.708275,19.262275,427.353385,78.7151,506.068485,1.76318131642824
"32","CP2","C",14,0,0,54.71665,0,10.135745,260.68395,0,0,0,0,25.366725,37.38306,0,36.431605,24.41283,325.536345,61.79589,387.332235,1.74713566367839
"33","CP2","C",15,10.92829,0,48.127335,31.997425,13.083075,485.58435,11.92739,9.54645,0,10.438935,22.60397,88.51609,11.77931,42.693375,10.94068,621.63325,99.45677,721.09002,1.7939722659454
"34","CP2","C",17,30.296255,0,0,186.57904,10.69708,242.955155,12.403725,0,0,0,13.29243,15.602735,3.661485,49.555675,48.458245,482.931255,64.06098,546.992235,1.80630587850563
"35","CP2","CW",1,0,0,118.26564,7.264275,54.120035,1144.16455,0,16.35892,0,17.02966,26.38588,164.520045,12.290215,21.740615,3.316505,1357.20308,167.83655,1525.03963,2.20946243852503
"36","CP2","CW",2,0,0,19.555795,6.76576,17.16566,334.620865,0,0,9.24763,5.907725,37.5386,148.573505,0,63.06415,16.43978,384.015805,174.260915,558.27672,2.1496690402966
"37","CP2","CW",7,0,0,38.53732,27.120805,9.93328,955.23508,0,0,0,0,23.73105,54.229075,8.837425,28.9857,9.46015,1030.826485,63.689225,1094.51571,1.79996053773321
"38","CP2","CW",11,0,0,51.67308,0,9.31883,642.684415,0,31.040575,0,13.28583,41.840505,16.98718,9.040545,30.582595,5.469715,748.00273,22.456895,770.459625,1.28507298899518
"39","CP2","CW",13,8.74158,0,25.685535,644.54065,7.698915,202.604185,0,0,0,0,12.4655,73.42716,6.879345,69.43275,34.31926,889.270865,107.74642,997.017285,2.00574979201885
"40","CP2","CW",14,21.82126,0,18.24293,116.94722,0,106.454705,19.75004,0,0,0,8.06443,225.389345,10.652045,67.526225,36.111195,283.216155,261.50054,544.716695,2.21145637388184
