"","Population","treatment","mf","X3MSO","OHAlkenyl","X4MSO","Allyl","X5MSO","Butenyl","X3MT","MSOO","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole","totalaliphatic","totalindole","totalGSL","logGSL","logindoles","logaliphatics","biomass","totalflavonoid","logflavonoids","shannon_diversity"
"1","BH","C",5,0,0,30.20579,27.18941,0,1531.9071,0,31.33564,14.41383,16.79689,88.85563,26.43199,50.44066,28.72253,1635.05177,117.57816,1752.62993,7.46887275596081,4.76710330393178,7.39942974643863,0.32,1635.05177,7.39942974643863,0.804037524866918
"2","BH","C",7,0,0,28.57827,15.48263,0,981.41779,0,57.59153,8.42368,30.31212,24.25251,0,17.59289,7.68715,1091.4939,31.93966,1123.43356,7.02414495325013,3.46384849777091,6.9953025873349,0.07,1091.4939,6.9953025873349,0.750500072589879
"3","BH","C",9,14.81113,0,0,359.88889,0,29.24652,31.3145,8.4459,0,13.86213,11.20167,0,28.27715,9.8219,443.70694,21.02357,464.73051,6.14145768919718,3.04564418927721,6.09516429946155,0.19,443.70694,6.09516429946155,1.17132132674564
"4","BH","C",17,0,0,0,61.40265,0,423.57709,0,0,0,20.98177,0,19.16614,158.01237,7.24828,484.97974,7.24828,492.22802,6.19894206441463,1.98076419934109,6.18410711686908,0.16,484.97974,6.18410711686908,1.10594531463058
"5","BH","CW",5,24.27959,0,0,522.35645,0,132.97873,34.1317,0,0,26.90035,101.96323,0,48.74755,28.0017,713.74647,129.96493,843.7114,6.73781049299211,4.86726464483055,6.57052781524871,0.17,713.74647,6.57052781524871,1.47275323248137
"6","BH","CW",7,0,120.30284,60.8937,0,0,168.03502,0,0,0,11.46307,198.63205,0,40.09261,19.01385,349.23156,217.6459,566.87746,6.34014316044102,5.3828694302376,5.85573519788847,0.11,349.23156,5.85573519788847,1.62389959389138
"7","BH","CW",9,31.43873,0,0,599.22467,0,20.49561,51.01878,45.06938,12.11376,13.5891,107.96035,0,44.0093,12.86921,759.36093,120.82956,880.19049,6.78013834995598,4.79438095755282,6.6324771979622,0.1,759.36093,6.6324771979622,1.39162875729861
"8","BH","CW",17,30.74951,0,29.59467,61.65189,0,210.37416,20.43958,0,12.64296,10.44502,13.85369,0,35.85932,34.28445,365.45277,48.13814,413.59091,6.02487734519642,3.87407479430063,5.90113705059394,0.22,365.45277,5.90113705059394,1.80569888249149
"9","CALO","C",1,12.326195,28.023435,101.92437,43.609535,16.75644,480.61177,17.926475,0,7.760175,21.71705,191.43329,25.778865,107.80901,30.17731,708.938395,221.6106,930.548995,6.82013180595187,5.28963550108999,6.49015537864508,0.2,708.938395,6.49015537864508,1.62703082659333
"10","CALO","C",2,28.52306,0,17.0871,101.9727,0,418.88065,39.12373,0,0,15.96889,26.7266,27.40757,83.39035,6.67257,605.58724,33.39917,638.98641,6.45988318654574,3.50853104937448,6.40619863188805,0.26,605.58724,6.40619863188805,1.55763788875994
