"","Population","mf","Elevation","X3MSO_C","X3MSO_CW","OHAlkenyl_C","OHAlkenyl_CW","X4MSO_C","X4MSO_CW","Allyl_C","Allyl_CW","X5MSO_C","X5MSO_CW","Butenyl_C","Butenyl_CW","X3MT_C","X3MT_CW","MSOO_C","MSOO_CW","OHI3M_C","OHI3M_CW","X4MT_C","X4MT_CW","I3M_C","I3M_CW","Indole_C","Indole_CW","totalaliphatic_C","totalaliphatic_CW","totalindole_C","totalindole_CW","totalGSL_C","totalGSL_CW"
"1","BH",5,511.4294422,0,24.27959,0,0,30.20579,0,27.18941,522.35645,0,0,1531.9071,132.97873,0,34.1317,31.33564,0,0,10.07574,14.41383,0,88.85563,101.96323,28.72253,28.0017,1635.05177,713.74647,117.57816,140.04067,1752.62993,853.78714
"2","BH",7,511.4294422,0,0,0,120.30284,28.57827,60.8937,15.48263,0,0,0,981.41779,168.03502,0,0,57.59153,0,0,0,8.42368,0,24.25251,198.63205,7.68715,19.01385,1091.4939,349.23156,31.93966,217.6459,1123.43356,566.87746
"3","BH",9,511.4294422,14.81113,31.43873,0,0,0,0,359.88889,599.22467,0,0,29.24652,20.49561,31.3145,51.01878,8.4459,45.06938,0,7.35133,0,12.11376,11.20167,107.96035,9.8219,12.86921,443.70694,759.36093,21.02357,128.18089,464.73051,887.54182
"4","BH",17,511.4294422,0,30.74951,0,0,0,29.59467,61.40265,61.65189,0,0,423.57709,210.37416,0,20.43958,0,0,0,0,0,12.64296,0,13.85369,7.24828,34.28445,484.97974,365.45277,7.24828,48.13814,492.22802,413.59091
"5","CALO",1,1117.6,12.326195,22.835735,28.023435,0,101.92437,6.646125,43.609535,141.62982,16.75644,0,480.61177,326.628595,17.926475,9.14544,0,23.04573,0,3.58237,7.760175,0,191.43329,121.436685,30.17731,54.39901,708.938395,529.931445,221.6106,179.418065,930.548995,709.34951
"6","CALO",2,1117.6,28.52306,25.21057,0,0,17.0871,27.8444,101.9727,39.09104,0,0,418.88065,130.90157,39.12373,11.66581,0,0,0,0,0,0,26.7266,168.97736,6.67257,30.5197,605.58724,234.71339,33.39917,199.49706,638.98641,434.21045
"7","CALO",3,1117.6,21.537255,22.469185,0,0,27.206205,23.44266,87.036295,74.110545,0,0,236.35587,206.5688,40.356775,23.12547,3.123545,0,0,0,17.586765,3.22892,71.69586,103.101625,3.47773,19.82389,433.20271,352.94558,75.17359,122.925515,508.3763,475.871095
"8","CALO",4,1117.6,19.55698,34.61031,0,0,0,79.32322,93.97192,55.38614,0,0,162.83417,344.41403,36.10744,33.06126,0,0,0,9.38288,0,20.58773,226.96419,697.00739,7.79443,6.06892,312.47051,567.38269,234.75862,712.45919,547.22913,1279.84188
"9","CALO",14,1117.6,13.894985,10.1927,0,0,34.981405,31.050985,60.92375,55.24844,0,0,279.381345,275.194045,33.86709,31.123475,11.651865,6.692335,0,0,14.72628,20.41518,173.07351,112.94317,4.53367,6.716605,449.42672,429.91716,177.60718,119.659775,627.0339,549.576935
"10","CALO",15,1117.6,17.09461,0,0,0,21.62481,22.81797,63.3452,15.76996,0,0,204.5083,224.77121,16.63164,10.44512,0,0,0,0,0,0,11.18628,95.20817,35.42923,8.56166,323.20456,273.80426,46.61551,103.76983,369.82007,377.57409
