Position,Directory,SampleName,Plate Position,Population,trt,sample_time,3MSO,4MSO,Allyl,but-3-enyl,3C modified,8MSOO,indol,4C modified,flavonol+sulfate or f+gsl,indol,flavonol,,,,,,,,,,,
10,010-P1-A2-10.D,NA,D1-11,TM2,CW,72,0,16,119,1664,64,0,0,106,10,0,94,,,,,,,,,,,
20,020-P1-C3-20.D,NA,D1-14,TM2,CW,72,0,0,96,472,12,0,0,0,8,0,55,,,,,,,,,,,
39,039-P1-F5-39.D,NA,D1-19,TM2,CW,24,0,0,280,1634,28,0,0,36,18,0,138,,,,,,,,,,,
30,030-P1-E4-30.D,NA,D1-20,BH,CW,72,0,0,1262,1353,78,48,9,118,93,24,265,,,,,,,,,,,
59,059-P1-B8-59.D,NA,D1-23,TM2,CW,168,0,41,68,555,33,0,0,76,0,0,26,,,,,,,,,,,
2,002-P1-A1-2.D,NA,D1-34,TM2,C,24,0,0,230,1407,28,0,0,33,20,0,153,,,,,,,,,,,
13,013-P1-D2-13.D,NA,D1-41,TM2,C,72,0,25,298,2778,56,10,0,84,10,0,104,,,,,,,,,,,
37,037-P1-D5-37.D,NA,D1-44,BH,CW,24,0,0,1157,744,64,31,0,96,29,65,180,,,,,,,,,,,
46,046-P1-E6-46.D,NA,D1-46,BH,C,24,23,12,890,852,255,32,0,47,32,16,172,,,,,,,,,,,
36,036-P1-C5-36.D,NA,D1-7,TM2,CW,24,0,31,54,675,25,0,0,69,19,0,68,,,,,,,,,,,
9,009-P1-H1-9.D,NA,D2-1,BH,CW,24,0,0,1393,892,131,54,0,45,43,31,322,,,,,,,,,,,
19,019-P1-B3-19.D,NA,D2-10,TM2,CW,168,0,0,89,1182,0,0,0,9,10,0,100,,,,,,,,,,,
8,008-P1-G1-8.D,NA,D2-19,BH,CW,24,32,0,1153,390,280,12,0,44,35,18,157,,,,,,,,,,,
16,016-P1-G2-16.D,NA,D2-24,BH,C,72,0,0,1024,878,112,23,0,23,22,30,212,,,,,,,,,,,
44,044-P1-C6-44.D,NA,D2-32,BH,CW,24,0,0,1407,570,151,40,0,61,24,27,108,,,,,,,,,,,
4,004-P1-C1-4.D,NA,D2-45,TM2,C,24,0,22,156,1266,60,0,0,50,10,0,96,,,,,,,,,,,
43,043-P1-B6-43.D,NA,D2-5,TM2,CW,24,0,25,229,922,81,24,0,54,7,0,68,,,,,,,,,,,
18,018-P1-A3-18.D,NA,D2-8,BH,C,168,14,0,2759,769,171,23,13,37,83,31,395,,,,,,,,,,,
7,007-P1-F1-7.D,NA,D3-13,BH,CW,24,17,0,2458,724,238,35,12,47,28,18,172,,,,,,,,,,,
54,054-P1-E7-54.D,NA,D3-14,BH,C,168,0,0,968,1380,105,16,0,50,56,13,166,,,,,,,,,,,
51,051-P1-B7-51.D,NA,D3-16,TM2,C,72,0,0,150,667,71,0,0,48,0,0,40,,,,,,,,,,,
52,052-P1-C7-52.D,NA,D3-17,TM2,C,168,0,16,260,1665,62,14,0,120,8,0,84,,,,,,,,,,,
47,047-P1-F6-47.D,NA,D3-24,TM2,C,168,0,19,147,1371,56,0,0,70,0,0,62,,,,,,,,,,,
11,011-P1-B2-11.D,NA,D3-30,TM2,C,72,0,15,39,1143,16,0,0,92,14,0,74,,,,,,,,,,,
14,014-P1-E2-14.D,NA,D3-32,BH,C,72,10,0,2196,1487,163,42,0,47,77,16,330,,,,,,,,,,,
15,015-P1-F2-15.D,NA,D3-35,BH,CW,72,0,0,3157,1155,312,52,18,74,45,46,336,,,,,,,,,,,
12,012-P1-C2-12.D,NA,D3-38,TM2,C,72,0,23,121,1310,32,0,0,76,12,10,68,,,,,,,,,,,
24,024-P1-G3-24.D,NA,D3-39?,?,?,?,0,64,89,1510,58,0,0,187,12,0,77,,,,,,,,,,,
33,033-P1-H4-33.D,NA,D3-39?,?,?,?,0,0,719,624,71,23,0,19,35,13,124,,,,,,,,,,,
57,057-P1-H7-57.D,NA,D3-40,BH,CW,168,0,0,1771,1304,130,63,0,45,26,29,255,,,,,,,,,,,
40,040-P1-G5-40.D,NA,D3-45,BH,CW,72,0,0,904,829,364,26,0,75,47,19,212,,,,,,,,,,,
32,032-P1-G4-32.D,NA,D3-46,BH,CW,168,0,0,1194,1361,51,32,12,22,40,35,273,,,,,,,,,,,
42,042-P1-A6-42.D,NA,D4-10,TM2,CW,24,0,0,147,1304,54,0,0,20,0,0,49,,,,,,,,,,,
25,025-P1-H3-25.D,NA,D4-11,TM2,C,72,0,0,206,667,23,0,8,39,14,14,104,,,,,,,,,,,
29,029-P1-D4-29.D,NA,D4-17,TM2,CW,168,0,0,432,3004,52,38,13,40,22,20,153,,,,,,,,,,,
31,031-P1-F4-31.D,NA,D4-23,BH,CW,168,0,0,74,53,11,0,0,0,0,0,22,,,,,,,,,,,
35,035-P1-B5-35.D,NA,D4-24,BH,C,24,32,38,1961,1143,332,104,0,55,164,91,538,,,,,,,,,,,
50,050-P1-A7-50.D,NA,D4-32,TM2,CW,168,0,22,75,1507,16,0,0,30,0,0,39,,,,,,,,,,,
56,056-P1-G7-56.D,NA,D4-37,TM2,CW,168,0,36,117,1561,35,16,0,95,0,0,66,,,,,,,,,,,
21,021-P1-D3-21.D,NA,D4-38,BH,C,72,14,0,1135,2146,462,34,0,79,60,23,405,,,,,,,,,,,
6,006-P1-E1-6.D,NA,D4-4,BH,C,24,87,0,2294,400,390,25,0,15,14,26,139,,,,,,,,,,,
34,034-P1-A5-34.D,NA,D4-45,BH,C,24,31,0,1625,830,296,45,0,33,82,18,222,,,,,,,,,,,
53,053-P1-D7-53.D,NA,D4-46,TM2,CW,72,0,0,63,1180,29,0,0,141,0,0,47,,,,,,,,,,,
3,003-P1-B1-3.D,NA,D4-48,TM2,C,24,0,0,163,2459,70,15,0,186,9,0,145,,,,,,,,,,,
28,028-P1-C4-28.D,NA,D4-49,TM2,CW,72,0,0,321,1683,78,0,0,20,0,0,122,,,,,,,,,,,
5,005-P1-D1-5.D,NA,D4-5,TM2,C,24,0,23,347,2488,106,0,0,63,0,0,46,,,,,,,,,,,
41,041-P1-H5-41.D,NA,D4-6,TM2,CW,168,0,0,76,1465,11,0,11,21,8,10,55,,,,,,,,,,,
17,017-P1-H2-17.D,NA,D5-19,TM2,C,72,0,0,54,846,8,0,0,12,12,0,108,,,,,,,,,,,
49,049-P1-H6-49.D,NA,D5-22,BH,C,24,19,0,2006,640,144,54,0,17,31,27,221,,,,,,,,,,,
38,038-P1-E5-38.D,NA,D5-28,TM2,CW,24,0,27,39,296,29,0,0,40,0,0,22,,,,,,,,,,,
62,062-P1-E8-62.D,NA,D5-30,TM2,C,72,0,0,76,698,24,0,0,63,0,0,48,,,,,,,,,,,
55,055-P1-F7-55.D,NA,D5-37,BH,CW,72,0,0,1103,380,138,15,0,15,36,14,290,,,,,,,,,,,
22,022-P1-E3-22.D,NA,D5-39,BH,C,168,18,0,1028,457,178,16,0,11,41,0,142,,,,,,,,,,,
58,058-P1-A8-58.D,NA,D5-46,TM2,C,168,0,0,105,1311,12,0,0,14,6,0,56,,,,,,,,,,,
27,027-P1-B4-27.D,NA,D5-6,TM2,C,72,0,0,107,617,20,0,0,15,0,0,49,,,,,,,,,,,
63,063-P1-F8-63.D,NA,D6-12,BH,C,168,0,0,151,170,65,0,0,,7,0,19,,,,,,,,,,,
45,045-P1-D6-45.D,NA,D6-2,BH,C,24,15,0,398,258,185,0,0,24,7,11,45,,,,,,,,,,,
23,023-P1-F3-23.D,NA,D6-25,TM2,C,168,13,17,202,384,183,0,0,30,10,0,43,,,,,,,,,,,
60,060-P1-C8-60.D,NA,D6-27,TM2,CW,72,0,0,35,285,0,0,0,0,0,0,17,,,,,,,,,,,
26,026-P1-A4-26.D,NA,D6-29,BH,C,168,0,0,919,363,134,16,0,10,38,0,92,,,,,,,,,,,
48,048-P1-G6-48.D,NA,D6-40,TM2,C,72,0,0,213,1007,88,0,0,18,0,0,63,,,,,,,,,,,
61,061-P1-D8-61.D,NA,D6-7,TM2,CW,72,0,0,293,1953,25,0,33,17,0,41,71,,,,,,,,,,,
64,064-P1-G8-64.D,NA,P1-G-08,,,,,17,,,,,,,,123,,,,,,,,,,,,
65,065-P1-H8-65.D,NA,P1-H-08,,,,,46,,,,,,,,203,,,,,,,,,,,,
66,066-P1-A9-66.D,NA,P1-A-09,,,,,51,,,,,,,,120,,,,,,,,,,,,
67,067-P1-B9-67.D,NA,P1-B-09,,,,,108,,,,,,,,144,,,,,,,,,,,,
68,068-P1-C9-68.D,NA,P1-C-09,,,,,112,,,,,,,,135,,,,,,,,,,,,
