Position,Directory,SampleName,Plate Position,Population,trt,sample_time,3MSO,4MSO,Allyl,but-3-enyl,3C modified,8MSOO,indol,4C modified,flavonol+sulfate or f+gsl,indol,flavonol
10,010-P1-A2-10.D,NA,D1-11,TM2,CW,72,0,16,119,1664,64,0,0,106,10,0,94
20,020-P1-C3-20.D,NA,D1-14,TM2,CW,72,0,0,96,472,12,0,0,0,8,0,55
39,039-P1-F5-39.D,NA,D1-19,TM2,CW,24,0,0,280,1634,28,0,0,36,18,0,138
59,059-P1-B8-59.D,NA,D1-23,TM2,CW,168,0,41,68,555,33,0,0,76,0,0,26
2,002-P1-A1-2.D,NA,D1-34,TM2,C,24,0,0,230,1407,28,0,0,33,20,0,153
13,013-P1-D2-13.D,NA,D1-41,TM2,C,72,0,25,298,2778,56,10,0,84,10,0,104
36,036-P1-C5-36.D,NA,D1-7,TM2,CW,24,0,31,54,675,25,0,0,69,19,0,68
19,019-P1-B3-19.D,NA,D2-10,TM2,CW,168,0,0,89,1182,0,0,0,9,10,0,100
4,004-P1-C1-4.D,NA,D2-45,TM2,C,24,0,22,156,1266,60,0,0,50,10,0,96
43,043-P1-B6-43.D,NA,D2-5,TM2,CW,24,0,25,229,922,81,24,0,54,7,0,68
51,051-P1-B7-51.D,NA,D3-16,TM2,C,72,0,0,150,667,71,0,0,48,0,0,40
52,052-P1-C7-52.D,NA,D3-17,TM2,C,168,0,16,260,1665,62,14,0,120,8,0,84
47,047-P1-F6-47.D,NA,D3-24,TM2,C,168,0,19,147,1371,56,0,0,70,0,0,62
11,011-P1-B2-11.D,NA,D3-30,TM2,C,72,0,15,39,1143,16,0,0,92,14,0,74
12,012-P1-C2-12.D,NA,D3-38,TM2,C,72,0,23,121,1310,32,0,0,76,12,10,68
42,042-P1-A6-42.D,NA,D4-10,TM2,CW,24,0,0,147,1304,54,0,0,20,0,0,49
25,025-P1-H3-25.D,NA,D4-11,TM2,C,72,0,0,206,667,23,0,8,39,14,14,104
29,029-P1-D4-29.D,NA,D4-17,TM2,CW,168,0,0,432,3004,52,38,13,40,22,20,153
50,050-P1-A7-50.D,NA,D4-32,TM2,CW,168,0,22,75,1507,16,0,0,30,0,0,39
56,056-P1-G7-56.D,NA,D4-37,TM2,CW,168,0,36,117,1561,35,16,0,95,0,0,66
53,053-P1-D7-53.D,NA,D4-46,TM2,CW,72,0,0,63,1180,29,0,0,141,0,0,47
3,003-P1-B1-3.D,NA,D4-48,TM2,C,24,0,0,163,2459,70,15,0,186,9,0,145
28,028-P1-C4-28.D,NA,D4-49,TM2,CW,72,0,0,321,1683,78,0,0,20,0,0,122
5,005-P1-D1-5.D,NA,D4-5,TM2,C,24,0,23,347,2488,106,0,0,63,0,0,46
41,041-P1-H5-41.D,NA,D4-6,TM2,CW,168,0,0,76,1465,11,0,11,21,8,10,55
17,017-P1-H2-17.D,NA,D5-19,TM2,C,72,0,0,54,846,8,0,0,12,12,0,108
38,038-P1-E5-38.D,NA,D5-28,TM2,CW,24,0,27,39,296,29,0,0,40,0,0,22
62,062-P1-E8-62.D,NA,D5-30,TM2,C,72,0,0,76,698,24,0,0,63,0,0,48
58,058-P1-A8-58.D,NA,D5-46,TM2,C,168,0,0,105,1311,12,0,0,14,6,0,56
27,027-P1-B4-27.D,NA,D5-6,TM2,C,72,0,0,107,617,20,0,0,15,0,0,49
23,023-P1-F3-23.D,NA,D6-25,TM2,C,168,13,17,202,384,183,0,0,30,10,0,43
60,060-P1-C8-60.D,NA,D6-27,TM2,CW,72,0,0,35,285,0,0,0,0,0,0,17
48,048-P1-G6-48.D,NA,D6-40,TM2,C,72,0,0,213,1007,88,0,0,18,0,0,63
61,061-P1-D8-61.D,NA,D6-7,TM2,CW,72,0,0,293,1953,25,0,33,17,0,41,71
