"","Population","treatment","X5MSO","OHAlkenyl","X4MSO","Allyl","Butenyl","X3MT","MSOO","OHI3M","X4MT","Flavonol16","I3M","Flavonol17","Flavonol18","Indole"
"1","BH","C",0,0,14.696015,115.990895,741.537125,7.828625,24.3432675,0,5.7093775,20.4882275,31.0774525,11.3995325,63.5807675,13.369965
"2","BH","CW",0,30.07571,22.6220925,295.8082525,132.97088,26.397515,11.267345,4.3567675,6.18918,15.599385,105.60233,0,42.177195,23.5423025
"3","CALO","C",12.1785744444444,3.113715,27.9583544444444,326.492736111111,425.357033888889,25.0631438888889,15.2130116666667,0,6.42176444444444,22.8490638888889,119.227022777778,12.7219144444444,61.4192927777778,20.5728661111111
"4","CALO","CW",1.69330222222222,3.98719333333333,33.7663733333333,62.9550172222222,284.244393333333,20.7394194444444,9.23625277777778,1.44058333333333,8.01374055555556,23.54633,148.277575555556,1.87090222222222,46.6693283333333,24.502695
"5","CP2","C",15.30109125,3.18201875,40.63295,38.3433875,546.962981875,5.40300875,12.8720275,0,4.91658,27.046584375,65.563939375,10.717689375,36.72863875,20.02934875
"6","CP2","CW",16.222886875,8.946153125,41.007371875,104.17904125,497.08768875,2.468755,5.924936875,1.15595375,6.026705625,24.2113225,118.05916625,6.43489625,41.893280625,14.686359375
"7","DPR","C",6.826305,0,32.45995,91.08731,415.066903333333,20.7187066666667,5.57696666666667,0,11.857765,29.6549066666667,67.7211466666667,6.42797166666667,46.0400416666667,13.138315
"8","DPR","CW",0,0,26.5347383333333,85.94111,693.218295,23.890075,34.0250983333333,0,21.5360616666667,19.1311966666667,190.707208333333,0,36.418065,22.4615766666667
"9","IH","C",9.58036666666667,0,0,454.876248333333,154.19755,28.0187916666667,11.6173633333333,0,1.596405,11.645445,42.4693016666667,11.6583166666667,58.356245,44.3688166666667
"10","IH","CW",20.7116633333333,0,17.24647,270.214185,520.126001666667,7.74402666666667,13.3748833333333,0,26.1714433333333,24.0327316666667,82.3198716666667,3.074455,65.7780533333333,44.3469533333333
"11","KC2","C",0,97.015855,25.45466,168.60729,433.143125,17.905965,0,0,9.951675,15.17541,43.75287,0,20.11848,2.643565
"12","KC2","CW",0,67.202935,47.639445,231.210125,451.227585,77.006395,5.063715,0,31.41996,10.35633,30.505555,0,20.80985,6.529655
"13","LC","C",0,0,21.452635,243.110103,298.635831,22.694121,27.757527,0,5.480933,11.103804,75.226912,2.438826,51.818156,46.276704
"14","LC","CW",4.583371,0,14.233957,399.297488,266.542335,23.122377,17.921243,32.314201,2.81354,11.634475,358.117962,7.786599,47.148264,15.970976
"15","LV1","C",14.5163508333333,0,77.4559258333333,48.3160533333333,1101.01833583333,12.0909891666667,100.3999425,3.47876916666667,25.8542858333333,25.2707083333333,73.4331641666667,15.5235416666667,42.2567058333333,22.5302866666667
"16","LV1","CW",1.21191,10.989437,48.383762,84.519354,1005.092027,18.439974,44.039737,39.14146,19.035398,29.504482,59.978762,40.071679,79.452256,20.453955
"17","LV2","C",11.0110825,10.109075,36.7614991666667,82.6761925,748.581526666667,8.24130583333333,28.9333066666667,0,12.545145,17.1943075,53.1316466666667,13.45722,45.8203533333333,32.8368016666667
"18","LV2","CW",11.5984875,15.5640166666667,28.2750241666667,112.986520833333,904.780395,11.7963725,48.1491108333333,10.4096425,13.938965,23.3799175,129.67253,2.53126666666667,59.4781991666667,16.03198
"19","MtSH","C",0,0,0,12.11329,401.80206,0,6.55912,0,10.7907,14.64653,0,0,12.73926,5.05331
"20","MtSH","CW",0,0,9.196845,18.928825,470.50062,13.24422,0,0,4.289425,24.37985,38.97515,0,24.86037,36.383885
"21","RB","C",0,0,19.1274766666667,258.078855,240.133425,33.013035,10.3071533333333,0,5.88502166666667,11.532955,83.699255,15.7472566666667,38.0892083333333,13.486835
"22","RB","CW",2.24528333333333,0,11.2214733333333,94.7126066666667,129.25648,23.502925,0,10.1734166666667,0,7.66550333333333,72.9883366666667,0,29.9702233333333,15.4356766666667
"23","SC","C",1.978125,0,0,509.2323975,8.4272025,42.4811625,0,0,15.2699725,13.10285625,15.59676875,1.96419875,28.73720375,29.15620125
"24","SC","CW",0,7.698155,0,664.14865125,136.7863925,52.289115,0,18.876895,4.49222125,11.5769775,59.134175,4.18957125,32.50032125,8.952395
"25","SQ1","C",19.96555125,11.16365125,0,634.42140875,394.03865375,2.73253375,8.7486725,0,4.208665,19.20827625,44.57208375,3.17445,34.10563875,18.904415
"26","SQ1","CW",10.57846375,0,8.14203625,495.645255,112.396125,17.74848,4.52374125,6.19282625,0,15.02652625,108.006485,1.13587375,36.9581775,19.18695125
"27","SQ2","C",35.297445,0,7.02334857142857,817.469525714286,170.576432857143,4.98283642857143,24.0147807142857,3.68451071428571,6.06894571428571,19.3422671428571,146.175493571429,8.52314214285714,34.5196278571429,18.5770414285714
"28","SQ2","CW",19.15513,6.75050142857143,1.18059785714286,715.332017142857,77.0947842857143,13.2177564285714,8.52335071428571,7.74787571428571,3.93020928571429,21.6949335714286,118.332807142857,9.47021642857143,45.5108221428571,14.6675314285714
"29","TFC","C",5.2149775,0,23.22397,262.551205,92.7874075,5.42005,0,0,2.8088575,21.531645,105.856,0,55.91688,20.0674
"30","TFC","CW",0,0,25.0704116666667,100.793778333333,336.620041666667,20.5834716666667,5.85891166666667,31.4614766666667,16.36804,11.8405966666667,139.834805,13.401625,68.4386483333333,23.603205
"31","TM2","C",1.148784375,0,27.102315,111.8508075,457.637980625,23.77232875,14.416003125,4.052080625,3.312088125,17.870141875,93.146656875,6.0118875,39.687663125,23.03777125
"32","TM2","CW",5.94113,0,14.238089375,178.27071125,350.452485,12.01186125,10.6832925,24.541165,17.29612625,21.0175725,49.532580625,2.2008175,50.32734375,21.895814375
"33","WL1","C",0,88.7644433333333,0,144.558745,647.353563333333,2.35556666666667,0,0,0,14.1600616666667,34.9323983333333,0,28.3059366666667,58.3245566666667
"34","WL1","CW",19.7179316666667,98.5048833333333,0,49.7959133333333,901.045408333333,26.5382866666667,1.20779333333333,2.64028,5.21501,29.8886233333333,106.035841666667,5.19294833333333,32.3955,6.127335
"35","WL2","C",4.88196625,73.0515,22.80726375,1.89068875,527.66125625,0,11.5280625,0,1.91953125,14.03824125,41.13029,0,14.97584625,10.690575
"36","WL2","CW",9.077415,77.67457,34.529035,17.289815,319.9036825,3.445,8.5344075,0,27.6482125,29.55171125,113.5344975,4.57524125,55.0638675,13.99183375
"37","WL3","C",6.4037325,0,16.56502,51.16573,374.4790725,13.5542925,7.574855,0,12.808835,11.239335,15.92884,0,74.445615,28.184945
"38","WL3","CW",19.209315,112.034315,57.10933,6.743495,733.19849,0,35.75247,0,17.67597,17.578555,218.43502,0,41.341755,41.760985
"39","YO10","C",0,0,0,156.531715,633.72211,8.64142,19.94497,0,5.97467,5.61228,103.40667,0,41.750385,54.70106
"40","YO10","CW",0,0,14.76747,18.96481,760.782255,14.02397,0,4.91581,28.134585,6.57557,54.064205,0,52.80513,43.983435
"41","YOSE8","C",0,0,8.5535675,288.25559,110.390975,75.9865525,0,0,3.8035875,6.6348875,13.849365,0,49.5446475,43.4042275
"42","YOSE8","CW",3.93749,0,12.3089325,129.83515,251.82941,0,50.1613625,0,10.4403525,9.5320225,55.736195,8.26471,22.33046,6.8015425
