"","Population","treatment","compound type","compound","value"
"1","BH","C","GSL","X3MSO",3.7027825
"2","BH","C","GSL","OHAlkenyl",0
"3","BH","C","GSL","X4MSO",14.696015
"4","BH","C","GSL","Allyl",115.990895
"5","BH","C","GSL","X5MSO",0
"6","BH","C","GSL","Butenyl",741.537125
"7","BH","C","GSL","X3MT",7.828625
"8","BH","C","GSL","MSOO",24.3432675
"9","BH","C","GSL","OHI3M",0
"10","BH","C","GSL","X4MT",5.7093775
"11","BH","C","GSL","Flavonol16",20.4882275
"12","BH","C","GSL","I3M",31.0774525
"13","BH","C","GSL","Flavonol17",11.3995325
"14","BH","C","GSL","Flavonol18",63.5807675
"15","BH","C","GSL","Indole",13.369965
"16","BH","C","GSL","totalaliphatic",913.8080875
"17","BH","C","GSL","totalindole",44.4474175
"18","BH","C","GSL","totalGSL",958.255505
"19","BH","C","GSL","logindoles",1.43939959381506
"20","BH","CW","GSL","X3MSO",21.6169575
"21","BH","CW","GSL","OHAlkenyl",30.07571
"22","BH","CW","GSL","X4MSO",22.6220925
"23","BH","CW","GSL","Allyl",295.8082525
"24","BH","CW","GSL","X5MSO",0
"25","BH","CW","GSL","Butenyl",132.97088
"26","BH","CW","GSL","X3MT",26.397515
"27","BH","CW","GSL","MSOO",11.267345
"28","BH","CW","GSL","OHI3M",4.3567675
"29","BH","CW","GSL","X4MT",6.18918
"30","BH","CW","GSL","Flavonol16",15.599385
"31","BH","CW","GSL","I3M",105.60233
"32","BH","CW","GSL","Flavonol17",0
"33","BH","CW","GSL","Flavonol18",42.177195
"34","BH","CW","GSL","Indole",23.5423025
"35","BH","CW","GSL","totalaliphatic",546.9479325
"36","BH","CW","GSL","totalindole",133.5014
"37","BH","CW","GSL","totalGSL",680.4493325
"38","BH","CW","GSL","logindoles",2.06857931465193
"39","CALO","C","GSL","X3MSO",17.71644
"40","CALO","C","GSL","OHAlkenyl",3.113715
"41","CALO","C","GSL","X4MSO",27.9583544444444
"42","CALO","C","GSL","Allyl",326.492736111111
"43","CALO","C","GSL","X5MSO",12.1785744444444
"44","CALO","C","GSL","Butenyl",425.357033888889
"45","CALO","C","GSL","X3MT",25.0631438888889
"46","CALO","C","GSL","MSOO",15.2130116666667
"47","CALO","C","GSL","OHI3M",0
"48","CALO","C","GSL","X4MT",6.42176444444444
"49","CALO","C","GSL","Flavonol16",22.8490638888889
"50","CALO","C","GSL","I3M",119.227022777778
"51","CALO","C","GSL","Flavonol17",12.7219144444444
"52","CALO","C","GSL","Flavonol18",61.4192927777778
"53","CALO","C","GSL","Indole",20.5728661111111
"54","CALO","C","GSL","totalaliphatic",859.514773888889
