"","Population","treatment","GSL_X3MSO","GSL_OHAlkenyl","GSL_X4MSO","GSL_Allyl","GSL_X5MSO","GSL_Butenyl","GSL_X3MT","GSL_MSOO","GSL_OHI3M","GSL_X4MT","GSL_Flavonol16","GSL_I3M","GSL_Flavonol17","GSL_Flavonol18","GSL_Indole","GSL_totalaliphatic","GSL_totalindole","GSL_totalGSL","GSL_logindoles","GSL_logaliphatics","cwd","ppt_mm","pck","snw","tmin","tmax","latitude","longitude","elevation","PC1","PC2"
"1","BH","C",3.7027825,0,14.696015,115.990895,0,741.537125,7.828625,24.3432675,0,5.7093775,20.4882275,31.0774525,11.3995325,63.5807675,13.369965,913.8080875,44.4474175,958.255505,1.43939959381506,2.89609315973422,44917.8006693274,29958.4004464149,0,1573.00002343953,8.41743178464485,23.2896083229741,37.40985,-119.96458,511.4294422,-3.06411073191806,0.399384427584379
"2","BH","CW",21.6169575,30.07571,22.6220925,295.8082525,0,132.97088,26.397515,11.267345,4.3567675,6.18918,15.599385,105.60233,0,42.177195,23.5423025,546.9479325,133.5014,680.4493325,2.06857931465193,2.70998424093396,44917.8006693274,29958.4004464149,0,1573.00002343953,8.41743178464485,23.2896083229741,37.40985,-119.96458,511.4294422,-3.06411073191806,0.399384427584379
"3","CALO","C",17.71644,3.113715,27.9583544444444,326.492736111111,12.1785744444444,425.357033888889,25.0631438888889,15.2130116666667,0,6.42176444444444,22.8490638888889,119.227022777778,12.7219144444444,61.4192927777778,20.5728661111111,859.514773888889,139.799888888889,999.314662777778,2.03214276244777,2.80549594860655,35527.0005293936,73973.1011022851,9313.70013878495,15393.6002293825,6.50411550088019,19.1510369869069,39.19494,-120.77055,1117.6,-1.41473604783401,0.730786918753721
"4","CALO","CW",18.9253288888889,3.98719333333333,33.7663733333333,62.9550172222222,1.69330222222222,284.244393333333,20.7394194444444,9.23625277777778,1.44058333333333,8.01374055555556,23.54633,148.277575555556,1.87090222222222,46.6693283333333,24.502695,443.561021111111,174.220853888889,617.781875,2.02588410673311,2.62184959768701,35527.0005293936,73973.1011022851,9313.70013878495,15393.6002293825,6.50411550088019,19.1510369869069,39.19494,-120.77055,1117.6,-1.41473604783401,0.730786918753721
"5","CP2","C",6.230326875,3.18201875,40.63295,38.3433875,15.30109125,546.962981875,5.40300875,12.8720275,0,4.91658,27.046584375,65.563939375,10.717689375,36.72863875,20.02934875,673.8443725,85.593288125,759.437660625,1.77007715828308,2.75870651871278,12947.7001929358,70900.6010565013,191713.402856752,54800.6008165926,-1.74986390646572,11.6203568831219,38.66169,-120.13065,2244.132886,1.91688955589846,-0.820333429899835
"6","CP2","CW",3.820355,8.946153125,41.007371875,104.17904125,16.222886875,497.08768875,2.468755,5.924936875,1.15595375,6.026705625,24.2113225,118.05916625,6.43489625,41.893280625,14.686359375,685.683894375,133.901479375,819.58537375,1.97757647737008,2.75128501935652,12947.7001929358,70900.6010565013,191713.402856752,54800.6008165926,-1.74986390646572,11.6203568831219,38.66169,-120.13065,2244.132886,1.91688955589846,-0.820333429899835
"7","DPR","C",16.5103916666667,0,32.45995,91.08731,6.826305,415.066903333333,20.7187066666667,5.57696666666667,0,11.857765,29.6549066666667,67.7211466666667,6.42797166666667,46.0400416666667,13.138315,600.104298333333,80.8594616666667,680.96376,1.87874416418817,2.74151707760252,16778.6002500206,76383.4011382014,20448.5003047064,22319.000332579,4.56794207476929,19.6380777923473,39.22846,-120.81518,1018.591893,-0.362535630000869,0.231711119070733
"8","DPR","CW",12.4676283333333,0,26.5347383333333,85.94111,0,693.218295,23.890075,34.0250983333333,0,21.5360616666667,19.1311966666667,190.707208333333,0,36.418065,22.4615766666667,897.613006666667,213.168785,1110.78179166667,2.02957151148763,2.92406957308338,16778.6002500206,76383.4011382014,20448.5003047064,22319.000332579,4.56794207476929,19.6380777923473,39.22846,-120.81518,1018.591893,-0.362535630000869,0.231711119070733
"9","IH","C",81.515475,0,0,454.876248333333,9.58036666666667,154.19755,28.0187916666667,11.6173633333333,0,1.596405,11.645445,42.4693016666667,11.6583166666667,58.356245,44.3688166666667,741.4022,86.8381183333333,828.240318333333,1.76131074643677,2.76285004066884,34959.3005209342,56734.5008454099,223.70000333339,3333.60004967451,8.19059505502117,22.7030267034322,39.09332,-120.92114,454.1298385,-2.24779202525643,0.707041662825702
"10","IH","CW",28.34514,0,17.24647,270.214185,20.7116633333333,520.126001666667,7.74402666666667,13.3748833333333,0,26.1714433333333,24.0327316666667,82.3198716666667,3.074455,65.7780533333333,44.3469533333333,903.933813333333,126.666825,1030.60063833333,2.06382084146383,2.90670581796584,34959.3005209342,56734.5008454099,223.70000333339,3333.60004967451,8.19059505502117,22.7030267034322,39.09332,-120.92114,454.1298385,-2.24779202525643,0.707041662825702
"11","KC2","C",27.592465,97.015855,25.45466,168.60729,0,433.143125,17.905965,0,0,9.951675,15.17541,43.75287,0,20.11848,2.643565,779.671035,46.396435,826.06747,1.33262826538946,2.88137902930548,26814.9003995731,40932.7006099448,1708.60002546012,8985.00013388693,5.72042504220656,20.3470913819418,36.82301,-118.83542,948.1707317,-1.5870746643283,-0.274081138151416
"12","KC2","CW",64.164255,67.202935,47.639445,231.210125,0,451.227585,77.006395,5.063715,0,31.41996,10.35633,30.505555,0,20.80985,6.529655,974.934415,37.03521,1011.969625,1.35271206682112,2.98339760766441,26814.9003995731,40932.7006099448,1708.60002546012,8985.00013388693,5.72042504220656,20.3470913819418,36.82301,-118.83542,948.1707317,-1.5870746643283,-0.274081138151416
"13","LC","C",19.729767,0,21.452635,243.110103,0,298.635831,22.694121,27.757527,0,5.480933,11.103804,75.226912,2.438826,51.818156,46.276704,638.860917,121.503616,760.364533,2.02281052929651,2.79238598734089,28852.9004299417,88227.8013146967,70535.5010510609,39575.7005897239,3.10292510071225,17.2537751245521,39.31897,-120.65744,1362.3,-0.000751045800311947,0.640996128756212
"14","LC","CW",56.060828,0,14.233957,399.297488,4.583371,266.542335,23.122377,17.921243,32.314201,2.81354,11.634475,358.117962,7.786599,47.148264,15.970976,784.575139,406.403139,1190.978278,2.43236708214665,2.8769935913516,28852.9004299417,88227.8013146967,70535.5010510609,39575.7005897239,3.10292510071225,17.2537751245521,39.31897,-120.65744,1362.3,-0.000751045800311947,0.640996128756212
"15","LV1","C",2.073415,0,77.4559258333333,48.3160533333333,14.5163508333333,1101.01833583333,12.0909891666667,100.3999425,3.47876916666667,25.8542858333333,25.2707083333333,73.4331641666667,15.5235416666667,42.2567058333333,22.5302866666667,1381.72529833333,99.44222,1481.16751833333,1.81177542111902,3.10960036520117,6225.40009276569,143182.402133584,556334.808290034,123935.101846777,-3.08554414871979,9.37083312387889,40.47471,-121.50486,2593.416641,5.26235010222906,1.45403493664994
"16","LV1","CW",13.248256,10.989437,48.383762,84.519354,1.21191,1005.092027,18.439974,44.039737,39.14146,19.035398,29.504482,59.978762,40.071679,79.452256,20.453955,1244.959855,119.574177,1364.534032,2.01908537506131,3.0481583782802,6225.40009276569,143182.402133584,556334.808290034,123935.101846777,-3.08554414871979,9.37083312387889,40.47471,-121.50486,2593.416641,5.26235010222906,1.45403493664994
"17","LV2","C",2.1032175,10.109075,36.7614991666667,82.6761925,11.0110825,748.581526666667,8.24130583333333,28.9333066666667,0,12.545145,17.1943075,53.1316466666667,13.45722,45.8203533333333,32.8368016666667,940.962350833333,85.9684483333333,1026.93079916667,1.7670044257295,2.8803007731684,9188.60013692081,142498.502123393,531055.207913339,121242.301806651,-2.5819897382064,9.77306100604486,40.46563,-121.51487,2500.457178,4.94755773542318,1.53538557585433
"18","LV2","CW",13.55763,15.5640166666667,28.2750241666667,112.986520833333,11.5984875,904.780395,11.7963725,48.1491108333333,10.4096425,13.938965,23.3799175,129.67253,2.53126666666667,59.4781991666667,16.03198,1160.6465225,156.1141525,1316.760675,2.0307386054473,3.02884262050262,9188.60013692081,142498.502123393,531055.207913339,121242.301806651,-2.5819897382064,9.77306100604486,40.46563,-121.51487,2500.457178,4.94755773542318,1.53538557585433
"19","MtSH","C",0,0,0,12.11329,0,401.80206,0,6.55912,0,10.7907,14.64653,0,0,12.73926,5.05331,431.26517,5.05331,436.31848,0.703575941254214,2.6347443849078,29680.2004422694,73260.7010916695,5043.90007515997,11596.8001728058,5.50622436672221,17.4207989303427,38.66767778,-122.6272806,1282,-1.00314480195166,0.284825282351401
"20","MtSH","CW",0,0,9.196845,18.928825,0,470.50062,13.24422,0,0,4.289425,24.37985,38.97515,0,24.86037,36.383885,516.159935,75.359035,591.51897,1.77033265933568,2.65758059908026,29680.2004422694,73260.7010916695,5043.90007515997,11596.8001728058,5.50622436672221,17.4207989303427,38.66767778,-122.6272806,1282,-1.00314480195166,0.284825282351401
"21","RB","C",43.90582,0,19.1274766666667,258.078855,0,240.133425,33.013035,10.3071533333333,0,5.88502166666667,11.532955,83.699255,15.7472566666667,38.0892083333333,13.486835,610.450786666667,97.18609,707.636876666667,1.78636638420956,2.68424182747545,34392.4005124867,54617.5008138642,14207.6002117097,16378.5002440587,3.12710877364109,20.0328566950879,40.01362,-121.18498,787,-1.32100064279436,-0.0161803911984867
"22","RB","CW",32.8681916666667,0,11.2214733333333,94.7126066666667,2.24528333333333,129.25648,23.502925,0,10.1734166666667,0,7.66550333333333,72.9883366666667,0,29.9702233333333,15.4356766666667,293.80696,98.59743,392.40439,1.82237402530017,2.42615860719947,34392.4005124867,54617.5008138642,14207.6002117097,16378.5002440587,3.12710877364109,20.0328566950879,40.01362,-121.18498,787,-1.32100064279436,-0.0161803911984867
"23","SC","C",41.15021375,0,0,509.2323975,1.978125,8.4272025,42.4811625,0,0,15.2699725,13.10285625,15.59676875,1.96419875,28.73720375,29.15620125,618.53907375,44.75297,663.29204375,1.59519247650368,2.77441630649344,29439.2004386783,39140.3005832359,17.1000002548099,2124.20003165305,7.64593520324969,22.6732137789285,38.41167,-120.73583,421.5178299,-2.19518144530575,0.103049323348019
"24","SC","CW",63.096405,7.698155,0,664.14865125,0,136.7863925,52.289115,0,18.876895,4.49222125,11.5769775,59.134175,4.18957125,32.50032125,8.952395,928.51094,86.963465,1015.474405,1.83341471581785,2.94986457836773,29439.2004386783,39140.3005832359,17.1000002548099,2124.20003165305,7.64593520324969,22.6732137789285,38.41167,-120.73583,421.5178299,-2.19518144530575,0.103049323348019
"25","SQ1","C",8.62402875,11.16365125,0,634.42140875,19.96555125,394.03865375,2.73253375,8.7486725,0,4.208665,19.20827625,44.57208375,3.17445,34.10563875,18.904415,1083.903165,63.47649875,1147.37966375,1.75587033341716,3.03148037195282,29294.900436528,55871.5008325502,82486.6012291461,36565.000544861,1.96280607857684,13.9497275793557,36.56435,-118.7764,1921.036585,-0.0161383171018375,-0.486888569513665
"26","SQ1","CW",16.1509525,0,8.14203625,495.645255,10.57846375,112.396125,17.74848,4.52374125,6.19282625,0,15.02652625,108.006485,1.13587375,36.9581775,19.18695125,665.18505375,133.3862625,798.57131625,1.98588369241263,2.76723670888325,29294.900436528,55871.5008325502,82486.6012291461,36565.000544861,1.96280607857684,13.9497275793557,36.56435,-118.7764,1921.036585,-0.0161383171018375,-0.486888569513665
"27","SQ2","C",28.0437942857143,0,7.02334857142857,817.469525714286,35.297445,170.576432857143,4.98283642857143,24.0147807142857,3.68451071428571,6.06894571428571,19.3422671428571,146.175493571429,8.52314214285714,34.5196278571429,18.5770414285714,1093.47710928571,168.437045714286,1261.914155,2.08062248181528,2.99532146413807,23377.0003483444,54735.600815624,118750.801769525,40751.8006072491,-1.36311221443003,13.4033840541525,36.66557,-118.83543,1934.45122,0.731759865450639,-0.971674536683854
"28","SQ2","CW",30.4345135714286,6.75050142857143,1.18059785714286,715.332017142857,19.15513,77.0947842857143,13.2177564285714,8.52335071428571,7.74787571428571,3.93020928571429,21.6949335714286,118.332807142857,9.47021642857143,45.5108221428571,14.6675314285714,875.618860714286,140.748214285714,1016.367075,1.86913354066736,2.87653514354663,23377.0003483444,54735.600815624,118750.801769525,40751.8006072491,-1.36311221443003,13.4033840541525,36.66557,-118.83543,1934.45122,0.731759865450639,-0.971674536683854
"29","TFC","C",54.854485,0,23.22397,262.551205,5.2149775,92.7874075,5.42005,0,0,2.8088575,21.531645,105.856,0,55.91688,20.0674,446.8609525,125.9234,572.7843525,2.09017306494552,2.53408887991177,31843.3004745021,77977.7011619583,11813.6001760364,18515.200275898,4.9362243794627,20.1637070322992,39.42772,-120.93623,1085,-1.10562348412223,0.673285673906552
"30","TFC","CW",17.8206433333333,0,25.0704116666667,100.793778333333,0,336.620041666667,20.5834716666667,5.85891166666667,31.4614766666667,16.36804,11.8405966666667,139.834805,13.401625,68.4386483333333,23.603205,523.115298333333,194.899486666667,718.014785,2.18129618035044,2.7020734818791,31843.3004745021,77977.7011619583,11813.6001760364,18515.200275898,4.9362243794627,20.1637070322992,39.42772,-120.93623,1085,-1.10562348412223,0.673285673906552
"31","TM2","C",15.942430625,0,27.102315,111.8508075,1.148784375,457.637980625,23.77232875,14.416003125,4.052080625,3.312088125,17.870141875,93.146656875,6.0118875,39.687663125,23.03777125,655.182738125,120.23650875,775.419246875,-Inf,2.79012431389392,38420.8005725145,59681.2008893192,72.4000010788441,2188.30003260821,9.05710864109526,22.5524484755053,39.59255,-121.55072,379.1526973,-2.43901043976737,0.931142934086062
"32","TM2","CW",0,0,14.238089375,178.27071125,5.94113,350.452485,12.01186125,10.6832925,24.541165,17.29612625,21.0175725,49.532580625,2.2008175,50.32734375,21.895814375,588.893695625,95.96956,684.863255625,1.80050194776356,2.75289547364736,38420.8005725145,59681.2008893192,72.4000010788441,2188.30003260821,9.05710864109526,22.5524484755053,39.59255,-121.55072,379.1526973,-2.43901043976737,0.931142934086062
"33","WL1","C",0,88.7644433333333,0,144.558745,0,647.353563333333,2.35556666666667,0,0,0,14.1600616666667,34.9323983333333,0,28.3059366666667,58.3245566666667,883.032318333333,93.256955,976.289273333333,1.85360205001257,2.93021713517383,23182.5003454462,60564.0009024739,38846.9005788639,28079.6004184186,1.96591832340524,16.6321254785832,38.78608,-120.2143,1613.837245,-0.173407685714257,-0.438017199001594
"34","WL1","CW",8.20605,98.5048833333333,0,49.7959133333333,19.7179316666667,901.045408333333,26.5382866666667,1.20779333333333,2.64028,5.21501,29.8886233333333,106.035841666667,5.19294833333333,32.3955,6.127335,1110.23127666667,114.803456666667,1225.03473333333,1.81933320722103,3.00101468096499,23182.5003454462,60564.0009024739,38846.9005788639,28079.6004184186,1.96591832340524,16.6321254785832,38.78608,-120.2143,1613.837245,-0.173407685714257,-0.438017199001594
"35","WL2","C",0,73.0515,22.80726375,1.89068875,4.88196625,527.66125625,0,11.5280625,0,1.91953125,14.03824125,41.13029,0,14.97584625,10.690575,643.74026875,51.820865,695.56113375,1.67430880004725,2.80029832300908,24495.6003650129,61754.8009202182,89450.2013329118,38747.8005773872,1.65273805829652,13.7613092162203,38.8263,-120.25242,2020.115818,0.341199933797996,-0.490829400023578
"36","WL2","CW",7.09775625,77.67457,34.529035,17.289815,9.077415,319.9036825,3.445,8.5344075,0,27.6482125,29.55171125,113.5344975,4.57524125,55.0638675,13.99183375,505.19989375,127.52633125,632.726225,1.88169454156037,2.67252165281253,24495.6003650129,61754.8009202182,89450.2013329118,38747.8005773872,1.65273805829652,13.7613092162203,38.8263,-120.25242,2020.115818,0.341199933797996,-0.490829400023578
"37","WL3","C",4.419695,0,16.56502,51.16573,6.4037325,374.4790725,13.5542925,7.574855,0,12.808835,11.239335,15.92884,0,74.445615,28.184945,486.9712325,44.113785,531.0850175,1.51546228457483,2.66402014133354,18899.7002816275,61816.0009211302,104745.801560834,41137.9006130025,1.13243194747729,13.0630269189029,38.83528,-120.23824,2137.762877,0.750896226337532,-0.696127907430157
"38","WL3","CW",0,112.034315,57.10933,6.743495,19.209315,733.19849,0,35.75247,0,17.67597,17.578555,218.43502,0,41.341755,41.760985,981.723385,260.196005,1241.91939,2.33354853458023,2.97689786645251,18899.7002816275,61816.0009211302,104745.801560834,41137.9006130025,1.13243194747729,13.0630269189029,38.83528,-120.23824,2137.762877,0.750896226337532,-0.696127907430157
"39","YO10","C",0,0,0,156.531715,0,633.72211,8.64142,19.94497,0,5.97467,5.61228,103.40667,0,41.750385,54.70106,824.814885,158.10773,982.922615,2.197334752077,2.84774462153344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","YO10","CW",0,0,14.76747,18.96481,0,760.782255,14.02397,0,4.91581,28.134585,6.57557,54.064205,0,52.80513,43.983435,836.67309,102.96345,939.63654,2.001828329849,2.91309259407486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","YOSE8","C",83.62305,0,8.5535675,288.25559,0,110.390975,75.9865525,0,0,3.8035875,6.6348875,13.849365,0,49.5446475,43.4042275,570.6133225,57.2535925,627.866915,1.68012266212616,2.72334073917105,21186.6003157049,63501.5009462461,170762.402544558,48981.8007298857,-2.48336729143119,11.9898806843862,37.81117,-119.48624,2590.97836,1.40294395344314,-0.917099348998176
"42","YOSE8","CW",22.499275,0,12.3089325,129.83515,3.93749,251.82941,0,50.1613625,0,10.4403525,9.5320225,55.736195,8.26471,22.33046,6.8015425,481.0119725,62.5377375,543.54971,1.63487191882021,2.67090744871446,21186.6003157049,63501.5009462461,170762.402544558,48981.8007298857,-2.48336729143119,11.9898806843862,37.81117,-119.48624,2590.97836,1.40294395344314,-0.917099348998176
