,YO11,KC2,CP2,YO1,WL2,IH,WV,LV1,SHA,YO10,WL3,SQ3,DPR,LV3,LVTR,WL1,SQ1,BH,TM2,LV2
YO11,0,0.204535,0.119337,0.0800677,0.139576,0.226951,0.262205,0.295652,0.259594,0.0749385,0.146597,0.176626,0.238896,0.278396,0.293295,0.152691,0.194486,0.204933,0.226187,0.282812
KC2,0.204535,0,0.176625,0.151437,0.198335,0.322415,0.380964,0.454999,0.392171,0.202096,0.214912,0.215421,0.335922,0.42627,0.45002,0.227365,0.241915,0.289031,0.320208,0.434723
CP2,0.119337,0.176625,0,0.0891837,0.0974982,0.188906,0.217977,0.239392,0.211153,0.115034,0.100082,0.156736,0.201518,0.226369,0.237947,0.103702,0.171777,0.180188,0.196143,0.230114
YO1,0.0800677,0.151437,0.0891837,0,0.105582,0.172765,0.196184,0.214588,0.190275,0.07558,0.108986,0.135342,0.182649,0.202497,0.213094,0.113564,0.148092,0.155423,0.173297,0.20557
WL2,0.139576,0.198335,0.0974982,0.105582,0,0.195325,0.240561,0.270879,0.238574,0.136186,0.0463082,0.175295,0.205571,0.255335,0.268938,0.0805165,0.189794,0.201546,0.216135,0.260235
IH,0.226951,0.322415,0.188906,0.172765,0.195325,0,0.381733,0.453463,0.390607,0.223196,0.212032,0.274182,0.30064,0.423978,0.44945,0.230753,0.299278,0.311811,0.332189,0.433374
WV,0.262205,0.380964,0.217977,0.196184,0.240561,0.381733,0,0.431166,0.328335,0.25754,0.263115,0.313043,0.380539,0.393693,0.425601,0.279146,0.344365,0.363022,0.340831,0.407893
LV1,0.295652,0.454999,0.239392,0.214588,0.270879,0.453463,0.431166,0,0.494111,0.290403,0.301974,0.356998,0.457401,0.155874,0.0790794,0.318715,0.395732,0.420291,0.399599,0.156926
SHA,0.259594,0.392171,0.211153,0.190275,0.238574,0.390607,0.328335,0.494111,0,0.256441,0.264163,0.312653,0.392122,0.446651,0.487233,0.278846,0.346473,0.367878,0.352923,0.464515
YO10,0.0749385,0.202096,0.115034,0.07558,0.136186,0.223196,0.25754,0.290403,0.256441,0,0.142813,0.174928,0.234963,0.273857,0.288189,0.148762,0.192345,0.202184,0.223058,0.278361
WL3,0.146597,0.214912,0.100082,0.108986,0.0463082,0.212032,0.263115,0.301974,0.264163,0.142813,0,0.185149,0.22406,0.283837,0.299486,0.0980154,0.201965,0.214571,0.232243,0.289722
SQ3,0.176626,0.215421,0.156736,0.135342,0.175295,0.274182,0.313043,0.356998,0.312653,0.174928,0.185149,0,0.285973,0.336754,0.354141,0.195551,0.188942,0.247301,0.27189,0.342513
DPR,0.238896,0.335922,0.201518,0.182649,0.205571,0.30064,0.380539,0.457401,0.392122,0.234963,0.22406,0.285973,0,0.42502,0.453213,0.243358,0.314579,0.329017,0.334444,0.43552
LV3,0.278396,0.42627,0.226369,0.202497,0.255335,0.423978,0.393693,0.155874,0.446651,0.273857,0.283837,0.336754,0.42502,0,0.154988,0.299356,0.372295,0.396029,0.371868,0.0676804
LVTR,0.293295,0.45002,0.237947,0.213094,0.268938,0.44945,0.425601,0.0790794,0.487233,0.288189,0.299486,0.354141,0.453213,0.154988,0,0.316215,0.391973,0.416358,0.395253,0.152634
WL1,0.152691,0.227365,0.103702,0.113564,0.0805165,0.230753,0.279146,0.318715,0.278846,0.148762,0.0980154,0.195551,0.243358,0.299356,0.316215,0,0.213785,0.224164,0.246417,0.305305
SQ1,0.194486,0.241915,0.171777,0.148092,0.189794,0.299278,0.344365,0.395732,0.346473,0.192345,0.201965,0.188942,0.314579,0.372295,0.391973,0.213785,0,0.266593,0.295685,0.379686
BH,0.204933,0.289031,0.180188,0.155423,0.201546,0.311811,0.363022,0.420291,0.367878,0.202184,0.214571,0.247301,0.329017,0.396029,0.416358,0.224164,0.266593,0,0.296082,0.403673
TM2,0.226187,0.320208,0.196143,0.173297,0.216135,0.332189,0.340831,0.399599,0.352923,0.223058,0.232243,0.27189,0.334444,0.371868,0.395253,0.246417,0.295685,0.296082,0,0.379541
LV2,0.282812,0.434723,0.230114,0.20557,0.260235,0.433374,0.407893,0.156926,0.464515,0.278361,0.289722,0.342513,0.43552,0.0676804,0.152634,0.305305,0.379686,0.403673,0.379541,0
