Shorthand,Site,Lat,Long,Elevation_m,date_occurance,phenology,Visited,locality_details,scouting trip,date ,source,url,notes
WDH,Western Divide Hwy,36.067293,-118.531019,2191,6/29/2019,FP,no,off a forest rd off og great western divide hwy,,,,,
LML,Lower Monarch Lake,36.453438,-118.56495,3169,10/2/2017,FP,no,"Lower monarch lake, Tulare County",,,inaturalist,https://api.gbif.org/v1/image/unsafe/https%3A%2F%2Finaturalist-open-data.s3.amazonaws.com%2Fphotos%2F10963148%2Foriginal.jpg%3F1507179002,
BB,Bidwell bridge,39.55355,-121.4329,282.8544,,,yes,,NA,,,,
CC,Canyon Creek,39.58597,-121.43311,289,,,yes,,NA,,,,
TM2,Table Mountain 2,39.59255,-121.55072,379.1526973,,,yes,,NA,,,,
TM1,Table Mountain 1,39.5987,-121.54554,411.4599208,,,yes,,NA,,,,
SC,Sutter Creek,38.41167,-120.73583,421.5178299,,,yes,,NA,,,,
IH,Iowa Hill,39.09332,-120.92114,454.1298385,,,yes,,NA,,,,
BH,Ben Hur,37.40985,-119.96458,511.4294422,,,yes,,NA,,,,
MLB,"Mammoth Lakes Basin, Mono county,",37.588472,-118.980083,2935,,,no,,,,,,
WV,Weaverville,40.74084,-123.00364,700,,,yes,,NA,,,,
FR,Feather River,40.02192,-121.16808,787,,,yes,,NA,,,,
KC2,Kings Canyon,36.82301,-118.83542,902,,,yes,,NA,,,,
KC1,Kings Canyon,36.82968,-118.86903,989,,,yes,,NA,,,,
DPR,Drum Powerhouse Road,39.22846,-120.81518,1018.591893,,,yes,,NA,,,,
SHA,Shasta,40.40811,-123.33894,1316,,,yes,,NA,,,,
SHP,"Sagehen Peak, Mono County, CA",37.8579,-118.8471,2649,,,no,,,,,,
KMR,Kennedy Meadows Rd,38.322405,-119.752813,1908,,,no,"Kennedy Meadows Rd, Baker Campground",,,,,
KC3,Kings Canyon,36.78231,-118.62575,1467,,,yes,,NA,,,,
NKT,"Nattkemper Trail, Hood Mt",38.45634,-122.55681,1346,,,no,"Hood Mt., Gunsight Rock",,,,,
Davis,,38.5382,-121.7617,,,,Davis,,,,,,
WL1,Wright's Lake 1,38.78608,-120.2143,1613.837245,,,yes,,NA,,,,
SQ1,Seqouia,36.56435,-118.7764,1954,,,yes,,NA,,,,
SQ2,Seqouia,36.66557,-118.83543,1959,,,yes,,NA,,,,
WL2,Wright's Lake 2,38.8263,-120.25242,2020.115818,,,yes,,NA,,,,
DP,Donner Pass,39.31629,-120.32605,2052,,,yes,,NA,,,,
WL4,Wright's Lake 4,38.84454,-120.23134,2131.36239,,,yes,,NA,,,,
WL3,Wright's Lake 3,38.83528,-120.23824,2137.762877,,,yes,,NA,,,,
EBSP,Emerald Bay State Park,38.95467,-120.10839,1979,,,no,El Dorado County: West side of Tahoe Basin. Emerald Bay State Park. Outcrops below Vikingsholm parking lot and viewing area (which is along Hwy 89). Looks like a great location!!!!,,,,,
GCC,Gerle Creek Campground,38.973056,-120.392778,2167,,,no,"El Dorado County, California. Eldorado National Forest, Gerle Creek Campground 38°58'23""""N, 120°23'34""""W, Elev 5190 ft. Growing along camp road beneath incense cedar, jeffery pine, Arctostaphylos patula, and bracken fern. Roughly 25-50 plants.""",,,,,
YOSE1,Yosemite 1,37.66374,-119.62484,2140.505943,,,yes,,NA,,,,
CP2,Carson Pass 2,38.66169,-120.13065,2244.132886,,,yes,,NA,,,,
FR,French Ridge,39.239203,-122.847517,1834,,,no,"French Ridge, Forest Service Rd 16N01 [N of Sam Alley Ridge, NE of Upper Lake]",,,,,
WR1,Washington Rd (our pop?),39.33391,-120.80217,1235,,,no,Nevada County. Northern Sierra Nevada. Washington Road. 4 miles North of Hwy 20 and approximately 12 miles East from Nevada city.,7/7/2021,,,,
WR2,Washington Rd (our pop?),39.33662,-120.80505,1219,,,no,Nevada County. Northern Sierra Nevada. Washington Road. 4 miles North of Hwy 20 and approximately 12 miles East from Nevada city.,7/7/2021,,,,
TFCR1,"Tyler Foote Crossing Road. Middle Yuba River Canyon, Sierra County CA",39.41956,-120.9513,704,,,no,SIERRA COUNTY: Tyler Foote Crossing Road. Middle Yuba River Canyon. ca. 0.2 air miles northeast of Footes Crossing Bridge.,7/7/2021,,,,
FCR,Foot Crossing Rd,39.42764,-120.93645,1066,,,no,SIERRA COUNTY: Foote Crossing Road. Overlooking Kanaka Creek. 0.9 air mi south of Squirrel Creek Road and Magnus Orchard Road intersection.,7/7/2021,,,,
IVR,Indian Valley Rd,39.51653,-121.01373,719,,,no,SIERRA COUNTY: 600 feet west of CA 49 and Indian Valley Road junction. North Yuba River Canyon.,7/7/2021,,,,
CP3,Carson Pass 3,38.70649,-120.08797,2266.382201,,,yes,,NA,,,,
YOSE6,Yosemite 6,37.85027,-119.57336,2277.65925,,,yes,,,,,,
SQ3,Seqouia,36.72109,-118.84933,2347,,,yes,,NA,,,,
CP1,Carson Pass 1,38.6382,-120.1422,2422.432185,,,yes,,NA,,,,
MVRR,Mooreville Ridge Rd (forest service rds),39.656944,-121.084722,1490,,,no,"Northern High Sierra Nevada. Plumas National Forest; along south-southeast edge of Mooreville Ridge 2.7 air-mi SW of Devils Gap. T21N R08E S28 NE1/4 of NE1/4 USGS Quadrangle: American House 1:24,000",,,,,
MCFR,Mendocino County forest rd,39.662623,-122.987956,1711,,,no,"Mendocino County, CA",,,,,
MCFR2,Mendocino County forest rd 2,39.854747,-123.084367,1128,,,no,"Mendocino, CA",,,,,
LV3,Lassen,40.4664,-121.52311,2436,,,yes,,NA,,,,
