"","Variable","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5"
"X3MSO","X3MSO",0.686311524967486,-0.260287948378897,-0.22128095111816,-0.178255706679326,0.128237169978523
"OHAlkenyl","OHAlkenyl",-0.124384354492364,0.480944652218501,0.196876402745652,-0.0992576041628256,-0.266155987738033
"X4MSO","X4MSO",-0.638857724847796,-0.0383751182819679,0.0165751233093387,-0.285312872592458,0.492172694136271
"Allyl","Allyl",0.530230332206837,0.0720040321113294,-0.635632479262343,0.0235121985630016,0.00712935000428389
"X5MSO","X5MSO",-0.205146730127327,0.356853588886863,-0.735755442838096,0.0424419262357971,-0.0749108251022808
"Butenyl","Butenyl",-0.854451848503125,-0.0825571065082975,0.0753690847529453,-0.0435784108926459,-0.122904922737503
"X3MT","X3MT",0.542685602811842,-0.436749339617042,0.237308472429871,-0.198471290460195,-0.133719316418977
"MSOO","MSOO",-0.567407351726183,-0.0250246329147233,-0.213971335900619,-0.186550332820845,0.372020331283946
"OHI3M","OHI3M",-0.0465997466041313,-0.452291957663551,-0.0889207044650087,-0.375544702276981,-0.159207727965408
"X4MT","X4MT",-0.349438177802764,-0.211500205401654,0.165279953348643,-0.27488915810162,0.321130439702448
"Flavonol16","Flavonol16",-0.518351739111655,-0.245369330484512,-0.199080296845444,-0.055268871757492,-0.306446064791798
"I3M","I3M",0.0457573827272764,0.00183268179655534,-0.282083743020222,-0.314326828978247,0.416923632875825
"Flavonol17","Flavonol17",-0.385087413566077,-0.609896398284491,-0.296402699166163,0.049058818564431,-0.237106498210588
"Flavonol18","Flavonol18",-0.121580342144819,-0.681469254992835,-0.17618184978411,0.34294576578194,0.0139088110308865
"Indole","Indole",-0.0167167675740976,-0.0210757717704278,0.278238937431856,0.765503293704866,0.327925490674184
