"","Variable","NMDS1","NMDS2","NMDS3","NMDS4","NMDS5"
"X3MSO","X3MSO",0.668764119055626,-0.194638216868857,-0.268195500549643,0.223959030150928,0.0731431358061734
"OHAlkenyl","OHAlkenyl",-0.115910735404146,0.49412448973291,0.248620163770526,0.0236102350476155,-0.256457351711019
"X4MSO","X4MSO",-0.668447728997165,0.0205169901561173,0.0236421919842005,0.267532100527544,0.424083841680878
"Allyl","Allyl",0.524940157787485,0.152244402397778,-0.615216710758071,-0.0768539652320345,0.0191134389557938
"X5MSO","X5MSO",-0.206679906052431,0.427509117048568,-0.664749341295529,-0.140260350485415,-0.11351510586846
"Butenyl","Butenyl",-0.862373908693591,-0.0822893956126906,0.0750265395269644,0.0365517071125495,-0.169027277197155
"X3MT","X3MT",0.536411954009019,-0.451839351807547,0.11197968038987,0.383512453551617,-0.0856077026057862
"MSOO","MSOO",-0.580633488646104,-0.0034158730418815,-0.18351546662482,0.170552216625293,0.280640884426255
"X4MT","X4MT",-0.361488064816859,-0.207184744799762,0.0878541509355506,0.405737419234061,0.325110775220485
"Flavonol16","Flavonol16",-0.508128294060121,-0.218239610340477,-0.261694463160107,0.13684465351835,-0.256512005161969
"I3M","I3M",-0.0604794582968857,0.367907422938173,-0.354814458179063,0.145783753602725,0.50057887147613
"Flavonol17","Flavonol17",-0.392472274479898,-0.548043395724414,-0.389107078940949,0.0270862641736051,-0.23088776033987
"Flavonol18","Flavonol18",-0.130688232868358,-0.658307442159584,-0.294703740475929,-0.254511830790596,0.0756287088533604
"Indole","Indole",-0.000338673880106806,-0.228054328903126,0.331193808217965,-0.719812495071173,0.277048567817203
